target,corpus,year,count
abuse,psych,1970,2
abuse,psych,1971,1
abuse,psych,1972,3
abuse,psych,1973,5
abuse,psych,1974,13
abuse,psych,1975,25
abuse,psych,1976,43
abuse,psych,1977,91
abuse,psych,1978,74
abuse,psych,1979,139
abuse,psych,1980,130
abuse,psych,1981,163
abuse,psych,1982,157
abuse,psych,1983,204
abuse,psych,1984,215
abuse,psych,1985,247
abuse,psych,1986,325
abuse,psych,1987,282
abuse,psych,1988,513
abuse,psych,1989,508
abuse,psych,1990,547
abuse,psych,1991,634
abuse,psych,1992,739
abuse,psych,1993,826
abuse,psych,1994,1021
abuse,psych,1995,1114
abuse,psych,1996,1159
abuse,psych,1997,1271
abuse,psych,1998,1143
abuse,psych,1999,1350
abuse,psych,2000,1451
abuse,psych,2001,1380
abuse,psych,2002,1209
abuse,psych,2003,1322
abuse,psych,2004,1398
abuse,psych,2005,1443
abuse,psych,2006,1685
abuse,psych,2007,1686
abuse,psych,2008,1604
abuse,psych,2009,1751
abuse,psych,2010,1702
abuse,psych,2011,1855
abuse,psych,2012,1927
abuse,psych,2013,1910
abuse,psych,2014,2163
abuse,psych,2015,2390
abuse,psych,2016,2602
abuse,psych,2017,2108
abuse,psych,2018,1739
abuse,psych,2019,3
addiction,psych,1970,3
addiction,psych,1971,3
addiction,psych,1972,4
addiction,psych,1973,3
addiction,psych,1974,2
addiction,psych,1975,15
addiction,psych,1976,12
addiction,psych,1977,19
addiction,psych,1978,16
addiction,psych,1979,23
addiction,psych,1980,23
addiction,psych,1981,8
addiction,psych,1982,14
addiction,psych,1983,12
addiction,psych,1984,25
addiction,psych,1985,18
addiction,psych,1986,40
addiction,psych,1987,28
addiction,psych,1988,19
addiction,psych,1989,81
addiction,psych,1990,56
addiction,psych,1991,61
addiction,psych,1992,64
addiction,psych,1993,117
addiction,psych,1994,80
addiction,psych,1995,100
addiction,psych,1996,143
addiction,psych,1997,124
addiction,psych,1998,104
addiction,psych,1999,123
addiction,psych,2000,129
addiction,psych,2001,122
addiction,psych,2002,124
addiction,psych,2003,175
addiction,psych,2004,166
addiction,psych,2005,148
addiction,psych,2006,206
addiction,psych,2007,242
addiction,psych,2008,310
addiction,psych,2009,277
addiction,psych,2010,374
addiction,psych,2011,344
addiction,psych,2012,395
addiction,psych,2013,604
addiction,psych,2014,605
addiction,psych,2015,784
addiction,psych,2016,842
addiction,psych,2017,654
addiction,psych,2018,705
addiction,psych,2019,24
anger,psych,1970,3
anger,psych,1971,21
anger,psych,1972,10
anger,psych,1973,14
anger,psych,1974,34
anger,psych,1975,13
anger,psych,1976,30
anger,psych,1977,29
anger,psych,1978,26
anger,psych,1979,39
anger,psych,1980,28
anger,psych,1981,46
anger,psych,1982,55
anger,psych,1983,48
anger,psych,1984,65
anger,psych,1985,93
anger,psych,1986,110
anger,psych,1987,130
anger,psych,1988,128
anger,psych,1989,231
anger,psych,1990,124
anger,psych,1991,201
anger,psych,1992,262
anger,psych,1993,206
anger,psych,1994,261
anger,psych,1995,263
anger,psych,1996,270
anger,psych,1997,323
anger,psych,1998,291
anger,psych,1999,391
anger,psych,2000,379
anger,psych,2001,447
anger,psych,2002,427
anger,psych,2003,440
anger,psych,2004,564
anger,psych,2005,481
anger,psych,2006,632
anger,psych,2007,707
anger,psych,2008,691
anger,psych,2009,713
anger,psych,2010,742
anger,psych,2011,900
anger,psych,2012,880
anger,psych,2013,997
anger,psych,2014,929
anger,psych,2015,1022
anger,psych,2016,1287
anger,psych,2017,746
anger,psych,2018,761
anger,psych,2019,4
anxiety,psych,1970,89
anxiety,psych,1971,124
anxiety,psych,1972,146
anxiety,psych,1973,150
anxiety,psych,1974,213
anxiety,psych,1975,244
anxiety,psych,1976,285
anxiety,psych,1977,284
anxiety,psych,1978,417
anxiety,psych,1979,354
anxiety,psych,1980,450
anxiety,psych,1981,382
anxiety,psych,1982,485
anxiety,psych,1983,544
anxiety,psych,1984,613
anxiety,psych,1985,571
anxiety,psych,1986,557
anxiety,psych,1987,685
anxiety,psych,1988,704
anxiety,psych,1989,967
anxiety,psych,1990,965
anxiety,psych,1991,1004
anxiety,psych,1992,1154
anxiety,psych,1993,1112
anxiety,psych,1994,1255
anxiety,psych,1995,1276
anxiety,psych,1996,1493
anxiety,psych,1997,1435
anxiety,psych,1998,1581
anxiety,psych,1999,1638
anxiety,psych,2000,1733
anxiety,psych,2001,1933
anxiety,psych,2002,1910
anxiety,psych,2003,2160
anxiety,psych,2004,2664
anxiety,psych,2005,2628
anxiety,psych,2006,2930
anxiety,psych,2007,3487
anxiety,psych,2008,3976
anxiety,psych,2009,4249
anxiety,psych,2010,4489
anxiety,psych,2011,4914
anxiety,psych,2012,5857
anxiety,psych,2013,6397
anxiety,psych,2014,6981
anxiety,psych,2015,7426
anxiety,psych,2016,8916
anxiety,psych,2017,5443
anxiety,psych,2018,5142
anxiety,psych,2019,74
automobile,psych,1970,1
automobile,psych,1971,5
automobile,psych,1972,3
automobile,psych,1973,4
automobile,psych,1974,6
automobile,psych,1975,3
automobile,psych,1976,5
automobile,psych,1977,3
automobile,psych,1978,5
automobile,psych,1979,6
automobile,psych,1980,4
automobile,psych,1981,6
automobile,psych,1982,10
automobile,psych,1983,7
automobile,psych,1984,6
automobile,psych,1985,8
automobile,psych,1986,8
automobile,psych,1987,7
automobile,psych,1988,8
automobile,psych,1989,12
automobile,psych,1990,5
automobile,psych,1991,8
automobile,psych,1992,9
automobile,psych,1993,7
automobile,psych,1994,7
automobile,psych,1995,5
automobile,psych,1996,12
automobile,psych,1997,9
automobile,psych,1998,7
automobile,psych,1999,6
automobile,psych,2000,13
automobile,psych,2001,9
automobile,psych,2002,11
automobile,psych,2003,13
automobile,psych,2004,2
automobile,psych,2005,18
automobile,psych,2006,14
automobile,psych,2007,9
automobile,psych,2008,3
automobile,psych,2009,12
automobile,psych,2010,9
automobile,psych,2011,15
automobile,psych,2012,8
automobile,psych,2013,9
automobile,psych,2014,16
automobile,psych,2015,25
automobile,psych,2016,8
automobile,psych,2017,10
automobile,psych,2018,15
automobile,psych,2019,1
bank,psych,1971,3
bank,psych,1973,2
bank,psych,1974,2
bank,psych,1975,6
bank,psych,1976,10
bank,psych,1977,6
bank,psych,1978,1
bank,psych,1979,6
bank,psych,1980,11
bank,psych,1981,3
bank,psych,1982,6
bank,psych,1983,8
bank,psych,1984,11
bank,psych,1985,9
bank,psych,1986,14
bank,psych,1987,10
bank,psych,1988,13
bank,psych,1989,27
bank,psych,1990,22
bank,psych,1991,19
bank,psych,1992,20
bank,psych,1993,20
bank,psych,1994,23
bank,psych,1995,33
bank,psych,1996,24
bank,psych,1997,14
bank,psych,1998,23
bank,psych,1999,34
bank,psych,2000,34
bank,psych,2001,25
bank,psych,2002,24
bank,psych,2003,36
bank,psych,2004,36
bank,psych,2005,20
bank,psych,2006,40
bank,psych,2007,39
bank,psych,2008,57
bank,psych,2009,48
bank,psych,2010,51
bank,psych,2011,49
bank,psych,2012,53
bank,psych,2013,63
bank,psych,2014,52
bank,psych,2015,69
bank,psych,2016,90
bank,psych,2017,66
bank,psych,2018,62
bank,psych,2019,2
bullying,psych,1971,1
bullying,psych,1982,1
bullying,psych,1987,1
bullying,psych,1989,7
bullying,psych,1990,4
bullying,psych,1991,8
bullying,psych,1992,9
bullying,psych,1993,15
bullying,psych,1994,18
bullying,psych,1995,12
bullying,psych,1996,72
bullying,psych,1997,88
bullying,psych,1998,63
bullying,psych,1999,85
bullying,psych,2000,137
bullying,psych,2001,122
bullying,psych,2002,130
bullying,psych,2003,133
bullying,psych,2004,236
bullying,psych,2005,140
bullying,psych,2006,247
bullying,psych,2007,261
bullying,psych,2008,299
bullying,psych,2009,406
bullying,psych,2010,455
bullying,psych,2011,557
bullying,psych,2012,626
bullying,psych,2013,734
bullying,psych,2014,732
bullying,psych,2015,871
bullying,psych,2016,836
bullying,psych,2017,821
bullying,psych,2018,897
bullying,psych,2019,2
camera,psych,1970,2
camera,psych,1971,2
camera,psych,1972,1
camera,psych,1973,4
camera,psych,1974,4
camera,psych,1975,6
camera,psych,1976,6
camera,psych,1977,1
camera,psych,1978,9
camera,psych,1979,6
camera,psych,1980,7
camera,psych,1981,5
camera,psych,1982,6
camera,psych,1983,7
camera,psych,1984,3
camera,psych,1985,4
camera,psych,1986,10
camera,psych,1987,7
camera,psych,1988,11
camera,psych,1989,2
camera,psych,1990,4
camera,psych,1991,6
camera,psych,1992,1
camera,psych,1993,17
camera,psych,1994,6
camera,psych,1995,4
camera,psych,1996,9
camera,psych,1997,21
camera,psych,1998,17
camera,psych,1999,8
camera,psych,2000,9
camera,psych,2001,13
camera,psych,2002,17
camera,psych,2003,16
camera,psych,2004,11
camera,psych,2005,23
camera,psych,2006,24
camera,psych,2007,32
camera,psych,2008,25
camera,psych,2009,40
camera,psych,2010,26
camera,psych,2011,52
camera,psych,2012,41
camera,psych,2013,66
camera,psych,2014,40
camera,psych,2015,44
camera,psych,2016,43
camera,psych,2017,53
camera,psych,2018,50
camera,psych,2019,1
car,psych,1970,9
car,psych,1971,5
car,psych,1972,7
car,psych,1973,6
car,psych,1974,10
car,psych,1975,15
car,psych,1976,11
car,psych,1977,12
car,psych,1978,7
car,psych,1979,8
car,psych,1980,9
car,psych,1981,20
car,psych,1982,21
car,psych,1983,25
car,psych,1984,9
car,psych,1985,13
car,psych,1986,22
car,psych,1987,11
car,psych,1988,15
car,psych,1989,13
car,psych,1990,12
car,psych,1991,18
car,psych,1992,9
car,psych,1993,16
car,psych,1994,28
car,psych,1995,36
car,psych,1996,27
car,psych,1997,43
car,psych,1998,28
car,psych,1999,58
car,psych,2000,28
car,psych,2001,48
car,psych,2002,44
car,psych,2003,36
car,psych,2004,58
car,psych,2005,69
car,psych,2006,78
car,psych,2007,79
car,psych,2008,84
car,psych,2009,79
car,psych,2010,111
car,psych,2011,118
car,psych,2012,164
car,psych,2013,152
car,psych,2014,228
car,psych,2015,176
car,psych,2016,238
car,psych,2017,140
car,psych,2018,217
car,psych,2019,16
deer,psych,1978,1
deer,psych,1981,2
deer,psych,1983,3
deer,psych,1985,7
deer,psych,1986,3
deer,psych,1987,3
deer,psych,1988,12
deer,psych,1989,7
deer,psych,1990,4
deer,psych,1993,4
deer,psych,1994,1
deer,psych,1995,2
deer,psych,1996,11
deer,psych,1997,18
deer,psych,1998,2
deer,psych,1999,9
deer,psych,2000,5
deer,psych,2001,2
deer,psych,2002,5
deer,psych,2003,16
deer,psych,2004,1
deer,psych,2005,1
deer,psych,2006,2
deer,psych,2007,3
deer,psych,2008,3
deer,psych,2009,1
deer,psych,2010,8
deer,psych,2011,6
deer,psych,2012,6
deer,psych,2013,1
deer,psych,2014,6
