collocate,count
support,1
effectiveness,1
pemoline,1
treatment,10
cocaine,3
methadone,1
maintain,1
patient,2
conclusion,1
qualified,1
path,1
analysis,1
reveal,2
unidirectional,1
relationship,2
potential,2
predict,1
iq,1
adaptive,1
behavior,1
childhood,4
trauma,1
occur,1
christian,1
environment,1
god,1
individual,3
vulnerability,1
factor,4
perpetuate,1
child,8
neglect,3
service,2
provider,1
city,2
discuss,2
drug,11
shortage,1
significant,2
obstacle,1
old,1
subsequently,1
substantiate,1
allegation,3
physical,6
parent,1
subject,1
harrowing,3
detailed,1
psycholinguistic,1
work,1
adult,2
survivor,1
paternal,1
incestuous,1
major,1
determinant,1
identify,1
exposure,2
severe,7
aggression,1
use,2
method,4
cope,3
sexual,18
experience,3
problem,3
adjustment,1
describe,2
part,1
and/or,1
study,3
investigate,2
maternal,1
offspring,1
large,1
population,2
rhesus,1
mother,2
suffer,2
primary,1
care,1
mental,2
health,2
substance,9
program,5
dade,1
county,2
florida,1
std,1
clinic,1
attendance,1
dangerous,1
show,3
eat,1
disorder,1
correlate,2
type,1
exacerbate,2
challenge,2
define,2
coercion,1
21.1,1
7.1,1
physically,1
force,1
sex,2
hypothesis,1
extensive,1
level,2
closet,1
homosexual,1
positively,1
high,3
concern,1
social,1
cognitive,1
theory,1
highlight,2
destructive,2
psychological,3
impact,2
prevalence,2
characteristic,3
rationale,1
change,1
struggle,3
anal,1
traumatic,1
attractive,1
decision,1
maker,1
evaluation,1
critical,1
component,1
research,1
aim,1
examine,1
csa,1
adverse,1
development,1
range,1
history,4
illicit,1
dependence,1
hospitalize,1
determine,2
rate,1
identification,1
indicate,1
disengagement,1
account,1
unique,1
variance,1
general,2
distress,1
control,2
stressor,1
eating,1
weight,1
accord,1
gender,1
race,1
initial,1
stage,1
investigation,1
intrusive,1
potentially,1
harmful,1
functioning,1
significantly,4
risk,1
victim,2
member,2
church,2
serve,1
people,1
traumatize,1
deeply,2
afraid,1
report,3
leader,1
exist,1
reporting,1
law,1
ignore,1
researcher,1
crucial,1
fail,1
danger,1
suspect,1
prevention,3
address,1
common,2
philip,2
disturbing,1
father,3
n,1
=,1
102,1
relate,2
psychosocial,1
deterioration,1
intake,1
year,1
article,2
setting,1
brazil,1
inpatient,1
outpatient,2
dissociative,1
symptom,4
right,1
hemisphere,1
dysfunction,1
publish,1
journal,1
1992,1
assert,1
polygraph,1
testing,1
unreliable,1
certain,1
personality,1
construct,1
advent,1
hiv-1,1
epidemic,2
parenteral,1
new,1
york,1
begin,1
1978,1
beginning,1
aids,1
detrimental,1
co,1
increase,1
paper,1
select,2
set,2
medical,3
aggravate,1
functional,1
10,1
12,1
sa+,1
68,1
competence,1
isolate,1
variable,1
escalate,1
period,1
medium,1
contemporary,1
convoluted,1
implication,1
training,1
stress,1
urgent,1
need,1
failure,1
intensive,1
previously,1
sexually,1
pregnant,1
woman,2
negative,1
life,1
event,1
verbal,1
pregnancy,1
pattern,1
region,1
center,1
community,1
partnership,1
project,1
carry,1
preliminary,1
result,1
adapt,1
subtle,1
screening,1
inventory-2,1
sassi,1
criminal,1
incident,1
regardless,1
acculturation,1
citizenship,1
status,1
age,1
moderate,1
influence,1
diagnosis,1
follow,1
depression,1
endure,1
