collocate,count
find,1
significantly,1
correlate,2
rating,2
subjective,2
suds,1
urge,1
eat,2
situation,1
measure,3
originality,1
emotional,1
test,7
attitude,1
school,1
frequency,1
daily,1
hassle,1
level,4
trait,4
evaluate,1
effective,1
method,2
induce,2
experimental,1
personally,1
relevant,2
b,2
base,2
real,2
life,4
c,1
require,1
little,1
experimenter,1
intervention,1
psychosocial,1
variable,2
harmfully,1
relate,3
current,1
value,1
hba1c,1
perceive,1
social,4
support,1
inversely,1
subject,1
rate,1
scale,2
1,1
5,1
extreme,1
finding,1
somatic,1
reveal,1
low,2
competitive,1
group,4
report,5
feel,1
bitter,1
hostile,1
have,1
expose,1
suffer,1
removal,1
cyst,1
dependent,1
include,2
disputant,1
await,1
arbitrator,1
decision,2
postdecision,1
satisfaction,1
administer,1
rappaport,1
time,1
line,1
death,2
purpose,3
discord,1
predict,1
high,3
child,2
depression,6
exacerbate,1
self,1
esteem,1
great,2
worry,1
emotionality,1
arousability,1
male,2
cfi,1
item,2
form,1
career,1
choice,1
factor,1
patient,7
chronic,1
fatigue,1
cf,1
affective,1
result,1
suggest,3
instrument,1
useful,1
assessment,1
disorder,6
medical,1
population,1
examine,1
identification,1
recognition,1
reward,1
gay,1
affiliation,1
2,1
investigate,1
behavioural,1
experiment,2
execute,1
n,1
=,1
11,1
cognitive,1
significant,2
order,1
interaction,1
detect,1
relevance,1
experience,2
dental,1
second,1
study,3
additional,1
resolution,1
254,1
threat,1
minimization,1
problematically,1
despair,2
structure,1
modeling,1
model,1
sample,1
204,1
412,1
female,1
symptom,6
fairly,1
common,2
score,2
asi,1
equate,1
severe,1
posterior,1
amygdala,1
foci,1
associate,1
paper,1
discuss,1
problem,5
perspective,1
language,2
primitive,1
root,1
excessive,1
quietness,1
shyness,1
separation,1
anxious,1
avoidance,1
affect,3
task,1
instruction,2
state,3
anxiety,2
syndrome,1
difficulty,1
express,1
personal,2
feeling,2
negative,1
relation,1
recent,1
indicate,1
heighten,1
hypertensive,1
relative,2
normotensive,1
alarming,1
relationship,1
sport,1
performance,2
well,1
explain,2
individual,2
difference,2
optimal,1
precompetition,1
vary,1
considerably,1
athlete,1
dread,1
acquire,1
way,1
panic,2
condition,1
impair,1
external,1
function,2
attentional,1
conclude,1
drawing,2
asa,1
vs,1
demonstrate,1
comparison,2
specific,2
indicator,1
temporarily,1
lift,1
depressive,2
continue,1
struggle,1
pathology,1
somatization,1
drinking,1
quantity,1
statistical,1
control,1
mood,4
ailment,1
present,1
less,1
degree,1
230,1
woman,1
detrimental,2
distinction,2
236,1
man,3
161,1
unique,1
contribution,2
perception,1
person,1
interact,1
stranger,1
note,1
decrease,1
treatment,1
help,1
seeking,1
network,1
prediction,1
yield,1
evidence,1
cause,1
sleep,2
disturbance,1
know,1
produce,1
fall,1
complex,1
illness,1
reduction,1
sensation,1
nervousness,1
fear,2
6,1
month,1
moci,1
scorer,1
broad,1
range,1
obsession,1
compulsion,1
behavioral,1
assignment,1
operant,1
conditioning,1
conflict,1
neoplasia,1
probe,1
biologic,1
basis,1
specifically,1
lifegoal,1
awareness,1
luckfate,1
orientation,1
authority,1
