collocate,count
mental_disorder,1
baseline,1
84.6,1
case,2
severe,2
couple,1
anxiety,15
44.8,1
subthreshold,1
selective,2
antinatriorexic,1
effect,5
elicit,1
aspecific,1
ingestive,1
behaviour,3
study,2
peptide,1
measure,6
adjustment,1
assess,2
symptom,4
aggressive,1
behavior,2
instability,1
self,7
evaluation,2
relationship,2
physical,1
appearance,1
predict,1
worsen,1
independent,1
rating,4
trait,3
orient,1
subgroup,1
analysis,2
show,3
impact,5
score,2
detrimental,4
cardiopulmonary,1
patient,4
consistent,1
main,1
interactional,1
influence,1
reinforcement,1
harmful,1
important,1
role,1
external,1
source,1
posttraumatic,1
stress,3
disorder,3
reaction,1
index,1
scale,4
section,1
sad,1
adolescents,1
potential,2
harm,1
=,2
48,1
extract,1
nimh,1
treatment,3
collaborative,1
research,2
program,1
note,1
challenge,4
examine,1
contrast,2
personality,2
dimension,2
cloninger,1
complex,1
seven,1
factor,4
attention,1
impairment,2
domain,1
bulimia,1
type,1
outcome,3
delusional,2
generally,1
consider,2
poor,3
compare,3
non,4
occur,1
independently,1
conventional,1
notion,1
natal,2
versus,1
post,1
highlight,1
significant,2
report,3
hostility,2
depressive,1
hospital,1
1,1
month,1
hospitalization,1
relation,1
suffer,1
cognitive,6
emotional,1
function,1
impair,1
family,1
assessment,1
device,1
reynolds,1
adolescent,2
reveal,1
deep,1
struggle,1
suicidal,1
account,1
somatic,1
obsessive,1
compulsive,1
trouble,1
hysterical,1
mother,2
infant,1
interaction,2
longitudinally,1
psychometric,1
datum,1
concern,1
stai,1
paranoid,1
depressivittsskala,1
cope,2
fkv,1
high,2
incidence,1
rate,1
major,3
psychotic,1
substance,1
dependence,1
find,3
address,1
issue,1
ptsd,1
chronic,1
continuous,1
adverse,1
interact,1
specific,1
exacerbate,1
time,1
level,1
past,1
history,3
predictor,1
deteriorate,1
p,2
change,1
differential,1
diagnosis,1
course,1
discuss,1
need,1
exercise,1
diagnose,1
relentless,1
largely,1
overlook,1
despite,1
severity,3
significantly,1
low,1
defensiveness,1
therapy,2
like,1
seasonal,1
test,1
amt,1
anger,1
isolated,1
experience,1
severely,1
increase,2
risk,2
complication,1
unipolar,1
woman,1
co,1
occurrence,1
marital,2
distress,2
expose,1
negative,1
damaging,1
onset,1
relapse,1
select,1
trial,2
light,1
winter,1
antidepressant,1
clinical,1
drug,1
include,2
intense,1
obsession,1
compulsion,1
interpersonal,1
sensitivity,1
overwhelming,1
general,2
statistically,1
control,1
style,1
fail,1
endogenous,1
bear,1
similarity,1
obsessional,1
character,1
betray,1
gender,1
difference,1
association,1
ineffective,1
problem,2
solve,1
futile,1
social,1
technique,1
cbt,1
yield,1
disappointing,1
result,1
perceive,1
difficulty,1
presence,1
relate,1
diminished,1
view,1
functioning,1
literature,1
empirical,1
debilitate,2
likely,1
postpartum,1
beck,3
inventory,2
revise,1
bdi,1
despair,1
complete,1
smoking,1
questionnaire,1
stasis,1
transient,1
associate,2
problematic,1
weight,1
gain,1
child,2
strongly,2
corroborative,1
witness,1
clinician,1
lead,1
vary,1
meta,1
unfortunately,1
psychiatric,1
disturbance,2
specifically,1
cause,1
morbidity,1
signal,1
treatable,1
way,1
.014,1
disruption,1
intensify,1
subjective,1
conduct,1
adulthood,1
symptomatology,1
religious,2
variable,2
death,3
200,1
person,1
population,1
apparently,1
profound,1
