collocate,count
dose,1
response,1
relationship,3
smoking,1
deteriorate,1
confirm,1
wave,1
odd,2
ratio,1
1.41,1
majority,2
study,5
examine,6
outcome,7
offspring,1
depress,1
individual,2
ysidro,1
health,4
center,2
syhc,1
recruit,1
program,2
january,1
2007,1
march,1
2008,1
concern,1
risk,1
factor,1
decline,1
mother,4
specifically,1
symptom,3
posttraumatic,1
stress,4
find,1
research,2
issue,4
lesbian,1
gay,2
bisexual,2
lgb,3
call,1
make,1
service,15
affirmative,1
evident,1
child,17
meet,2
criterion,1
axis,1
diagnosis,2
functional,1
impairment,1
depression,1
high,3
positive,2
score,1
well,1
cope,3
ability,1
type,2
public,2
misconception,3
mental_health,5
literacy,3
receive,4
negative,2
attention,2
mental_disorder,1
ethnic,2
group,5
united,2
states,2
federal,1
policy,1
fail,1
address,2
critical,2
need,3
worldviews,1
different,3
culture,1
distort,1
definition,1
method,1
healing,1
religion,1
embody,1
depressive,1
sleep,1
problem,6
fatigue,1
use,5
assess,2
patient,1
1,1
3,2
treatment,7
2,1
age,1
autism,1
include,1
nervous,1
system,3
disorder,3
online,1
survey,1
173,1
trainee,1
professional,2
measure,1
relate,4
cultural,1
advisor,1
play,1
role,1
deliver,1
care,6
work,2
reduce,2
skill,1
deficit,1
trauma,1
causal,1
shortcoming,1
parent,4
tendency,1
hide,1
analyze,1
preference,1
confrontational,1
style,1
encounter,1
provider,1
racial,1
accordingly,1
difference,1
incarcerate,1
discordance,1
rating,1
parenting,1
behavior,2
recently,1
treat,3
document,1
victim,1
suffer,1
adverse,2
challenge,2
social,1
difficult,1
pair,1
disciplinary,1
action,1
screen,1
behavioral,2
exposure,1
limit,2
energy,2
mitochondrial,2
function,2
detrimental,1
adolescent,1
co,1
occurring,1
substance,1
mistakenly,1
prioritize,1
set,1
effectiveness,1
primary,1
adult,1
operate,1
step,2
model,1
analysis,2
scrutinize,1
associate,1
early,1
term,1
problematic,1
trajectory,2
information,1
available,1
guide,1
law,1
enforcement,1
practitioner,1
endeavour,1
occurrence,1
main,1
deterioration,1
vast,1
aboriginal,3
live,2
family,6
birth,1
circumstance,1
arise,2
impart,2
significant,2
threat,2
morbidity,2
australian,2
developmental,2
follow,1
pattern,1
continuity,1
change,1
host,1
country,1
necessary,1
cost,1
decrease,1
funding,1
caregive,1
experience,2
struggle,2
love,2
difficulty,6
mental_illness,1
destination,1
temporary,1
migrant,2
average,1
poor,2
dangerous,1
sexual,1
non,1
technique,1
signal,1
detection,1
financial,1
rearing,1
practice,1
school,1
highlight,1
acceptance,1
relevance,1
incorporate,1
clinical,1
psychologist,1
general,1
hospital,1
boy,1
old,1
insurance,1
fair,1
home,1
physical,4
appear,1
peer,1
victimization,1
report,3
implication,2
engage,1
see,2
underlying,2
reason,2
disparity,2
prevalence,1
specific,1
mood,1
anxiety,1
prediction,1
tool,1
psymaptic,1
cause,1
commissioner,1
ineffectively,1
allocate,1
resource,1
local,1
exacerbate,1
inequality,1
access,1
relation,1
sync,1
drug,1
conflict,1
negatively,1
enrichment,1
positively,1
predict,1
traumatic,1
childhood,1
exhibit,1
persistent,1
development,1
specialist,1
improve,1
little,1
know,1
prisoner,1
perceive,1
prospective,1
source,1
help,1
american,1
refugee,1
sample,1
compare,1
15,1
seek,1
teenaged,1
toxicology,1
take,1
medication,1
prescribe,1
suggest,1
rate,1
subordinate,1
dissatisfaction,1
less,1
extent,1
race,1
dyad,1
