collocate,count
israeli,1
history,1
author,2
find,2
create,1
israelis,1
lead,2
lack,1
public,1
discourse,1
finding,1
result,6
point,1
association,1
catastrophic,1
sustained,1
duration,1
subjective,1
report,3
significantly,3
veteran,2
suffer,2
severe,11
aftereffect,1
combat,2
vietnam,1
war,2
require,1
preliminary,1
phase,1
difficulty,1
encounter,1
connect,1
directly,1
psychological,5
experience,6
infant,2
stay,1
hospital,1
grave,1
exploration,1
meaning,1
child,2
believe,2
terrifying,1
financial,1
compensation,1
factor,2
length,1
time,2
intervention,2
demographic,1
feature,1
reason,1
concept,1
represent,3
divisive,1
issue,2
shibboleth,1
psychoanalysis,2
stroke,1
n,2
=,2
19,1
head,5
give,1
boston,1
diagnostic,1
plaintiff,1
problem,3
few,1
symptom,3
debilitate,1
associate,1
sequelae,1
severely,1
stressful,1
personal,3
crisis,2
illness,1
extreme,2
waste,1
compound,1
emotional,1
young,2
professional,1
stress,3
response,1
syndrome,1
psychodynamic,2
formulation,1
learn,1
model,1
reveal,1
overwhelming,4
challenging,3
induction,1
group,1
dynamic,1
shall,1
underscore,1
ethical,1
implication,1
manifestation,1
slight,1
common,1
bleeding,1
physician,1
speak,1
erotization,1
effect,4
death,1
castration,1
anxiety,1
transform,1
source,1
analysis,2
woman,2
important,1
narcissistic,2
inadequate,1
early,1
relationship,2
mother,1
metaphor,1
therapeutic,1
situation,1
patient,5
highlight,1
nature,1
treatment,1
approach,1
year,2
rape,1
continue,1
devastating,3
intensely,1
high,1
level,1
struggle,2
arduous,1
cope,1
intellectualize,1
undeniably,1
evoke,1
helplessness,1
content,2
series,1
painting,2
painfully,1
reconstruct,1
attempt,1
mastery,1
particularly,1
structure,1
personality,2
include,2
disorder,1
adaptation,1
distressing,5
trait,2
reaction,3
somatic,1
finally,1
distant,1
style,1
interaction,1
profoundly,1
damage,1
long,2
term,3
psychiatric,1
expose,1
deep,1
root,1
stem,1
prevail,1
conflict,1
perspective,1
terminology,1
prevalence,1
predisposition,1
vulnerability,1
outcome,1
ptsd,1
development,1
emphasize,1
impact,3
vs.,1
premorbid,1
characterological,1
fluent,1
aphasia,1
closed,1
right,1
frontal,1
concern,1
certain,1
signify,1
profound,1
grapple,2
address,1
sexual,2
vivid,1
persistent,2
reexperiencing,1
inherent,1
repeatedly,1
surgery,1
assess,1
testicular,1
aids,1
arc,1
victim,3
brain,2
review,1
evidence,1
etiologic,1
role,2
condition,1
consider,1
possible,1
mechanism,1
last,1
sense,1
burden,1
moral,1
disturbance,1
cause,1
direct,2
orbital,1
cranial,1
nerve,1
endure,1
likely,1
critical,1
psychiatrist,1
hindrance,1
emerge,1
complexity,2
deal,3
preverbal,2
main,2
trauma,5
impede,2
progress,2
problematic,1
need,1
permanent,1
cognition,1
entail,1
consequence,1
relational,1
harm,1
desensitization,1
hypnotherapy,1
therapy,1
scrutinize,1
contact,1
conspire,1
detrimental,1
hospitalize,2
produce,1
countertransference,1
identify,1
circumstance,1
social,1
indicate,1
maternal,1
separation,1
harmful,1
autobiographical,1
event,1
have,1
occur,1
prior,2
aspect,2
accident,2
exacerbate,2
note,1
following,1
adult,1
rejection,1
withdrawal,1
significant,1
exhibit,1
relate,1
8,1
12,1
receive,1
blunt,2
post,2
traumatic,1
amnesia,2
great,2
equal,2
1,1
month,1
differentiate,1
form,1
unassimilable,1
pure,1
constitute,1
nearly,1
destructive,1
force,1
retroactively,1
efficiency,1
evaluate,1
cumulative,1
damaging,1
hand,1
tool,1
view,1
road,1
nightmare,1
decipher,1
foster,1
biological,1
home,1
help,1
primary,1
secondary,1
abuse,1
