collocate,count
1,1
year,1
follow,3
major,5
remit,1
66,1
subject,1
specifically,2
research,3
demonstrate,2
association,2
depressive,2
symptom,5
certain,1
component,1
nk,1
interpersonal,1
achievement,1
concern,1
create,1
vulnerability,1
response,3
congruent,1
negative,4
stressor,1
act,1
motivate,1
child,4
emotional,1
behavioural,1
trajectory,1
menopausal,1
opportunity,1
address,1
21,1
patient,6
likely,1
acutely,1
estrogen,1
woman,2
report,3
high,1
level,2
solitude,1
married,1
parent,1
regardless,1
parental,1
status,1
substantial,1
co,1
morbidity,1
physical,1
illness,1
late,1
life,1
posttraumatic,2
stress,3
disorder,3
ptsd,1
widely,1
implicate,1
date,1
highlight,3
difficulty,1
complex,1
relate,3
increase,2
understanding,3
study,4
indicate,1
pathological,1
gambling,1
associate,2
treatment,6
delusional,1
limit,1
promise,1
standard,1
mean,1
score,3
chinese,2
find,3
similar,1
47,1
versus,1
18,1
rate,1
paternal,1
differ,2
group,2
literature,1
empirical,1
growth,3
potential,2
meaningful,2
progress,1
area,1
anxiety,8
anger,1
isolation,1
intrusive,1
thoughts,1
combat,1
experience,1
reactivity,1
environment,1
reflect,1
well,1
global,1
self,2
concept,1
adolescent,1
assess,2
describe,1
beck,2
inventory,3
bdi,1
ways,1
coping,1
questionnaire,1
conceptualization,1
complementary,1
overlapping,1
feature,1
eating,1
attitude,1
test,1
eat-40,1
13,1
item,2
hamilton,3
rating,3
scale,6
wellness,1
e.g.,4
drug,1
use,1
exercise,2
bias,1
affectivity,1
mediator,1
adaptation,1
titer,1
alter,1
diagnosis,2
adaptive,1
6.9,1
bipolar,1
manic,1
3.9,1
causation,1
time,1
2,1
positively,1
negatively,1
completion,2
reveal,1
connection,1
disability,1
supportive,1
witness,1
clinician,1
severity,3
result,1
consistent,1
useful,1
population,1
screen,2
dementia,1
value,1
question,1
clinical,2
categorize,1
affective,1
psychosis,1
endogenous,2
neurotic,1
international,1
statistical,1
classification,1
diseases,1
injuries,1
enhancement,1
social,1
functioning,2
people,2
forget,1
episode,1
remain,1
depressed,2
83,1
mild,2
center,4
epidemiological,2
studies,4
depression,6
ces,3
d,2
shelter,1
exit,1
sample,1
partialle,1
effect,1
contrary,1
recent,1
specific,2
characteristic,2
young,1
mother,1
nurture,1
belief,1
adverse,1
event,1
predict,2
actual,1
recovery,1
course,2
5,1
week,2
period,1
reflection,1
independently,1
occurrence,1
female,1
respondent,1
gh,1
apomorphine,1
dopaminergic,1
agonist,1
little,1
relation,1
suicidal,1
behaviour,1
primary,2
care,2
relationship,3
frequently,1
individual,1
seek,1
support,1
measure,4
205,1
undergraduate,1
complete,1
esteem,1
positive,1
live,1
prolong,1
enrol,1
open,1
trial,1
4,1
focus,1
technique,1
rumination,1
improvement,1
overall,1
weight,1
lack,1
closely,1
related,1
subscale,1
whq,1
month,1
post,1
partum,1
edinburgh,1
postnatal,1
case,1
half,1
reactive,1
obtain,1
good,1
fit,1
line,1
unique,1
contribution,1
representation,1
family,1
peer,1
contrast,1
rutter,1
b2,1
children,1
cdi,1
provide,1
valuable,1
insight,1
develop,1
traumatic,1
brain,1
injury,1
strong,1
epidemiologic,2
fatigue,4
sensitive,1
potentially,1
current,1
factor,1
risk,1
switch,1
unipolar,1
duration,1
necessary,1
examine,1
change,1
influence,1
utilization,1
