collocate,count
conceptual,1
model,1
devise,1
strategy,2
prevention,1
anglos,1
mexican,1
subgroup,1
increasingly,1
aware,1
service,7
male,1
female,1
undergraduate,1
professional,6
test,1
examine,5
relationship,1
measure,1
affective,1
bonding,1
role,2
infant,2
specialist,1
highlight,4
article,2
review,3
research,2
relevant,2
marital,4
status,3
strength,1
married,2
project,1
relate,2
innovative,1
use,2
computer,1
enhancement,3
present,3
attempt,1
intentione,1
progress,2
supervisor,1
community,11
center,5
principal,1
school,3
dean,2
college,1
university,1
employer,1
agency,2
recognize,1
value,2
counselor,2
bring,2
control,2
trial,1
type,1
intervention,3
ordinary,1
junior,1
consist,1
context,1
general,1
survivor,1
motivation,1
utilize,1
resource,2
psychiatric,2
teacher,1
student,1
residential,1
treatment,3
facility,2
adolescent,1
behavior,2
disorder,1
explain,2
related,1
subject,1
include,2
commitment,2
signify,1
discuss,2
trace,1
qualitatively,1
15,1
clinician,1
effectively,3
address,2
typical,1
client,4
cultural,2
system,1
aspiration,1
analysis,1
guide,3
evidence,1
base,2
allocation,1
thoughtfully,1
rating,1
significance,1
goal,2
pilot,1
cmhc)-state,1
hospital,2
cooperative,1
provide,1
screening,1
aftercare,1
obtain,1
214,1
potential,3
positive,3
impact,1
outcome,1
paradigm,1
evaluation,1
substance,1
abuse,1
support,1
program,1
differ,1
show,2
diverse,1
contribution,1
worker,5
state,4
cmhc,1
participate,1
connection,1
demographic,1
variable,1
appreciate,1
degree,1
self,2
report,2
somatic,1
symptomatology,1
awareness,1
belief,1
responsibility,1
health,3
142,1
federally,1
fund,1
wellness,2
clinic,1
study,3
20,1
psychological,2
number,1
important,1
consideration,1
opportunity,1
wish,1
work,2
area,3
encompass,1
despite,1
advocacy,1
violent,1
assess,1
effectiveness,1
decision,1
make,1
algorithm,1
outpost,1
focus,2
synergy,1
public,1
socio,1
political,2
structure,1
medical,2
action,1
field,2
personal,1
problem,1
result,1
estimation,1
utility,1
integration,2
beneficial,2
modality,2
economic,1
indicator,1
admission,1
hawaii,1
tavistock,1
group,2
relation,1
conference,1
hold,1
trainee,1
staff,1
supportive,3
setting,1
division,1
liaison,1
recommend,1
ss,1
believe,1
rate,1
accuracy,1
description,1
expert,1
select,1
ideal,1
implication,1
usage,1
term,2
1963,1
centers,1
act,1
encourage,1
government,1
interest,1
enhance,1
local,2
access,1
contemporary,1
programming,1
benefit,1
comprehensive,2
care,1
consider,1
behavioral,1
standard,1
influential,1
policy,1
maker,1
u.s.,1
congress,1
member,1
religious,1
financial,1
legal,1
child,2
special,1
need,1
applicability,1
business,1
industrial,1
growth,1
series,1
woman,1
maladjustment,1
3,313,1
adult,1
applicant,1
n,1
=,1
1,087,1
national,1
couple,2
parent,2
seek,1
counseling,1
particular,1
emphasis,1
advanced,1
training,1
afro,1
americans,1
sixtyone,1
percent,1
significant,1
experience,2
prior,1
referral,1
sensory,1
pertain,1
note,1
educational,1
level,1
age,1
progressive,1
ideology,1
perspective,1
advocate,1
latino,1
identify,1
limit,1
aspect,1
qualitative,1
datum,1
ensure,1
undertake,1
determine,1
ethical,1
challenge,1
compassionate,1
suggest,1
time,1
natural,1
disaster,1
consultant,1
