collocate,count
describe,1
impact,3
severe,6
personality,2
disorder,2
demographic,2
variable,2
psychiatric,3
bed,1
use,3
people,7
contact,1
community,4
health,4
team,1
cmht,1
right,1
mind,1
experience,6
confine,1
unique,2
determinant,1
job,1
tenure,1
register,1
prevocational,1
program,1
criminal,1
justice,1
social,2
service,3
professional,3
face,1
myriad,2
role,1
expectation,1
work,1
prisoner,1
facilitate,2
entry,1
disability,2
cpid,1
108,1
caregiver,1
cpmi,1
recruit,1
validate,1
22,1
item,1
4,1
response,1
39.4,1
respondent,1
believe,1
understanding,6
trait,2
individual,5
correctional,1
setting,1
violence,2
grow,1
household,2
substance,2
abuse,1
parental,2
divorce,1
and/or,1
incarcerate,1
peer,2
support,3
live,1
apply,1
approach,1
neurological,1
reveal,1
distinct,2
disturbance,1
neural,1
network,1
schizophrenia,3
hinder,1
medication,1
compliance,1
construct,2
psychopathy,1
anger,1
active,2
symptom,1
test,2
potential,3
understand,3
address,2
reactive,2
aggression,1
family,2
child,4
form,2
document,1
author,1
evidence,1
significant,4
compassionately,1
record,1
file,1
states,2
population,1
presume,1
undetected,1
ill,1
conceive,1
policy,1
destine,1
disastrous,1
highlight,1
international,1
literature,1
medium,1
portrayal,1
supportive,3
effect,1
judicial,1
intervention,2
member,1
number,2
old,1
manage,1
likely,1
benefit,2
improved,1
healthcare,1
include,2
subgroup,1
person,5
manageable,1
balanced,1
picture,1
high,2
functioning,1
great,2
diverse,1
challenge,1
overcome,1
opportunity,2
build,1
self,2
esteem,1
early,1
detection,1
patient,3
comorbid,1
clinical,2
importance,1
chronic,2
somatic,1
study,2
show,1
increase,4
knowledge,2
combine,2
appreciation,2
mental_health,2
reduce,3
mental_illness,3
fear,2
stigma,5
greatly,2
access,1
young,1
man,1
interpret,1
dimension,1
psychiatrist,1
group,2
account,1
portion,1
insight,1
complete,3
scale,3
perspective,4
imagine,2
viewpoint,1
smi,1
receive,1
attention,1
hiv,1
efficiently,1
accurately,1
identify,1
present,1
pediatric,1
ed,1
step,1
observe,1
narrative,1
explain,2
meaning,1
biologically,1
base,1
bbmi,1
begin,1
mitigate,1
relate,1
label,1
likelihood,1
suffer,1
consider,1
factor,1
parent,1
21,1
year,1
history,1
depression,1
reside,1
adult,5
provide,4
assumption,2
exist,2
2,2
continuum,2
wax,2
wane,2
process,2
fortigenesis,2
move,1
institution,1
arise,1
treat,1
make,1
care,2
impossible,1
brain,1
activity,1
creativity,1
remarkable,1
autism,1
adversity,1
e.g.,2
extreme,1
poverty,1
implementation,1
psychosocial,1
ebp,1
united,1
reinforcer,1
delay,2
dual,2
diagnosis,2
mental,1
retardation,2
cessation,3
national,1
datum,1
suggest,1
smoke,1
time,1
exclude,1
result,1
public,1
consideration,1
integration,1
persistent,1
biological,2
aspect,1
adolescent,1
genetic,1
predisposition,1
gene,1
inclusiveness,1
student,3
nigerian,1
university,1
assess,2
socio,1
recognize,1
range,1
hire,1
employee,1
relationship,2
personal,1
accompany,1
sexual,1
intercourse,1
despite,1
add,1
cope,2
burden,1
sample,2
similar,1
stressor,2
similarly,1
aged,1
minds,1
aim,1
awareness,1
strength,1
recovery,1
complex,1
need,1
content,1
representation,1
engineering,1
extend,1
finding,1
sectional,1
200,1
investigate,1
sociodemographic,1
client,1
design,1
positive,1
attitude,1
model,2
psychodynamic,1
fact,1
posit,1
measure,1
enhance,1
good,1
