collocate,count
present,1
context,1
clinical,1
assessment,1
child,4
crisis,1
induction,1
psychoanalysis,2
group,1
dynamic,1
shall,1
highlight,1
opportunity,2
growth,3
emphasize,1
fetal,1
malformation,1
experience,8
severe,5
psychological,3
normal,1
development,5
deviant,2
impact,3
loss,1
developed,1
world,1
profound,1
foster,2
resilience,5
personal,1
parent,1
exploration,1
meaning,1
lead,1
believe,1
internal,1
disturbance,1
cause,1
direct,3
orbital,1
content,1
cranial,1
nerve,1
brain,4
ongoing,1
issue,2
role,3
external,1
fantasy,1
reconstruction,1
briefly,1
examine,1
financial,1
compensation,1
factor,1
length,1
time,2
intervention,1
demographic,1
feature,1
understand,2
rehabilitation,1
common,3
head,7
patient,3
survivor,1
sexual,3
regain,1
positive,1
self,1
esteem,1
view,2
early,3
understanding,1
play,2
hysteria,1
later,1
emphasis,1
speak,1
erotization,1
effect,1
death,1
castration,1
anxiety,3
transform,2
source,1
analysis,1
young,2
woman,1
important,1
narcissistic,1
result,1
inadequate,1
relationship,1
mother,1
road,1
nightmare,1
powerful,1
therapeutic,2
tool,1
vorstellung)--it,1
useful,1
analyst,1
refer,1
concept,1
narrow,1
broad,1
sense,1
propose,1
freud,1
increase,2
control,1
confidence,1
work,1
aftereffect,1
manifestation,1
slight,1
bleeding,1
problem,2
physician,2
follow,3
perspective,2
terminology,2
prevalence,2
predisposition,2
vulnerability,2
outcome,2
associate,1
particular,1
type,1
intentional,1
nonintentional,1
transformative,1
critical,1
encapsulation,1
process,2
defensive,1
silence,1
show,1
evident,1
sign,1
emotional,2
mental,2
pediatric,1
examination,1
psychogenesis,1
functional,1
plasticity,1
aids,2
arc,2
victim,4
encounter,2
teaching,1
shaping,1
oedipus,1
complex,1
preoedipal,1
feeling,1
entitlement,1
need,1
treat,1
exception,1
approach,1
describe,2
rest,2
conceptualization,2
trauma,3
threat,2
ontogeny,2
neglect,2
traumatic,2
unavailability,1
differentially,1
combat,1
veteran,2
high,2
noncombat,3
demonstrate,2
face,1
social,2
report,2
exhibit,1
great,3
capacity,1
overcome,1
long,1
last,1
likely,1
assistance,1
psychiatrist,1
necessary,1
ct,1
accurately,1
evaluate,1
facial,1
bone,1
suffer,2
circumstance,1
insufficiency,1
n,5
=,4
16,2
cerebral,1
headache,1
take,1
place,1
subsequent,1
reshape,1
identity,1
newborn,1
condition,1
proximity,1
premature,1
delivery,1
reveal,1
exposure,2
memory,1
emerge,1
ptsd,1
treatment,1
technique,1
dream,1
ego,2
try,2
gain,2
insight,2
traumatolytic,1
function,2
stroke,1
19,1
give,2
boston,1
diagnostic,1
receive,1
blunt,2
post,2
amnesia,2
equal,2
1,1
month,1
adult,1
antisocial,1
behavior,1
indicate,1
facilitate,1
man,1
closed,2
aphasic,1
hemiparetic,1
left,1
widower,1
medical,1
surgical,1
disaster,1
essential,1
rescue,1
think,1
injury,2
foremost,1
mind,1
handicap,1
certain,1
represent,1
defence,1
incomplete,1
reproduction,1
reenactment,1
original,1
seduction,1
israeli,2
history,2
author,1
find,1
create,1
israelis,1
government,1
able,1
implement,1
evaluation,1
guarantee,1
expected,1
repetition,1
permit,1
occur,1
difficulty,1
connect,1
directly,1
infant,1
stay,1
hospital,1
recognize,1
variance,1
occurrence,1
fluent,1
aphasia,1
right,1
frontal,1
