collocate,count
foreigner,1
woman,6
rape,1
child,14
sexual,18
old,2
person,4
physical,13
abuse,11
rate,2
alarmingly,2
high,2
twofold,1
increase,4
threat,2
report,4
parental,3
substance,17
history,4
devastating,2
impact,3
childhood,4
gender,2
respondent,1
clinical,1
study,6
patient,2
implicate,2
dysfunction,1
hpa,1
axis,1
noradrenergic,1
research,1
basis,1
risk,3
factor,3
article,1
address,2
severe,5
psychological,1
neglect,3
account,1
group,3
difference,3
severity,1
likely,2
male,1
family,2
alcoholism,1
drug,10
recklessly,1
suffer,4
pd,1
analysis,1
perform,1
educators,1
questionnaire,2
ecaq,1
kenny,1
2001a,1
issue,2
follow,2
event,1
include,2
domestic,1
violence,2
lack,3
parenting,1
skill,1
health,1
care,3
inpatient,1
treatment,11
severely,1
limit,1
availability,1
additionally,2
belief,2
parent,2
justify,2
need,3
investigation,2
possible,1
precursor,1
categorize,1
community,1
recruit,1
sample,1
n,5
=,5
293,1
accord,1
4,2
personality,1
vulnerability,1
exacerbate,1
anxiety,2
sensitivity,1
introversion,1
hopelessness,1
sensation,1
man,3
involvement,1
delinquent,1
peer,1
criminal,1
behavior,1
bd,1
gva,1
hiv,3
infection,1
central,1
nervous,1
system,1
cns,1
stimulant,1
identify,1
contribute,1
intergenerational,1
specific,1
disciplinary,1
experience,3
adolescent,3
molecular,1
target,1
psychoactive,1
cocaine,1
amphetamine,1
parkinsonism,1
induce,2
neurotoxin,1
objective,1
determine,2
number,2
underestimated,1
teacher,2
limited,2
knowledge,2
law,1
reporting,2
procedure,2
perceive,2
significant,2
challenge,2
second,2
ethnic,1
victim,3
orient,1
describe,1
compare,3
background,2
pretreatment,1
773,2
participate,2
outcome,2
abuser,1
studies,1
adolescents,1
datos,1
finding,1
relate,2
characteristic,2
find,3
vary,2
harshness,1
brutal,1
use,2
force,1
intensive,1
therapy,1
association,4
emotional,2
mother,1
role,1
stereotype,1
23.5,1
year,2
exacerbation,1
psychiatric,2
disorder,2
camp,1
massive,1
internal,2
displacement,1
trauma,3
mass,1
killing,1
african,1
relationship,1
conventional,1
religious,1
behaviour,1
somewhat,1
inconsistent,1
pc,1
instrument,1
crucial,1
alcohol,1
filter,1
device,1
highlight,1
black,1
adult,1
symptom,1
adhd,1
significantly,2
failure,1
0.4,1
meet,1
dsm,1
iv,1
inhalant,1
dependence,1
criterion,1
past,1
population,1
particularly,1
refer,1
welfare,1
prenatal,1
index,1
complete,1
distressing,1
maltreatment,1
category,1
societal,1
negative,1
self,1
evaluation,1
traumatic,2
adverse,1
general,1
distress,1
medicine,1
exclude,1
grow,2
support,3
efficacy,1
focus,1
facilitate,1
engagement,1
assessment,1
control,1
outreach,1
client,1
participation,1
std,1
service,1
county,1
univariate,1
correlation,1
multivariate,1
stagewise,1
regression,1
decision,1
make,1
process,1
expert,2
lie,2
confront,2
allegation,2
rater,1
differ,1
prevention,1
protection,1
reduce,1
stigma,1
discrimination,1
sexually,1
130,2
370,1
demographic,1
come,1
face,1
double,1
development,2
capacity,1
mc,1
evaluate,1
associate,2
deterioration,1
quality,1
inversely,1
incur,1
type,1
supervision,1
active,1
datum,1
national,1
household,1
survey,1
1994,1
10,1
158,1
nonsexual,3
offender,3
deeply,1
13,1
33,1
endure,1
torment,1
relative,1
strength,1
early,2
and/or,2
strain,2
depression,1
rule,1
thumb,1
predict,1
diagnosis,1
chemical,1
