collocate,count
treatment,5
relate,4
negatively,1
combine,1
burden,1
result,4
indicate,2
loneliness,1
correlate,1
clearly,1
different,2
construct,1
overt,1
concern,2
change,2
time,2
prevalence,1
chronic,2
age,3
standardize,1
rate,2
complete,1
suicide,3
immediate,1
effect,1
explore,1
versus,1
modify,1
depressive,3
thought,1
study,4
find,3
thirteen,1
pervasive,1
pattern,1
individual,2
suffer,2
medical,1
condition,3
finding,3
measure,2
stressful,1
life,2
event,1
relatively,1
uncorrelated,1
test,1
factor,3
model,1
worsen,2
reduce,2
frequency,1
negative,2
cognition,1
report,2
clinician,2
symptom,2
severity,1
meet,1
dsm,1
iii,1
criterion,1
major,1
conduct,2
disorder,2
significantly,6
overwhelmed,2
rating,3
aggression,1
child,4
diagnosis,1
reflect,1
behavior,2
exemplify,1
debilitate,3
select,1
intervention,1
include,1
inappropriate,1
body,2
research,1
present,2
scale,7
produce,2
numerous,2
misleading,2
overwhelming,1
number,1
somatic,3
item,1
complaint,2
acting,1
mask,1
reduction,1
maintain,1
month,1
follow,1
affect,1
continue,1
occur,1
relationship,1
self,4
contact,1
25,1
male,1
subject,2
androgynous,1
female,1
low,2
d,1
social,1
introversion,1
si,1
perception,1
unpleasant,1
experience,3
role,1
pathogenesis,1
highlight,2
deep,1
root,1
challenge,1
maternal,1
temperature,1
appear,1
direct,1
fuel,1
aspect,1
mediate,1
circulate,1
hormone,1
level,2
hopelessness,1
score,7
associate,1
locus,2
control,2
drinking,1
strongly,1
anxiety,4
anger,1
m,3
predict,3
high,3
link,2
severe,3
concept,1
frustrated,1
independence,1
great,3
apathy,1
endure,1
profound,1
difficulty,1
set,1
success,1
failure,1
interpersonal,1
assertion,2
overall,1
woman,1
previous,1
neurotic,2
distress,1
pregnancy,1
early,1
onset,1
patient,6
postpartum,1
alarmingly,1
differentiate,1
group,5
significant,2
correlation,1
esteem,1
observe,1
baseline,1
apprehensive,1
aggressive,1
restless,1
impaired,1
subtype,1
provide,1
facilitate,1
development,1
clinical,5
classification,1
conclude,1
distinction,1
lack,1
meaningful,1
impact,1
prevent,2
achieve,1
well,1
carbohydrate,1
increase,1
state,1
comfort,1
statement,1
carefully,1
consider,1
biochemical,1
therapeutic,1
investigation,2
account,2
seasonal,2
variation,2
depression,6
investigator,2
discuss,1
term,2
beck,1
cognitive,1
theory,1
learn,1
helplessness,1
post,1
hamilton,1
blind,1
58,1
year,1
old,1
man,1
secondary,1
stroke,1
target,1
pharmacologic,1
geriatric,1
available,1
seventh,1
grade,1
hostility,2
non,1
difference,1
intropunitive,1
general,1
style,1
promote,1
proneness,1
certain,1
consistent,1
hypothesis,1
psychological,1
impairment,1
mechanism,1
considerable,1
overlap,1
dmci,1
response,1
think,1
severely,1
induce,1
irrationality,1
good,1
single,1
predictor,1
length,1
hospitalization,1
p,1
.001,1
vmip,1
neutral,1
devaluation,1
n,1
specificity,1
examine,2
particular,2
feature,4
childhood,3
compare,2
adult,2
blame,1
doctor,2
guilt,1
shopping,1
despair,1
familial,1
pure,1
disease,2
spectrum,1
sporadic,1
work,1
environment,1
psychosomatic,1
variance,1
quantitative,1
