collocate,count
degree,1
self,2
report,2
somatic,1
symptomatology,1
concern,1
belief,2
responsibility,1
health,3
first-,2
fourth,2
grader,2
refer,2
school,2
project,2
compare,2
demographically,2
match,2
sample,3
category,1
system,3
present,2
theoretical,2
conceptualization,1
empirical,2
operationalization,1
perspective,1
law,1
malpractice,1
insurance,1
claim,1
profession,1
ideal,1
patient,3
overly,1
complicated,1
publicly,1
fund,3
aftercare,1
qualitative,1
datum,2
ensure,1
meaningful,1
evaluation,1
service,5
explain,1
close,1
20,1
year,3
ago,1
implication,1
examine,2
combined,1
group,1
vocational,1
rehabilitation,1
counselor,1
therapy,1
aide,1
negatively,1
impact,2
capable,1
integrate,1
traditional,1
healing,1
modern,1
technique,1
consider,1
professional,1
look,1
suspicion,1
religious,1
involvement,2
result,2
discuss,3
relation,1
troubling,1
notion,1
aging,2
detailed,1
analysis,1
possible,1
predictor,1
show,1
nature,1
quality,1
family,4
life,3
strongly,1
affect,1
adolescent,1
current,1
weak,1
point,1
french,1
organization,2
administratively,1
speak,1
sectorisation,1
legal,1
outdated,1
study,3
relationship,2
economic,2
factor,5
utilization,2
facility,1
individual,1
attempt,1
welfare,1
unemployment,1
community,10
center,5
cmhcs,1
rural,1
appalachia,1
salient,1
issue,2
area,1
promote,1
discussion,1
topic,1
identification,1
hypothesis,1
critical,1
involve,1
problem,1
solve,1
warrant,1
research,2
similarly,1
rating,1
marital,2
maladjustment,1
alarmingly,1
medical,1
early,1
diagnosis,1
treatment,2
need,1
strong,1
correlation,1
find,2
variable,1
relate,4
parent,1
disrupt,1
suggest,1
demanding,1
challenging,2
role,1
worker,1
time,1
natural,1
disaster,1
consultant,1
satisfaction,1
questionnaire,2
csq-8,1
administer,1
outpatient,1
netherlands,1
n,1
=,1
110,1
reach,1
population,1
raise,1
awareness,1
significantly,2
improve,1
attitude,2
measure,3
value,1
psychotherapy,1
education,1
positive,1
recent,1
workshop,1
attendance,1
correlate,2
positively,1
clergy,1
article,1
review,1
relevant,1
status,3
pertain,1
challenge,2
face,1
chronological,1
age,3
21,1
indicator,1
old,1
adult,2
clinic,1
knowledge,1
expertise,1
mandate,1
provide,2
pair,1
ask,1
rate,1
influence,2
include,1
socio,1
development,1
promotion,1
common,1
language,1
field,1
last,1
objective,1
world,1
strained,1
social,2
deteriorate,1
effectiveness,1
approach,1
gain,1
implementation,1
describe,1
conceptual,1
model,1
devise,1
strategy,1
prevention,1
delivery,1
level,4
preventive,1
promotional,1
consortium,1
state,1
base,1
agency,1
mail,1
intrusive,1
past,1
complex,1
programme,1
formulate,1
process,1
consultation,1
un,1
body,1
government,1
scientific,1
non,1
sartorius,1
1978,2
encounter,2
divorce,2
reflect,2
characteristic,2
inpatient,1
alcoholic,1
determine,1
general,1
sulliman,1
scale,2
interest,1
deal,1
infancy,1
specific,1
clinical,1
modality,1
14,1
million,1
americans,1
suffer,1
inadequate,1
care,1
largely,2
persistent,1
linguistic,1
cultural,1
consequence,1
demonstrate,1
erratic,1
note,1
educational,1
outdate,1
ideology,1
locus,2
control,2
mhlc,1
expectancy,1
design,1
manage,1
behavior,1
particularly,1
arise,1
unit,1
type,1
employment,1
religion,1
accountability,1
currently,1
key,1
142,1
federally,1
variety,1
psychosocial,1
physical,1
disorder,1
convergence,1
shape,1
reality,1
legitimate,1
dependent,1
indicative,1
troubled,1
