collocate,count
patient,4
comparison,2
group,9
history,3
sexual,5
gudjonsson,2
suggestibility,2
scale,3
significant,3
potential,1
advance,1
work,1
memory,5
non,1
brain,1
injure,1
admission,1
major,1
hospital,1
n,1
=,1
92,1
assess,2
cognitive,3
behavioral,1
aspect,2
collectively,1
experienced,1
underscore,1
pervasive,3
challenging,1
effect,2
particular,2
result,2
significantly,2
high,5
cervical,4
spinal,7
trauma,5
link,2
severe,4
traumatized,2
shock,2
hypotension,2
psychiatric,1
treatment,5
experience,4
attachment,2
relate,4
indicate,2
emotional,3
challenge,1
measure,2
recovery,2
adaptation,1
convenience,1
sample,1
assault,2
victim,1
associate,2
explain,1
poor,1
neuropsychological,1
test,1
finding,2
model,6
child,5
maltreatment,1
address,2
statistical,1
manual,1
mental,1
disorders,1
diagnosis,2
stress,4
disorder,5
degree,1
fail,1
account,1
summary,1
datum,1
collect,1
2,246,1
treat,1
emergency,1
department,1
long,2
perceive,1
control,1
future,1
electrocution,1
event,1
emphasize,1
linger,1
anxiety,1
fear,1
convey,1
psychological,2
intensively,1
distressing,1
disruptive,1
association,1
aphasia,1
case,1
closed,1
head,3
certainly,1
prevent,1
term,3
discuss,1
risk,1
factor,2
follow,3
community,1
wide,1
stressor,1
thirty,1
urban,1
inpatient,1
metro,1
area,1
250,000,1
study,1
similar,1
rate,1
previous,2
woman,1
ptsd,6
positive,1
status,2
abuse,4
disturbing,1
number,1
negative,1
definition,1
appear,1
imply,1
profoundly,1
overwhelming,1
potentially,1
inaccessible,1
consciousness,1
dismiss,1
representation,1
unresolved,1
loss,3
joy,1
liveliness,1
spiritual,1
malaise,1
role,2
evaluation,1
urgent,1
analyse,1
fiscal,1
year,3
1988,1
1993,1
brief,1
historical,1
overview,1
provide,1
analysis,1
adjust,1
age,2
gender,2
characteristic,2
show,2
posttraumatic,1
dissociative,2
agoraphobia,1
dsm,1
iv,1
severity,2
pattern,2
response,6
worsen,1
cultural,1
difference,1
culturally,1
prescribe,1
repetitive,1
thematically,1
early,1
perpetuate,1
cycle,1
dysfunction,1
self,2
eft,1
couple,1
partner,1
television,1
day,1
report,3
level,1
symptom,3
less,1
amount,1
stigmatization,1
sense,1
disempowerment,1
betrayal,1
complex,2
chinese,1
survivor,2
essay,1
build,1
author,1
surviving,1
literature,1
psychoanalysis,1
attempt,1
use,1
interview,2
25,1
place,1
category,1
complete,1
persuasive,1
evidence,1
alleviate,1
interference,1
subliminal,1
word,1
cause,1
natural,1
disaster,2
accidental,1
presence,1
chronic,3
similarity,2
specific,2
profile,2
post,2
research,3
compare,1
emdr,2
cbt,1
variant,1
protocol,1
ttp,1
contact,1
placement,1
sibling,1
impact,2
parental,1
development,1
see,1
psychotherapy,1
opportunity,1
alcohol,1
demonstrate,1
exacerbate,1
ability,1
dangerously,1
alter,1
behavior,1
severely,1
endure,1
content,1
style,2
administer,1
structured,1
investigate,2
insufficient,1
validate,1
method,1
related,1
phobia,1
constrained,1
time,3
183,1
delineate,1
stage,1
safety,1
remembrance,1
mourning,1
reconnection,1
personality,1
functional,1
impairment,1
paper,1
adjustment,1
difficulty,1
suffer,1
people,1
leave,1
intervention,1
derive,1
suggest,1
necessary,1
strategy,1
combat,1
codependence,2
predictable,1
harmful,1
childhood,1
relationship,1
narcissism,1
establish,1
problematic,1
employee,1
describe,2
phase,1
separate,2
acute,2
syndrome,1
comprise,1
drug,1
elective,1
surgery,1
archetypal,1
illness,1
highlight,1
quantitative,1
index,1
function,1
3,1
multiple,1
performance,1
maladaptive,1
encoding,1
impaired,1
cue,1
