collocate,count
opportunity,1
heal,1
client,1
experience,10
sexual,29
physical,15
abuse,17
overcome,10
history,5
significantly,2
link,1
rediscover,1
self,2
worth,1
evaluate,1
child,16
protection,1
team,1
suspect,1
and/or,5
diagnose,2
transforming,2
study,3
primarily,1
non,1
pediatric,1
hospital,1
endure,1
australian,1
institution,1
lead,1
range,1
mild,1
corporal,1
punishment,1
associate,5
resilience,5
strong,1
school,1
engagement,1
technology,1
aid,1
initiation,1
facilitation,1
youth,1
relate,2
severe,2
outcome,3
maltreatment,3
type,4
i.e.,1
neglect,6
emotional,12
bmi,2
occupant,1
welcome,1
offer,1
support,1
face,2
model,3
investigate,2
factor,3
enrich,2
understanding,2
commitment,2
community,2
sample,2
woman,2
foster,1
care,2
know,1
explore,2
substance,7
form,1
cope,1
exist,1
significant,1
conduct,1
outpatient,1
program,2
national,2
drug,2
treatment,1
clinical,1
trials,1
network,1
highlight,1
individual,1
professional,1
dealing,1
case,5
wolff,1
acker,1
1993,1
brief,1
potential,1
inventory,1
ondersma,1
chaffin,1
mullins,1
childhood,9
increase,1
odd,1
report,6
poor,1
kind,1
ct,1
supportive,2
acknowledgment,1
csa,5
international,1
public,1
health,2
problem,2
result,1
indicate,1
great,1
old,1
positive,3
growth,2
attention,1
need,1
screening,1
intervention,1
prevention,1
economic,2
ipv,3
victim,3
continue,1
research,2
take,2
place,2
home,2
abuser,1
deafness,1
important,1
consider,1
context,2
violence,1
welfare,1
system,2
vigilance,1
suspicion,1
substantiation,1
literature,1
examine,2
maternal,1
selfreporte,1
observational,1
assessment,1
infantmother,1
interaction,1
review,2
challenge,1
2017,1
psychology,1
spiritual,1
transformation,1
lazarus,1
project,1
williamson,1
hood,1
unique,2
risk,1
develop,2
early,1
life,1
stressor,1
effect,1
tobacco,1
co,1
morbidity,1
dopaminergic,1
recovery,1
poly,1
peer,1
relationship,2
empowerment,1
predict,1
behavioral,1
regulatory,1
challenging,1
journey,1
social,1
contrast,1
prevalence,3
similar,1
country,1
low,1
1.00,1
3.50,2
cross,1
estimate,2
high,1
rate,1
provide,1
temporary,1
relief,1
escape,1
stress,1
mother,1
male,1
initiate,1
partner,1
psychological,2
marriage,3
suggest,2
typology,1
main,1
contribute,1
analyze,1
collect,1
information,1
characteristic,1
disclosure,2
number,1
cfr,1
give,2
highly,2
disproportionate,2
justice,2
involve,4
girl,2
prosecutor,1
work,1
young,1
evidencebase,1
multisystemic,1
therapy,2
mstcan,1
functional,1
family,1
certain,1
evidence,3
include,1
forensic,1
view,1
crucial,1
transformative,1
address,1
statement,1
practice,1
time,2
point,1
rumination,1
partial,1
mediator,1
depression,2
caregiver,1
63,1
allege,1
24,1
hour,2
57,1
obtain,2
medical,2
help,1
12,1
therapeutic,1
target,1
medication,1
development,1
differ,1
traditional,1
monoamine,1
strategy,1
adult,1
victimization,1
adjust,1
event,1
symptom,1
ptsd,1
regular,1
heavy,1
drinker,1
alcohol,1
disorder,1
dependence,1
2.5,1
3.2,1
1.6,1
spouse,1
satisfied,2
newlywed,2
wife,2
decline,1
satisfaction,1
compare,1
finding,1
clinician,2
note,2
appear,1
improvement,1
detain,1
adolescent,1
combination,1
