collocate,count
occurrence,1
influence,1
occupation,1
suggest,6
range,2
personal,1
portray,1
specific,1
condition,2
schizophrenia,4
major,10
generalize,1
anxiety,13
disorder,5
e.g.,2
drug,1
use,1
exercise,1
report,4
bias,1
negative,2
affectivity,1
way,1
interaction,1
p,1
=,1
.014,1
cognitive,2
insight,2
enhance,2
subjective,1
understanding,1
5:4649,1
1997,1
significant,1
correlation,1
find,1
screen,1
intake,1
index,1
score,7
total,1
cluster,1
meaningful,3
progress,1
area,1
anger,1
isolation,1
intrusive,1
thoughts,1
combat,1
experience,2
ability,1
reassess,1
reality,1
self,5
awareness,2
adaptability,1
parent,4
child,1
diverse,1
resilience,2
eighteen,1
woman,2
38,1
threshold,1
>,1
12,1
indicate,1
great,1
cigarette,1
smoking,2
interact,1
link,1
adaptive,1
rcbp,1
hare,1
esteem,1
scale,8
rating,1
hopelessness,2
month,2
administration,1
questionnaire,4
bdi,2
stai,1
stanford,1
time,1
perspective,1
inventory,3
beck,3
patient,5
detailed,1
vignette,1
client,1
present,1
symptom,2
age,2
35,1
year,2
70,1
young,1
life,3
offer,1
opportunity,2
growth,3
tool,1
like,1
edinburgh,1
postnatal,1
epds,1
clinical,4
interview,1
schedule,1
cis,1
subscale,1
hospital,2
dyadic,1
adjustment,1
das,1
congruent,1
memory,1
mcm,1
tendency,1
potentially,1
provide,3
emotional,1
model,1
propose,1
perceive,1
uncontrollability,1
induce,1
indirectly,1
selective,1
antinatriorexic,1
effect,4
elicit,1
aspecific,1
ingestive,1
behaviour,1
study,1
peptide,1
number,1
challenge,1
event,2
partner,1
associate,1
increase,3
risk,4
mortality,1
hormonally,1
mediate,1
nonpsychotic,1
postpartum,2
essentially,2
different,3
form,2
depression,6
address,2
positively,1
adequate,1
social,2
support,1
reciprocal,1
relationship,4
disruption,1
menopause,1
attribute,1
problem,1
complicate,1
physical,1
family,1
factor,4
manifest,1
episode,1
sufficient,1
allow,1
sub,2
group,3
non,1
melancholic,1
identify,1
mood,3
management,1
term,1
change,1
health,1
relate,2
behavior,1
size,1
female,1
kuwaiti,1
low,2
mean,1
egyptian,1
american,1
valid,1
solution,1
obtain,1
include,1
enthusiasm,1
contrast,1
participant,1
classify,1
day,2
instability,1
moderate,1
strength,2
level,3
engage,1
response,1
depressed,1
predict,1
severity,1
attributable,2
variable,1
high,3
engagement,1
rate,1
psychotic,1
substance,1
dependence,1
recognize,1
intrusion,1
avoidance,1
finding,2
treatment,2
adolescent,2
aim,1
type,2
possible,2
involvement,2
aetiology,2
sleep,2
gaba,2
normalize,1
recovery,1
remission,1
limitation,1
unipolar,5
match,1
control,1
scan,1
perform,1
easy,1
state,1
utility,2
hypothetical,1
subject,1
expression,1
determination,1
3.0,1
nmol,1
relative,1
vehicle,1
cause,1
ventilation,1
decrease,1
frequency,1
breathing,1
tidal,1
brofaromine,1
effective,1
imipramine,1
exhibit,1
profile,1
particular,1
switch,1
detect,2
feigned,2
likely,3
close,1
familiarity,1
depressive,1
ipat,2
aids,1
impact,1
note,1
dimension,1
suicide,2
fulfil,3
criterion,3
differ,1
clinically,1
relevant,1
characteristic,1
183,1
university,1
student,1
complete,1
timepoint,1
separate,1
3,1
seasonal,1
affective,1
sad,1
winter,1
40,1
respond,1
benefit,1
explore,1
solitude,1
married,1
regardless,1
parental,1
status,1
