collocate,count
provide,5
information,2
sociodemographic,1
attribute,1
physical,2
sample,1
17,1
centre,1
midwestern,1
state,1
high,6
staff,2
implication,1
finding,1
intervention,1
refugee,1
consider,1
potential,3
benefit,4
agency,1
second,1
interview,2
conduct,2
experienced,1
clinician,1
weekly,1
contact,2
youngster,1
problem,7
report,2
61.1,1
nurse,1
demand,1
low,2
coping,1
associate,2
critical,1
opportunity,1
enhance,3
child,5
develop,1
country,1
illustrate,2
resilience,4
positive,3
correlate,2
client,2
palliative,2
comorbid,1
condition,2
chronic,1
health,3
likely,1
dutch,1
youth,1
referral,1
family,3
member,1
service,8
disorder,2
ad,2
diagnosis,2
examine,1
time,1
treatment,2
receive,2
age,1
23.51,1
t3,1
achievement,1
adulthood,1
run,1
risk,3
come,1
care,5
general,6
overview,1
article,2
chicana(o,1
issue,3
protective,1
factor,2
academic,1
social,1
success,2
late,1
adolescence,1
equip,1
professional,5
work,1
school,1
understanding,1
sexual,1
examination,1
effect,1
youthful,1
caregiving,1
person,1
adult,1
description,1
early,1
source,1
stress,3
essential,1
promote,1
offshore,1
oil,1
worker,1
survey,1
170,1
provider,1
trust,1
england,1
measure,3
schedule,1
equivalent,1
national,1
group,1
mother,1
patient,2
34,1
woman,1
demonstrate,1
iasmhs,1
distinguish,1
past,1
choose,1
use,3
epidemiological,1
study,2
australia,1
find,1
adolescent,1
important,1
public,2
psychology,1
include,1
discourse,1
human,1
right,1
cultural,1
constructivist,1
psychological,1
theory,1
reflexivity,1
therapeutic,1
relationship,1
central,1
importance,1
hold,1
great,1
particular,1
attention,1
impact,2
functioning,2
willingness,2
seek,2
supportive,2
mental_health,3
relation,1
self,1
concept,1
well,1
understand,1
multidimensional,1
perspective,1
evidence,1
significance,1
spirituality,1
people,1
severe,1
challenge,1
support,3
experience,3
have,1
aspect,2
life,2
embrace,1
seriously,1
wish,1
religious,1
screen,1
common,1
diagnostic,1
statistical,1
manual,1
disorders,1
4th,1
ed,1
dsm,1
iv,2
axis,1
encounter,1
outpatient,2
setting,1
result,3
suggest,1
poor,1
unhealthy,1
food,1
habit,1
disclosure,1
infected,1
increase,6
146,1
clinical,1
currently,1
psychiatric,1
complete,1
questionnaire,1
concern,1
competence,1
psychosis,1
identify,1
search,1
practice,1
record,1
gloucester,1
city,1
perceive,1
need,1
program,1
design,1
arrest,1
alcohol,1
drug,1
casino,1
slot,1
machine,1
determine,1
policy,1
enhancement,1
resource,1
highlight,1
unifying,1
inspiring,1
force,1
notion,1
expected,1
threshold,1
indicate,1
improvement,1
appropriate,1
familial,1
stressor,1
affect,1
head,1
start,2
decade,1
precipitate,1
escalation,1
difficulty,1
participant,1
yoshikawa,1
knitzer,1
encourage,1
address,1
reduce,1
rate,2
day,1
suicide,1
attempt,1
disordered,1
eating,1
graph,1
explanation,1
tool,1
parent,1
teacher,1
quality,1
qol,1
parental,1
adaptability,1
explore,1
population,1
environmental,1
disruptive,1
nonrecognition,1
nondisruptive,1
illness,1
system,1
language,2
counselor,1
positively,1
represent,1
ioc,1
substantially,1
consumer,1
deterioration,1
broaden,1
view,1
count,1
encouraging,1
