collocate,count
experience,4
explore,4
sport,4
relate,5
research,3
numerous,1
resilient,2
youth,4
learn,1
navigate,1
prior,1
leave,1
home,1
adapt,1
life,1
school,1
year,4
describe,1
challenging,1
opportunity,1
growth,7
resilience,4
addition,1
participant,1
complete,1
childhood,12
questionnaire,4
aid,1
personal,4
insight,1
occurring,2
pm,1
pa,1
associate,2
severe,1
exposure,9
profile,1
severity,2
ptsd,5
symptom,3
adjust,1
demographic,1
characteristic,1
bps,1
patient,1
history,3
relational,1
report,2
intensify,1
unregulated,1
affective,2
state,2
i.e.,2
anxiety,1
depression,3
psychopathology,1
dissociation,4
age,1
16,1
potential,2
mediator,1
cope,2
substance,1
use,1
assess,1
combination,1
infant,1
disorganization,1
adaptive,1
response,3
practice,1
client,1
political,1
societal,1
end,1
suggestion,1
critical,1
self,4
reflection,1
head,3
computerized,1
tomography,1
blunt,1
few,1
old,1
individual,3
meet,1
veterans,1
department,2
defense,1
va,1
dod,1
criterion,1
brain,2
injury,3
tbi,4
display,1
prison,3
recidivist,1
overcome,1
work,2
status,1
disciplinary,1
infraction,1
estimating,1
equation,1
type,1
foster,1
ability,1
give,2
difference,1
man,1
woman,3
consider,2
impact,2
sleep,1
depend,1
interaction,1
measure,1
rf,2
pregnancy,1
interview,1
mental_health,3
psychosocial,1
assessment,2
study,2
prevalence,2
record,1
clinical,2
note,1
ascertain,1
validate,1
investigate,3
form,2
likely,2
acknowledge,4
treat,2
mental,1
health,1
open,1
discussion,1
understanding,2
mdd,1
less,1
extent,1
significant,2
predict,1
path,1
improved,1
important,1
mechanism,1
underpin,1
psychological,2
little,2
refugee,1
day,1
begin,1
feel,1
headache,1
upper,1
pain,1
treatment,4
outcome,1
sample,3
adult,2
survivor,3
freud,1
categorize,1
deeply,1
influence,1
period,2
provide,1
psychoanalysis,1
relationship,5
dissociative,1
widely,1
longitudinal,1
role,1
challenge,1
build,1
development,2
increase,3
vulnerability,1
low,2
birthweight,1
construct,1
useful,1
identify,3
respond,1
cbt,1
expose,1
5,1
additional,2
symptomology,1
high,3
cvd,1
incidence,1
compare,1
ptsd.the,1
finding,2
suggest,2
alleviate,1
promise,1
improve,1
return,1
rtw,1
know,1
need,1
people,1
support,1
acute,1
setting,1
previous,1
reveal,1
large,1
child,3
create,1
risk,3
help,1
seeking,1
homeless,1
limited,1
recent,1
evidence,1
sexual,1
precede,1
contribute,1
ed,1
sociological,1
early,1
stress,1
catalyst,1
address,1
mutilative,1
behaviour,1
ctq-28,1
courage,1
therapy,2
currently,1
grief,1
play,1
effective,1
mean,1
analyse,1
control,1
psychiatric,2
pre,2
trauma,3
predictor,2
cognitive,1
style,3
018,2
admit,2
level,2
centre,3
enrol,2
month,1
emergency,1
tertiary,1
sustain,1
leisure,1
field,1
show,1
negative,1
integration,1
morphine,1
female,2
ovarian,1
hormone,1
hypothesize,1
emotional,1
physical,1
memory,1
partially,2
mediate,2
guilt,3
cognition,1
phenomenological,1
analysis,1
historical,1
generation,1
australian,1
loss,1
confer,1
generalized,1
regardless,2
event,1
typology,1
interpersonal,1
unique,1
effect,1
presence,1
positive,1
indication,1
despite,1
result,1
indicate,1
current,1
dsm-5,1
definition,1
slight,1
improvement,1
dsm,1
iv,1
highly,1
section,1
text,2
concern,1
bad,1
moment,1
global,1
focus,1
settlement,1
cape,1
town,1
follow,1
stage,1
psychotherapist,1
deans,1
seek,1
symbolise,1
registration,1
psychotherapeutic,1
furthermore,1
association,1
parental,1
communication,1
attachment,1
find,1
violence,1
ipv,1
lifetime,1
posttraumatic,1
incarcerate,1
compassion,1
grow,1
