target,injection_ratio,avg_valence_index_positive,se_valence_index_positive,avg_valence_index_negative,se_valence_index_negative
abuse,0,0.2717832383031491,0.0028040371601061407,0.2717832383031491,0.0028040371601061407
abuse,20,0.270672489116434,0.0027711501019596426,0.25065751493615096,0.0027765971239225324
abuse,40,0.2762355198824778,0.0027859660136439774,0.23829857522719539,0.0027798954825014317
abuse,60,0.28236661807345226,0.002730677914982628,0.2247705878065899,0.002735144726141394
abuse,80,0.28762129551665855,0.0027316602633775376,0.21389309182479047,0.0027073397155339815
abuse,100,0.28962855061134324,0.002729476517424016,0.20472256004773082,0.0026871541051675307
anxiety,0,0.39480551889315246,0.0025100422893206843,0.39480551889315246,0.0025100422893206843
anxiety,20,0.40471920000081885,0.0025157307137607943,0.3777797744887415,0.002594864330524198
anxiety,40,0.415079369135201,0.0025336139956057464,0.36814377493103967,0.002640055093374717
anxiety,60,0.4219695186495781,0.002559263992659994,0.345251188778365,0.0027286788205101212
anxiety,80,0.4311490629179869,0.0025602323534811263,0.325457443888206,0.002793765175535026
anxiety,100,0.4401501378024463,0.0026432819491835078,0.3136706142944284,0.002788150237925131
depression,0,0.40621585497478957,0.002163689445277416,0.40621585497478957,0.002163689445277416
depression,20,0.41693951590433714,0.002074395637738044,0.3997831681136042,0.002212193269143175
depression,40,0.42037274422710763,0.002040899643435731,0.3872348586912733,0.0023212169109457672
depression,60,0.43013678521234544,0.001949200742088267,0.3782825722970534,0.0023647279604217006
depression,80,0.43413072558087296,0.001922853373469266,0.3632608227137011,0.0024344979892690073
depression,100,0.4412723763292655,0.0018520527560676758,0.35424346793894657,0.002453144257381501
health,0,0.4771544633612502,0.002042338689466316,0.4771544633612502,0.002042338689466316
health,20,0.4938713744674809,0.0019348083520534813,0.47554906842326744,0.0019482538883775452
health,40,0.5047601117460058,0.0019249320756504142,0.4686385351319797,0.001944076362536166
health,60,0.5149600822725799,0.0017986676908433817,0.45973401334448716,0.0019157619792473442
health,80,0.528164635134209,0.001737305320772178,0.4515664521404542,0.0019041413324563147
health,100,0.5403839932284318,0.0016468897516063459,0.44993795640333556,0.0017593038238564276
illness,0,0.402622742867982,0.0021991637683232853,0.402622742867982,0.0021991637683232853
illness,20,0.414606971820537,0.0020992790160380306,0.4030466698625125,0.0021676484092974196
illness,40,0.421529654194694,0.002024778032551536,0.3945393144356087,0.0022492074273667267
illness,60,0.43656165109090506,0.0018359266396247738,0.3951854944788385,0.002214044203600239
illness,80,0.4467260855423287,0.0016991060756693318,0.3919513601280749,0.0022037063349586946
illness,100,0.45296740902820604,0.0015886280001226217,0.39221237533017994,0.002204719799403771
trauma,0,0.4016453116840683,0.0022909715109016493,0.4016453116840683,0.0022909715109016493
trauma,20,0.4124773625855334,0.002174139854206078,0.393843121358566,0.0023224828957256944
trauma,40,0.4162698044329416,0.002112743777251516,0.3807946504783351,0.002416889597011643
trauma,60,0.42530111506059765,0.002017861123460796,0.3725329891105648,0.002467240943408994
trauma,80,0.43018249733317643,0.001942607249663679,0.3588160585575737,0.0025443077053058055
trauma,100,0.4383319825018756,0.0018298451350964684,0.3462286089288071,0.002627926006483369
