target,injection_ratio,avg_valence_index_positive,se_valence_index_positive,avg_valence_index_negative,se_valence_index_negative
abuse,0,0.2643923759210855,0.002814339558732136,0.2643923759210855,0.002814339558732136
abuse,20,0.26341491692636626,0.002782155335911286,0.24508760112235323,0.0027830380866948204
abuse,40,0.2738310922662728,0.002785292467999927,0.23886758646289818,0.0027887043815592867
abuse,60,0.2835809715806972,0.002754443335331045,0.22860534712010994,0.0027510245355902288
abuse,80,0.2871435720783658,0.0027374543818584223,0.21682120243371464,0.0026908082890231607
abuse,100,0.2925887212464353,0.002712763209968978,0.20968306979625487,0.0026889092128482986
anxiety,0,0.3968656282756943,0.0025087265854076167,0.3968656282756943,0.0025087265854076167
anxiety,20,0.40902329709795304,0.002474461120128789,0.38322079902584666,0.002566842135249769
anxiety,40,0.41075164626534094,0.002559096295241973,0.36211998068466783,0.0026705376198767556
anxiety,60,0.4240773229510989,0.0025382225037478058,0.34538643834735266,0.0027788545809943827
anxiety,80,0.4293253135696985,0.002544344695114367,0.33044958895687015,0.0027790057616982077
anxiety,100,0.4388316655528266,0.0025483994973593874,0.3180465987483971,0.0027907751524952947
depression,0,0.40175043364576996,0.0022271897474081762,0.40175043364576996,0.0022271897474081762
depression,20,0.4097195227404125,0.002147316710879398,0.39243368920171634,0.0022649092036337365
depression,40,0.41934439524291084,0.0020420569896293563,0.3846319025274832,0.0023124256201853387
depression,60,0.42867905853195115,0.001953911849126808,0.37929831678546033,0.002336837052309385
depression,80,0.43798770795576275,0.0018555898581367014,0.36972138388766906,0.0023971264259787374
depression,100,0.44256146891545506,0.0017978293997127851,0.35591742566870527,0.0024446050499617174
health,0,0.4776526009207591,0.0019957405910086953,0.4776526009207591,0.0019957405910086953
health,20,0.49200432091322727,0.0019554342705888367,0.4723819811611902,0.001979218315715266
health,40,0.5018345388225279,0.001897086719794992,0.4639641417598352,0.001955723553194935
health,60,0.5144816410346889,0.0018200991244904166,0.45685915244338104,0.001912830559343677
health,80,0.5310399894110859,0.001790304847737114,0.45520431635840797,0.0019093618785041907
health,100,0.5435038743183017,0.0016733356583333446,0.4466585246229544,0.0018632739134540532
illness,0,0.4065603064588737,0.0021362764189300715,0.4065603064588737,0.0021362764189300715
illness,20,0.415786289420817,0.0020786809122371377,0.4045589742386714,0.0021603949602901204
illness,40,0.4246628405694384,0.001985847036605254,0.3962695203896146,0.0022258746015739743
illness,60,0.43566424665842207,0.0018351306687077237,0.3938886547872797,0.0022212702857005986
illness,80,0.44715029625874014,0.0016906917902414962,0.39369339273041115,0.002206547934529251
illness,100,0.45527943535223603,0.0015600042371566394,0.38753942374316974,0.0022312560854611486
trauma,0,0.4024572088901885,0.0022801331425004617,0.4024572088901885,0.0022801331425004617
trauma,20,0.41244711918854154,0.0021823200952998233,0.39257052670177073,0.0023519263548974234
trauma,40,0.41618521134289915,0.0021293544797332574,0.37950242847925986,0.00245146138649236
trauma,60,0.42439392957296224,0.002054963787327624,0.368007237139903,0.0025076551375584166
trauma,80,0.43234764609206466,0.0019506636046900886,0.35763058130689895,0.002575460212526099
trauma,100,0.4394160455593839,0.0018566579646503083,0.34378069712603465,0.0026243938711852446
