target,epoch,injection_ratio,avg_valence_index_negative,avg_valence_index_positive,se_valence_index_negative,se_valence_index_positive
abuse,1970-1974,0,0.2097919041989371,0.2097919041989371,,
abuse,1970-1974,100,0.1201031077653169,0.3167260132197823,,
abuse,1970-1974,20,0.1895395953268293,0.2339383159133215,,
abuse,1970-1974,40,0.1895395953268293,0.2339383159133215,,
abuse,1970-1974,60,0.1811314397629488,0.2321077485844768,,
abuse,1970-1974,80,0.1628601254676194,0.243822498301811,,
abuse,1975-1979,0,0.2828443338102661,0.2828443338102661,,
abuse,1975-1979,100,0.2015867629451677,0.3002478229459375,,
abuse,1975-1979,20,0.2656724334605969,0.2808536476003938,,
abuse,1975-1979,40,0.2547141835037619,0.2902830153033137,,
abuse,1975-1979,60,0.2370136314015836,0.2926581735406071,,
abuse,1975-1979,80,0.2157521154256537,0.2975929854512215,,
abuse,1980-1984,0,0.2509132433612831,0.2509132433612831,,
abuse,1980-1984,100,0.1985367707801051,0.2824086343315429,,
abuse,1980-1984,20,0.2460519366655498,0.2629176847729831,,
abuse,1980-1984,40,0.2412703206990845,0.2691926825172268,,
abuse,1980-1984,60,0.2306867128047161,0.2733010318153537,,
abuse,1980-1984,80,0.2153919639294035,0.2774988183039241,,
abuse,1985-1989,0,0.2536630930388346,0.2536630930388346,,
abuse,1985-1989,100,0.1813636498637497,0.2692428910760209,,
abuse,1985-1989,20,0.239802818365395,0.2555661405380814,,
abuse,1985-1989,40,0.2240281333210877,0.2576825808547437,,
abuse,1985-1989,60,0.2099219869556837,0.2650951018603518,,
abuse,1985-1989,80,0.1960717505943029,0.2695529756392352,,
abuse,1990-1994,0,0.2493839250146411,0.2493839250146411,,
abuse,1990-1994,100,0.1922956195059232,0.2864992459034547,,
abuse,1990-1994,20,0.2378192545697092,0.2521586495004594,,
abuse,1990-1994,40,0.2261044107745401,0.2625497607490979,,
abuse,1990-1994,60,0.2137106040543876,0.2720187815912068,,
abuse,1990-1994,80,0.2018932972708716,0.2789283913038671,,
abuse,1995-1999,0,0.2609910800270736,0.2609910800270736,,
abuse,1995-1999,100,0.2228026722786016,0.314020590356551,,
abuse,1995-1999,20,0.256387458210811,0.2705418776953593,,
abuse,1995-1999,40,0.2405022306246683,0.2711106037357823,,
abuse,1995-1999,60,0.2339656255254522,0.2845911718746647,,
abuse,1995-1999,80,0.2276600587228313,0.3002288132756948,,
abuse,2000-2004,0,0.2877145901490003,0.2877145901490003,,
abuse,2000-2004,100,0.2310206287717446,0.3101729714944959,,
abuse,2000-2004,20,0.2741324488059617,0.2903632034896873,,
abuse,2000-2004,40,0.2641926689636893,0.2948456394779496,,
abuse,2000-2004,60,0.2537905725636519,0.2991854696678929,,
abuse,2000-2004,80,0.2460321022947319,0.3056317621148191,,
abuse,2005-2009,0,0.2693866125824861,0.2693866125824861,,
abuse,2005-2009,100,0.2268447965411469,0.3052877172343433,,
abuse,2005-2009,20,0.2621043621250428,0.2776888248366304,,
abuse,2005-2009,40,0.2586795258922502,0.2898756171585992,,
abuse,2005-2009,60,0.2520785232633352,0.3026601061280817,,
abuse,2005-2009,80,0.2353965764585882,0.2993684196816757,,
abuse,2010-2014,0,0.275947199910879,0.275947199910879,,
abuse,2010-2014,100,0.2075006101466715,0.3047127121989615,,
abuse,2010-2014,20,0.2610105832400732,0.2771053926222958,,
abuse,2010-2014,40,0.2483087415960617,0.2809616688876412,,
abuse,2010-2014,60,0.236093944130931,0.2921266477862373,,
abuse,2010-2014,80,0.2259007115983403,0.3003808436575345,,
abuse,2015-2019,0,0.2628760043010116,0.2628760043010116,,
abuse,2015-2019,100,0.1708507043719291,0.2479840402333066,,
abuse,2015-2019,20,0.2517081978749483,0.2686247730506584,,
abuse,2015-2019,40,0.2373577046310528,0.268801555913873,,
abuse,2015-2019,60,0.216481649799738,0.2659801944927312,,
abuse,2015-2019,80,0.1947214601528831,0.2570941917845048,,
anxiety,1970-1974,0,0.3469989688019268,0.3469989688019268,,
anxiety,1970-1974,100,0.263835952387657,0.3928414459670893,,
anxiety,1970-1974,20,0.3300528214639053,0.3581561904558912,,
anxiety,1970-1974,40,0.3120985081130639,0.3632050571087748,,
anxiety,1970-1974,60,0.2940362749989144,0.3667073968164623,,
anxiety,1970-1974,80,0.2821351942080073,0.381348614111077,,
anxiety,1975-1979,0,0.3519006242025643,0.3519006242025643,,
anxiety,1975-1979,100,0.2881077387444675,0.4251911077927798,,
anxiety,1975-1979,20,0.3497859572218731,0.3805927192913368,,
anxiety,1975-1979,40,0.3216078751967289,0.3852604314768686,,
anxiety,1975-1979,60,0.3112650211290456,0.3981818519085646,,
anxiety,1975-1979,80,0.3005853719217703,0.4101587002696469,,
anxiety,1980-1984,0,0.3731501108841039,0.3731501108841039,,
anxiety,1980-1984,100,0.2783107610866427,0.4254421061715111,,
anxiety,1980-1984,20,0.3524311215607448,0.3817759995367377,,
anxiety,1980-1984,40,0.3382075591287575,0.3989045270578935,,
anxiety,1980-1984,60,0.3155396042172796,0.4060752271558158,,
anxiety,1980-1984,80,0.2912221231362782,0.4154186872742139,,
anxiety,1985-1989,0,0.3798383942157962,0.3798383942157962,,
anxiety,1985-1989,100,0.2864634750564583,0.4393850095896051,,
anxiety,1985-1989,20,0.3661451060916297,0.3913076088563539,,
anxiety,1985-1989,40,0.3517863381407223,0.4050386258536018,,
anxiety,1985-1989,60,0.32355332425097,0.4065765173966065,,
anxiety,1985-1989,80,0.307014692872297,0.4199122562585399,,
anxiety,1990-1994,0,0.3866829757010565,0.3866829757010565,,
anxiety,1990-1994,100,0.3055136034451425,0.4395993784656748,,
anxiety,1990-1994,20,0.3720056042419746,0.4011030748765916,,
anxiety,1990-1994,40,0.3521751833427697,0.4055220643933863,,
anxiety,1990-1994,60,0.3382842361666262,0.41626848584041,,
anxiety,1990-1994,80,0.3224285603566095,0.4301608070395886,,
anxiety,1995-1999,0,0.3904931941842661,0.3904931941842661,,
anxiety,1995-1999,100,0.3173502558190375,0.4240785122113302,,
anxiety,1995-1999,20,0.3816206759931519,0.3973701357673854,,
anxiety,1995-1999,40,0.3612626938652247,0.405277367430739,,
anxiety,1995-1999,60,0.3451356101920829,0.4104860219294204,,
anxiety,1995-1999,80,0.3295643417518585,0.4160586145156994,,
anxiety,2000-2004,0,0.3948139693504199,0.3948139693504199,,
anxiety,2000-2004,100,0.3196866538692265,0.4397644790648483,,
anxiety,2000-2004,20,0.377066842426546,0.4072801716011017,,
anxiety,2000-2004,40,0.3680491631738841,0.4164223419334739,,
anxiety,2000-2004,60,0.3571188153857364,0.4299756293622776,,
anxiety,2000-2004,80,0.336627364766784,0.4318676733467728,,
anxiety,2005-2009,0,0.4070504821874201,0.4070504821874201,,
anxiety,2005-2009,100,0.3433350566779263,0.4512366231437772,,
anxiety,2005-2009,20,0.3927589161987417,0.4184258049745112,,
anxiety,2005-2009,40,0.3789045675317756,0.4268360920827835,,
anxiety,2005-2009,60,0.364401116757188,0.4349629095923156,,
anxiety,2005-2009,80,0.3476661849259399,0.4384803207162767,,
anxiety,2010-2014,0,0.3862417371505872,0.3862417371505872,,
anxiety,2010-2014,100,0.3280311555969529,0.4595281160916201,,
anxiety,2010-2014,20,0.3724089070372283,0.3962856254065409,,
anxiety,2010-2014,40,0.3576945573594421,0.4084309371812269,,
anxiety,2010-2014,60,0.3506333734141663,0.4255391901726835,,
anxiety,2010-2014,80,0.3365912303063086,0.4387445858181454,,
anxiety,2015-2019,0,0.3965126980463974,0.3965126980463974,,
anxiety,2015-2019,100,0.3486016210098751,0.4622327564498409,,
anxiety,2015-2019,20,0.3925386053281836,0.4071437065899371,,
anxiety,2015-2019,40,0.3886522594382987,0.4245848716963083,,
anxiety,2015-2019,60,0.3732401358513161,0.4366735269678757,,
anxiety,2015-2019,80,0.3634201403982006,0.4501164706377312,,
depression,1970-1974,0,0.3177335094609298,0.3177335094609298,,
depression,1970-1974,100,0.2754811032018624,0.3853402438974008,,
depression,1970-1974,20,0.3004794662483036,0.325740143773146,,
depression,1970-1974,40,0.2974633110375143,0.3438655320550315,,
depression,1970-1974,60,0.2913163590375334,0.3618745406460948,,
depression,1970-1974,80,0.2820370741258375,0.3725322263268754,,
depression,1975-1979,0,0.377752210246399,0.377752210246399,,
depression,1975-1979,100,0.3142293674801476,0.4125280452547595,,
depression,1975-1979,20,0.3693578717340715,0.383261920845136,,
depression,1975-1979,40,0.3609742537313141,0.3929923024270684,,
depression,1975-1979,60,0.344925475039985,0.3963748002164065,,
depression,1975-1979,80,0.3323263178360648,0.4046597547261045,,
depression,1980-1984,0,0.3911766964085399,0.3911766964085399,,
depression,1980-1984,100,0.3593760116323828,0.4318489080611616,,
depression,1980-1984,20,0.3784407103657722,0.3939455803930759,,
depression,1980-1984,40,0.3686399498358369,0.400974723495543,,
depression,1980-1984,60,0.3704876922145486,0.4193054224252701,,
depression,1980-1984,80,0.3602170660672709,0.4216126067526639,,
depression,1985-1989,0,0.4081937134861945,0.4081937134861945,,
depression,1985-1989,100,0.373398337835446,0.4473351721167564,,
depression,1985-1989,20,0.4012561611346901,0.4186770965382457,,
depression,1985-1989,40,0.3960143695101142,0.4272463863827288,,
depression,1985-1989,60,0.3912064452972262,0.4397301636449993,,
depression,1985-1989,80,0.3809408174166456,0.4427993500567972,,
depression,1990-1994,0,0.4014124238677323,0.4014124238677323,,
depression,1990-1994,100,0.3559982274258509,0.4387587371468543,,
depression,1990-1994,20,0.3838564979373477,0.4011395063316449,,
depression,1990-1994,40,0.3772035098425113,0.4095846067322418,,
depression,1990-1994,60,0.3762023807847872,0.4240551715232432,,
depression,1990-1994,80,0.3659067661352455,0.4277774304263294,,
depression,1995-1999,0,0.4098385739857331,0.4098385739857331,,
depression,1995-1999,100,0.3491190598700195,0.4421157271880657,,
depression,1995-1999,20,0.3963210374070331,0.4156639962522312,,
depression,1995-1999,40,0.3866979057537392,0.4204487085724249,,
depression,1995-1999,60,0.3699560457905754,0.423299281633459,,
depression,1995-1999,80,0.3556148353088647,0.4312568290084601,,
depression,2000-2004,0,0.3996462586242705,0.3996462586242705,,
depression,2000-2004,100,0.3496292068101466,0.4406788504980505,,
depression,2000-2004,20,0.390980770682916,0.4079721314944327,,
depression,2000-2004,40,0.3834747183565051,0.4178968394324183,,
depression,2000-2004,60,0.3763155764341355,0.4242889479361474,,
depression,2000-2004,80,0.3615231004096567,0.4354283434264362,,
depression,2005-2009,0,0.4135526296226308,0.4135526296226308,,
depression,2005-2009,100,0.3749721188163385,0.4485473967045545,,
depression,2005-2009,20,0.4091609980864451,0.4254460841370747,,
depression,2005-2009,40,0.4002356643499807,0.4323911482179537,,
depression,2005-2009,60,0.3905613606851548,0.4348208554191514,,
depression,2005-2009,80,0.3877886437000707,0.4468931090999395,,
depression,2010-2014,0,0.4060426939381287,0.4060426939381287,,
depression,2010-2014,100,0.373021033463534,0.4489264265038072,,
depression,2010-2014,20,0.4003167811222374,0.4094775535399094,,
depression,2010-2014,40,0.3924279881869442,0.4205952123301103,,
depression,2010-2014,60,0.3810878924061545,0.4257720185527577,,
depression,2010-2014,80,0.3698472091383301,0.4351401404123753,,
depression,2015-2019,0,0.4090970664788038,0.4090970664788038,,
depression,2015-2019,100,0.3476311732595786,0.4416407540626824,,
depression,2015-2019,20,0.3933358967304229,0.4143690060339868,,
depression,2015-2019,40,0.3815623437650502,0.421035006256774,,
depression,2015-2019,60,0.3724431615145877,0.4258944284282625,,
depression,2015-2019,80,0.358815818280913,0.4340078373290598,,
health,1970-1974,0,0.4854339541103691,0.4854339541103691,,
health,1970-1974,100,0.4603661857144908,0.5279689086079598,,
health,1970-1974,20,0.4791141034606844,0.4921226519132033,,
health,1970-1974,40,0.476871196463704,0.5013886908032,,
health,1970-1974,60,0.4717928205188363,0.5105900850920008,,
health,1970-1974,80,0.466952109998092,0.5195457172412425,,
health,1975-1979,0,0.497901023318991,0.497901023318991,,
health,1975-1979,100,0.4781107341647148,0.5211672961115837,,
health,1975-1979,20,0.4966443604622036,0.5029861675668508,,
health,1975-1979,40,0.4957899853661656,0.5066202357858419,,
health,1975-1979,60,0.4894085858091712,0.5132699836194515,,
health,1975-1979,80,0.4829162955954671,0.5153634610474109,,
health,1980-1984,0,0.4993448878712952,0.4993448878712952,,
health,1980-1984,100,0.4696608137898146,0.5230302347540856,,
health,1980-1984,20,0.487027919607237,0.5042986660450698,,
health,1980-1984,40,0.4840862565357238,0.5105617695339024,,
health,1980-1984,60,0.4804708464834838,0.5106282785795629,,
health,1980-1984,80,0.4774100042395293,0.5166145731806755,,
health,1985-1989,0,0.4907338639646769,0.4907338639646769,,
