collocate,count
child,14
molester,1
easily,1
identify,1
prior,1
study,1
find,2
severity,1
ptsd,4
symptom,2
positively,1
relate,1
old,3
adolescent,2
n=78,1
self,1
report,3
history,3
complete,2
traditional,1
time,1
version,1
11,1
year,2
complainant,1
alleged,1
grandfather,1
post,1
treatment,7
service,1
utilization,1
substance,11
outcome,1
depression,2
machiavellian,1
negativism,1
drug,4
alcohol,5
anger,1
anxiety,1
social,3
phobia,1
obsessive,1
disorder,1
include,2
psychosis,1
association,2
adult,1
adhd,1
largely,1
research,3
type,2
maltreatment,2
neglect,2
vs.,1
subject,1
long,1
illness,1
duration,1
non,3
prevalence,1
cd,3
compare,2
group,2
help,1
development,1
personalized,1
therapy,2
opioid,1
exhibit,1
25,1
animal,1
early,1
evident,1
major,1
step,1
forward,1
ai,1
psycho,1
influence,1
contribute,2
inevitably,1
patient,1
sexually,1
sexual,16
predictive,2
factor,3
logical,1
trial,1
victim,1
csa,1
suffer,2
result,2
suggest,1
efficacy,1
experience,2
mean,1
probability,1
violence,2
harassment,2
simply,1
inherent,1
characteristic,1
learn,1
disability,1
reveal,1
search,1
support,2
disclose,2
give,2
meaning,2
abuse,2
adaptative,2
cognitive,2
strategy,1
capacity,1
predict,1
particularly,1
psychological,1
indicate,1
use,2
home,1
sex,1
emotional,3
prevalent,1
sweet,1
concern,2
susceptibility,1
initiate,1
remain,3
severe,7
crisis,2
devastate,2
nation,1
pharmacodependence,1
addictovigilance,1
network,1
provide,1
information,1
dependence,1
potential,3
inform,1
associate,2
subsequent,1
later,1
lead,1
compound,1
problem,1
school,1
mental,2
debilitate,2
issue,3
contact,1
family,2
supportive,1
severely,1
ipv,1
woman,5
examine,2
prevail,1
condition,1
occur,1
therapist,1
encounter,1
persistent,1
client,1
control,1
damaging,2
childhood,4
variable,1
explain,1
score,1
variance,1
scar,1
individual,1
participate,1
date,1
dysfunction,1
survivor,1
receive,4
considerable,2
attention,3
fantasy,1
trigger,1
cue,1
level,1
appear,1
national,1
institute,1
alcoholism,1
safe,1
range,1
incident,1
regardless,1
acculturation,1
citizenship,1
status,1
harmful,1
impact,3
prevention,3
program,2
central,2
field,1
article,1
describe,1
model,1
outpatient,2
address,1
effect,2
learning,1
theory,1
literature,2
underscore,1
detrimental,1
lack,2
ability,1
generate,1
seek,1
conflict,1
traumatic,1
agreement,1
exist,1
professional,1
rank,1
feature,1
term,1
devastating,1
adi,1
disturb,1
scientific,1
highlight,1
vulnerability,1
mother,1
previous,1
despite,1
persistence,1
phencyclidine,1
pcp,1
worsen,3
public,1
health,2
urban,1
review,1
discontinuation,1
syndrome,1
pregnancy,1
cost,1
consideration,1
cocaine,1
dependent,1
inpatient,1
veteran,1
unit,1
determine,1
mitigate,1
prevent,1
frequent,1
relapse,1
common,1
consequence,1
crucial,1
urgent,2
counseling,2
follow,1
13,069,1
respondent,1
datum,1
ulcer,1
7.3,1
n,3
=,3
1,020,2
lament,1
physically,1
close,1
3.0,1
nicotine,1
widespread,2
strong,1
predictor,1
youth,1
measure,1
physical,1
matter,1
significantly,1
continuous,1
heroin,1
nature,1
african,1
american,2
european,1
