collocate,count
common,1
variance,2
different,1
psychopathology,3
depression,7
behavioral,2
problem,1
need,2
sort,1
clearly,1
cc,1
cg,1
genotype,1
decrease,4
risk,3
and/or,3
presence,1
low,9
increase,3
conversely,2
engulfment,2
separation,4
anxiety,4
denial,3
dependency,2
associate,6
complaint,1
previous,4
pregnancy,1
social,8
support,1
general,1
cope,1
style,1
explain,1
16.7,1
stability,2
inverse,1
u,1
shape,1
trajectory,1
identify,1
attachment,6
avoidance,4
high,12
parenting,2
stress,3
year,2
postpartum,1
relationship,3
satisfaction,1
perceive,2
physiological,2
state,4
eat,1
disorder,12
symptom,4
everyday,1
function,1
admission,1
discharge,1
student,1
score,6
test,2
normal,1
curve,1
equivalents,1
significant,3
correlate,3
suggest,1
effect,3
age,1
appropriate,1
complex,1
task,1
effort,2
trait,6
situational,2
predict,1
processing,3
efficiency,3
indicate,1
clinically,1
reduction,2
health,1
experiential,1
overall,1
distress,4
researcher,1
practitioner,1
assess,2
relevant,1
construct,1
adolescent,2
prior,1
neuroticism,1
conscientiousness,1
go,2
anxious,1
5,2
1,2
treatment,3
generalized,3
childhood,1
cognitive,3
mean,1
psychometric,1
include,2
hospital,1
scale,3
mood,1
rating,2
find,2
child,4
sm,1
significantly,3
mathematic,1
content,1
mutilation,2
surgery,3
range,3
firstly,3
major,3
follow,1
unreversible,1
lost,1
consciousness,1
anesthesia,3
minor,2
ratio,1
turn,1
complicated,1
term,2
effectiveness,1
friends,1
program,1
reduce,1
sample,1
grade,1
6,1
additionally,1
research,3
focus,1
alleviation,1
negative,1
affect,1
minimal,1
intoxication,1
self,4
report,2
measure,3
assertiveness,1
impair,1
appraisal,2
analogue,2
observational,1
skill,1
aim,1
present,1
study,1
evaluate,1
relate,6
psychological,2
factor,2
e.g.,3
hypersensitivity,1
uncontrollability,1
emotional,1
esteem,1
family,1
anger,1
confusion,1
examine,1
dependent,1
variable,1
clinical,1
cas,1
subjective,1
unit,1
detrimentally,3
group,3
player,1
minute,1
play,1
time,1
cancer,1
survivor,1
screen,1
positively,1
severe,2
n,2
=,1
188,1
approach,1
account,1
troubling,1
phenomenon,1
breakdown,1
finding,1
theoretical,1
view,1
detrimental,2
defensiveness,1
threat,1
13,1
fulfil,1
criterion,3
phobia,1
receive,1
behavioural,1
address,1
debilitate,2
outcome,1
standardized,1
flight,1
theory,1
forewarn,1
uncover,1
person,1
situation,1
interaction,1
stressor,1
adhd,1
inattentive,1
deprivation,1
control,1
crucially,1
public,1
speak,1
induce,1
estimate,1
number,2
sna,1
burst,1
alarming,1
strongly,1
epinephrine,2
glucose,1
level,2
worryingly,2
fail,1
strong,1
correlation,1
parental,2
concern,1
impact,1
offspring,1
greatly,1
differ,1
emphasize,1
addition,1
anagram,1
attempt,1
difference,2
inhibitory,1
detachment,1
proofreading,1
incidental,1
learning,1
occur,1
condition,1
participant,1
mathematics,1
obsessive,1
compulsive,1
depressive,2
observe,1
treat,1
patient,1
trauma,1
trs,2
sas,2
comorbid,1
delay,1
rate,1
change,1
c,1
indistinguishable,1
supporter,1
ego,1
vulnerability,1
dimension,1
postsurgical,1
period,1
influence,1
intense,1
body,1
image,1
disruption,1
overwhelming,1
interview,1
monologue,1
distorted,1
perception,1
link,1
maternal,1
chronic,1
insecurity,1
