collocate,count
e.g.,1
selfinjurious,1
behaviour,2
aggressive,1
person,1
developmental,1
disability,1
observe,1
tp,1
lf,1
hf,1
anxiety,17
score,3
respective,1
value,1
rs,3
=,8
-0.269,1
p,3
0.005,1
-0.389,1
dose,1
atropine,1
result,2
initial,1
food,1
water,1
intake,1
type,1
differentially,1
relate,2
self,3
report,2
psychological,2
symptom,12
husband,1
wife,1
low,2
father,1
involvement,1
mother,2
analyse,1
identify,1
factor,3
associate,3
resilience,1
disturbance,1
pittsburgh,1
sleep,1
quality,1
inventory,4
hospital,2
depression,4
scale,10
body,2
awareness,1
and/or,2
cut,1
>,1
8),1
event,2
causal,1
significance,1
psychotic,1
neurotic,1
grant,1
maternal,2
i.e.,1
youth,2
88,1
negatively,2
affect,3
child,1
adjustment,1
influence,1
promise,1
suggest,1
possible,1
treat,2
people,1
cognitive,1
impairment,1
classroom,1
base,2
prevention,1
program,1
adolescent,2
behavioral,1
activation,1
reward,1
processing,1
think,1
measure,4
brief,1
symptoms,1
bsi,1
consistent,1
previous,1
literature,1
clinical,2
d,2
schizophrenia,4
sc,2
content,3
dep,2
esteem,2
lse,2
well,2
distinguish,2
major,3
prove,2
powerful,1
predictor,2
bipolar,1
subject,3
remit,1
n,1
55,1
healthy,1
control,3
age,2
ethnicity,1
gender,3
cardiovascular,1
comorbidie,1
covariate,1
peer,1
interpersonal,1
correlate,1
girl,1
social,2
comorbid,1
objective,1
study,3
assess,3
prevalence,1
insomnia,1
patient,5
rheumatoid,1
arthritis,1
osteoarthritis,1
apoe,1
genotype,1
smc,1
hrql,1
investigate,2
statistically,1
marker,1
allostatic,1
load,1
particularly,1
risk,2
development,1
differ,1
recovery,1
woman,2
significant,1
role,1
epilepsy,1
drug,1
addiction,1
neurodegenerative,1
disease,1
memory,1
term,1
antidepressant,1
user,1
debate,1
diagnosis,1
depressed,2
mood,1
0.009,1
0.002,1
baseline,1
md,1
21,1
subthreshold,1
112,1
non,1
include,2
need,1
milder,1
form,1
recently,1
increase,2
interest,1
involve,1
dysfunction,1
affective,1
fronto,1
limbic,1
bonding,1
instrument,1
pbi,1
complete,1
state,2
relevant,1
personality,1
korean,2
version,2
center,1
epidemiologic,1
studies,1
beck,1
respectively,1
support,2
deterioration,1
model,2
stress,2
deteriorate,2
perceive,1
availability,1
effectiveness,1
exacerbate,1
overwhelming,1
specific,2
diagnostic,1
criterion,2
one,1
endure,2
agonizing,1
ptsd,2
considerable,1
challenge,2
range,1
1.11,1
1.83,1
suicidality,2
perform,2
machine,2
learning,1
auc,1
0.88,1
0.86,1
finding,1
contradict,1
amine,2
hypothesis,1
assert,1
detrimental,1
decrease,1
transmitter,1
concentration,1
affliction,1
longitudinal,2
nursing,1
home,1
resident,1
rare,1
sample,1
composite,1
doubt,1
find,1
neuromodulator,1
show,1
severely,1
cause,1
ventilation,1
disruption,1
essential,1
respiratory,1
present,1
prospectively,1
monitor,1
30,3
chronic,4
summer,2
sex,2
match,2
winter,1
scrutinize,1
debilitate,1
effect,1
profile,1
decline,1
50,1
hamilton,1
rating,1
3,1
week,1
therapy,1
relationship,2
life,3
fear,1
hostility,1
function,1
arousal,1
seek,1
cope,1
style,1
link,1
cross,1
sectionally,1
preliminary,1
evidence,1
75,1
y,1
mild,1
moderate,1
8,1
hads,1
burden,1
usual,1
outcome,1
condition,1
methodological,1
difference,1
mtbi,1
time,1
elapse,1
brain,1
injury,1
examine,1
late,1
depressive,1
excessive,1
use,1
vpsq,1
face,1
edinburgh,1
postnatal,1
epds,1
longitudinally,1
association,1
adiponectin,1
rs1501299,1
chinese,1
han,1
distress,2
struggle,1
satisfaction,1
ongoing,1
persistent,1
