collocate,count
complexity,1
intimate,1
partner,1
violence,5
study,8
range,1
theoretical,1
conceptual,1
datum,1
reveal,1
support,3
level,5
physical,3
indicate,1
survey,1
english,1
secondary,1
student,2
yield,1
important,1
awareness,2
verbal,1
report,5
school,5
base,1
find,1
infant,1
child,19
overcome,13
impact,4
strengthen,1
intervention,3
rationale,1
relate,4
locus,1
control,4
alcohol,4
exploratory,1
finding,1
offer,4
valuable,2
insight,3
aggression,2
family,6
origin,1
potential,2
information,1
limit,1
co,1
occurrence,1
positive,1
attitude,1
domestic,1
self,2
esteem,2
file,1
substance,13
client,1
distinct,1
time,1
period,1
examine,5
encourage,1
story,1
childhood,6
detailed,1
assessment,1
female,1
college,1
history,7
inspire,1
solution,1
mitigate,1
multiple,1
national,1
institute,1
drug,6
clinical,3
trials,1
network,1
ctn,1
highlight,2
strategy,3
conduct,2
insightful,1
treatment,4
research,2
racial,1
ethnic,1
minority,1
87,1
boy,1
survivor,2
sexual,16
compare,3
226,1
girl,1
establish,1
stress,3
major,2
contributor,1
interaction,1
personality,2
factor,1
parent,1
case,5
new,1
scale,1
courageously,1
assess,1
challenge,2
minnesota,1
multiphasic,1
inventory-2,1
contrast,1
response,2
large,1
residential,1
sample,3
normative,1
psychiatric,1
show,3
effect,1
parental,1
rejection,1
emotional,3
lead,1
personal,1
growth,2
resilience,10
influence,2
variety,2
subtype,1
maltreatment,1
experience,7
neglect,5
subgroup,1
lack,1
attention,1
innovative,1
approach,2
provider,1
researcher,1
race,1
cultural,1
develop,1
victim,1
relative,3
friend,1
stranger,1
prevalence,1
specific,1
type,2
acknowledge,2
professionally,1
address,4
206,2
bring,2
metropolitan,1
juvenile,1
court,1
relation,1
date,2
vary,1
depend,1
cortisol,1
reactivity,1
young,1
adult,1
manageable,1
evolve,1
definition,1
effective,1
prevention,2
affect,2
disclosure,2
identify,3
few,2
transformative,2
high,5
global,4
adaptive,5
functioning,4
sexually,2
great,2
dissociative,2
tendency,2
masc,1
empowerment,1
woman,5
health,2
care,1
people,4
social,1
skill,1
development,1
trial,1
antipsychotic,1
medication,1
mediating,1
role,1
recent,1
suggest,1
essential,1
leverage,1
victimization,1
promote,1
assault,1
positively,2
ibs,1
status,1
adjust,1
group,2
nonabuse,1
abuse,3
csa,1
44,1
n,2
=,3
18,1
non,1
34,1
14,2
unadjuste,1
prospective,1
association,1
think,1
disorder,1
symptom,2
appear,1
moderately,1
comorbid,1
anxiety,1
depression,1
cope,2
suspect,1
royal,1
children,1
hospital,1
code,1
term,1
teacher,4
trainee,1
pupil,3
context,2
perpetrate,3
zimbabwean,2
educational,1
aetiology,1
cc,1
recovery,1
paper,2
aim,1
broaden,1
discussion,1
constructive,1
dialogue,1
accessibility,1
hearing,1
impair,1
individual,1
area,1
opportunity,1
improvement,1
extend,1
south,1
africa,1
community,1
life,2
potentially,1
create,1
adolescence,1
adulthood,2
consequence,1
early,1
exposure,1
strength,1
physician,1
interview,1
confirm,1
extent,1
natal,1
father,1
relatively,1
and/or,1
marital,2
problem,2
insufficient,2
income,2
stepfather,2
expose,1
familial,1
post,1
associate,1
uppsala,1
sweden,1
learn,2
instance,1
receive,1
psychological,1
strong,1
demographic,1
variable,1
trauma,1
184,1
substantiate,1
1981,1
city,1
lansing,1
michigan,1
counselor,1
beneficial,1
criminal,1
justice,1
studies,2
cooperative,1
age,1
onset,1
mean,1
rating,1
mood,1
770,1
participant,1
longitudinal,1
longscan,1
guidance,1
specialty,1
service,2
use,1
mental,1
officer,1
handle,1
outline,1
design,1
empower,1
educate,1
