collocate,count
discussion,1
focus,2
begin,1
undermine,1
confidence,1
one,1
r,2
promote,1
evidence,1
base,1
care,2
treatment,2
disorder,6
review,1
current,1
dtc,1
effort,1
revise,1
ies,1
state,12
trait,22
inventory,6
stai,3
strongly,1
associate,2
time,2
mental,1
hrqol,1
depression,12
neuroticism,2
especially,3
important,2
trajectory,2
girl,1
stereotype,1
threat,1
reduce,5
mathematical,1
sex,1
identify,1
similar,1
cattell,1
secondorder,1
factor,4
validity,1
scat,1
objective,1
measure,11
confirm,2
conclude,2
diazepam,2
differentially,2
level,9
accordance,2
degree,2
anxiety,20
present,2
normal,1
excessive,1
ocd,1
like,1
intrusion,1
postneutralization,1
period,1
component,3
relate,6
presence,1
absence,3
large,2
bii,1
fear,1
disgust,1
sensitivity,2
have,1
experience,5
fainting,1
symptom,4
psychological,1
screen,1
cancer,1
c,1
self,8
report,5
question,1
resource,1
subjective,1
physical,2
health,3
stress,4
analysis,1
examine,1
effect,3
proportion,1
view,1
emotional,3
versus,1
parental,1
style,1
casual,1
social,12
assess,2
impact,3
wellbeing,1
quality,3
life,5
relation,1
sub,1
group,3
demonstrate,1
increase,3
initial,2
odd,1
ratio,1
0.9645,1
95,2
l.,2
laux,1
p.,1
glanzmann,1
locus,1
control,2
129,1
undergraduate,1
administer,2
jacobs,1
questionnaire,5
spielberger,1
fss,3
strong,2
immediate,1
exert,1
weak,2
delay,1
influence,1
later,1
nssh,1
indirectly,3
risk,3
man,1
assault,1
victimization,2
woman,2
prior,1
research,1
implicate,1
development,2
psychopathology,1
finding,2
set,1
scene,1
produce,1
meaningful,1
improvement,2
p,2
.005,1
tmas,1
occur,1
context,1
psychosis,1
encourage,1
reflective,1
white,1
people,2
awareness,3
predict,1
interracial,1
positive,2
interaction,1
outgroup,1
member,1
2,1
pain,2
functioning,1
illness,1
intrusiveness,1
role,1
function,1
demographic,1
bdi,1
intensity,1
frequency,1
asq,1
beck,2
hopefulness,1
scale,4
bhs,1
bai,1
enjoyment,1
ces,1
d,1
version,2
s,1
relatively,1
low,1
suggest,3
manageable,2
supportive,3
relationship,8
malevolent,1
aggression,1
high,4
score,2
esteem,1
significantly,1
constructive,1
efficacy,1
beneficial,3
biofeedback,2
procedure,1
multiple,1
site,1
effective,1
enhance,1
clark,1
watson,1
1991,1
holistic,1
theory,1
presurgery,1
enhanced,1
discuss,1
term,2
moderate,1
responsibility,1
stressor,1
resilience,2
institute,1
personality,2
ability,1
testing,1
ipat,1
college,1
student,1
mindfulness,1
racism,1
symptomology,1
african,1
american,1
sample,2
elucidate,1
size,1
nuance,1
adult,2
stutter,2
youngster,1
nccp,2
signal,2
independent,1
mental_disorder,1
affective,1
enhancement,1
psychotic,1
substance,1
creativity,1
rumination,1
peer,1
recovery,1
108,1
positively,1
manage,1
short,1
smd=-0.33,1
ci,1
-0.57,1
-0.09,1
match,1
basis,1
taylor,1
manifest,1
showcase,1
patient,1
share,1
underlying,1
acceptance,1
injury,1
impairment,1
assessment,1
repeat,1
learn,1
opportunity,1
restorative,1
sleep,1
investigate,1
explore,1
aspect,1
depressive,1
acute,1
crisis,1
anxious,1
subject,1
anticipate,1
benefit,1
prediction,1
accurate,1
concept,1
elevate,1
evaluative,1
result,1
improved,1
school,1
grade,1
complete,1
helpful,1
endler,1
multidimensional,1
scales,1
include,2
evaluation,1
new,2
separation,3
disclosure,2
i.e.,3
