collocate,count
preparation,1
community,1
base,6
study,3
adolescence,1
insightful,2
conduct,3
sample,5
1993,1
high,2
level,2
child,3
mother,1
resilient,2
father,1
husband,1
number,1
report,3
resilience,5
produce,1
bright,1
score,1
neurocognitive,1
assessment,4
assess,1
have,1
26,1
patient,3
evolve,2
ed,2
40,2
adaptive,2
depression,14
nd,2
complete,3
parental,5
bonding,1
instrument,1
broadly,1
consistent,1
cognitive,2
theory,1
anxiety,6
highlight,2
bias,1
stressor,1
encourage,1
administer,1
mood,1
evaluation,2
comprise,1
beck,2
inventory,5
bdi,2
hamilton,2
rating,2
scale,3
hrsd,1
4,2
week,3
post,3
stroke,4
well,1
understand,4
aid,1
recovery,1
process,1
broad,3
application,1
subset,1
tool,1
occurrence,3
antenatal,2
epds,2
>,2
12,2
find,4
provide,2
relationship,2
stress,1
management,1
test,3
stem,1
concept,1
social,2
support,1
experience,2
state,3
acute,2
crisis,1
woman,3
depressive,3
illness,1
melancholic,1
major,11
associate,2
positive,3
improvement,3
wisc,1
r,1
old,1
display,1
sign,2
strength,2
children,2
randomly,2
assign,2
self,2
control,1
clinical,1
feature,1
focused,1
attention,1
calmness,1
enhance,2
memory,1
generally,1
datum,2
suggest,2
significant,2
occur,1
independent,1
syndrome,1
relatively,1
clinic,1
population,1
benefit,2
differ,1
obviously,1
adult,3
need,2
resolution,1
exhibit,1
marked,1
increase,1
introspection,1
thoughtful,1
behavior,1
keen,1
13,1
symptom,3
measure,2
vignette,1
interview,2
sip,1
elderly,1
71,1
history,1
overcome,1
gain,1
childhood,1
trauma,1
meet,2
criterion,2
plus,2
dysthymia,2
receive,2
2,1
explore,1
potential,3
smoking,1
ban,1
term,1
different,1
stage,9
severity,1
factor,3
noteworthy,2
influence,9
non,2
mild,5
gender,5
life,4
event,3
healthy,2
coping,1
important,1
moderate,5
meaningful,3
psd,1
offer,1
new,1
insight,1
remain,1
manageable,1
variety,1
lifetime,1
prevalence,1
29.3,1
cidi,1
17.7,1
participant,3
physician,1
recognize,1
21.8,1
22.5,1
administrative,1
stressful,1
fast,1
paced,1
owe,1
catalyst,1
personal,1
growth,1
mental,2
internalize,1
homophobia,1
nuance,1
impact,2
feminine,1
man,2
compare,1
masculine,1
ml,1
rum,1
30,1
minute,1
noticeable,1
calm,1
relaxation,1
20,1
psychosocial,1
global,1
outcome,1
3,1
adjust,2
sex,1
disorder,1
slightly,1
indicate,1
balanced,1
extent,1
genetic,1
risk,1
develop,1
inherently,1
result,1
overall,2
enhanced,2
blood,1
rate,1
psychiatric,1
condition,1
include,3
alcohol,1
drug,1
avoidance,1
past,2
episode,2
substance,4
abuse,4
234,4
status,2
show,3
challenge,2
behaviour,2
challenging,1
promise,1
regard,1
manage,2
subscale,1
dullness,1
relate,1
positively,1
index,1
category,1
blends,1
<,1
minor,2
spectrum,2
respiratory,1
observe,1
appear,1
subtype,1
degree,1
contribute,1
narrative,1
format,1
people,1
symptomatology,1
obsession,1
compulsion,1
adaptability,1
interpersonal,1
sensitivity,1
general,2
swim,1
constructive,1
animal,1
model,2
holeboard,1
exploration,1
locomotor,1
activity,1
withdrawal,1
item,1
suicide,1
subject,1
die,1
sixteen,1
case,1
client,1
305,1
session,1
thoughtfully,1
examine,1
preoperative,1
syndromal,1
subsyndromal,1
atypical,1
promote,1
postoperative,1
weight,1
face,1
validity,2
predictive,1
beneficial,2
adaptation,1
hpa,1
axis,1
function,1
rem,1
sleep,1
pattern,1
variance,1
pertinent,1
possible,1
mechanism,1
explain,1
finding,1
reveal,1
connection,1
somatoform,1
type,1
.69,1
affect,1
awareness,1
satisfaction,1
alpha,1
=,1
.73,1
