collocate,count
set,1
measure,2
dissociation,5
alter,1
state,3
consciousness,1
spiritual,1
convenience,1
sample,1
100,1
inpatient,1
hospital,1
program,1
article,1
report,4
rate,1
past,2
current,1
stressor,2
darfur,1
refugee,1
gauge,1
skill,1
common,1
symptom,2
detect,1
follow,2
variable,1
study,4
war,4
loss,2
living,1
arrangement,1
treatment,6
receive,1
disorder,6
depressive,1
somatic,1
relate,2
childhood,6
exposure,5
increase,2
vulnerability,1
low,1
birthweight,1
wellplaced,1
provide,2
target,1
assessment,1
victim,1
emotional,3
video,2
stimulus,3
distress,1
joy,1
rsa,1
reactivity,1
memory,10
remote,1
happy,1
mother,2
recall,2
trauma,8
collect,2
time,1
point,1
analysis,1
show,1
significant,1
relationship,4
early,4
adult,2
personality,2
predict,1
level,1
self,3
directedness,1
cooperativeness,1
circle,1
key,1
element,1
affect,1
attachment,1
repetition,1
negotiation,1
sustain,1
social,2
transform,1
impact,2
opportunity,4
growth,4
reconstruction,1
argue,1
convincing,1
evidence,1
support,1
longstanding,1
model,3
tm,2
posit,2
contribute,1
understanding,9
resilience,8
genesis,1
positively,1
correlate,1
degree,1
navigate,1
disaster,1
suggest,3
broad,1
range,2
response,5
situation,3
investigate,3
posttraumatic,1
dual,1
nature,1
burden,1
experience,4
chance,1
trigger,2
describe,2
subdural,1
hematoma,1
enlightening,1
healing,1
abuse,4
differentially,1
combat,1
veteran,3
high,2
noncombat,3
demonstrate,2
face,1
exhibit,1
great,1
capacity,2
overcome,2
anxiety,1
use,1
pattern,2
individual,2
adulthood,1
distinct,1
build,1
temperament,1
child,2
reaction,1
psychic,1
foster,3
sensitive,1
period,1
mental,1
result,1
consistent,1
group,1
ptsd,3
pivotal,2
respect,2
address,3
effect,1
health,1
helpless,2
unresolved,1
mind,2
direct,2
relation,2
infant,2
disorganization,2
hostile,1
field,1
sexual,4
victimization,1
generate,1
innovative,1
paradigm,1
enhance,3
conceptualization,1
concept,1
inspire,1
person,1
psychology,1
connect,1
participant,1
amnestic,1
discover,1
initially,1
retrieve,1
form,1
parent,1
long,3
position,1
responsibility,1
need,1
stress,4
approach,1
adaptive,2
cancer,1
recognize,1
feature,1
supportive,1
role,1
parental,2
sex,1
age,1
peri-,1
post,2
cognitive,2
appraisal,2
neuroendocrine,2
traumatic,1
abnormality,1
gene,1
polymorphism,1
conjunction,1
defense,1
training,1
12,1
female,1
military,2
highlight,3
journey,1
recovery,1
empowerment,1
release,1
peptide,1
glucocortisoid,1
cortisol,1
deal,1
death,1
worker,1
expect,1
begin,1
work,3
term,1
partner,1
violence,1
30,1
woman,1
history,2
explore,1
specific,1
link,1
comorbid,1
potential,1
framework,1
consider,1
process,3
bear,1
witness,1
examine,1
facilitate,1
reciprocal,1
expression,1
systematic,1
component,1
cbt,3
population,1
parameter,1
effective,1
client,1
imagine,1
return,1
place,1
gain,1
clarity,1
focus,2
explicitly,1
opinion,1
constructive,1
psychological,1
seek,1
insight,1
inability,1
metaphor,1
therapeutic,1
patient,3
severe,1
make,1
successful,1
achievable,1
effectively,1
mitigate,1
secondary,1
buprenorphine,1
recognition,1
prevalent,1
importance,2
simply,1
story,1
pain,1
host,1
involve,1
rf,1
relational,1
score,1
elevated,1
alcohol,1
summary,1
datum,1
2,246,1
treat,1
emergency,1
department,1
regulation,1
autonomy,1
evaluation,1
developmental,1
deviation,1
physical,1
new,2
setting,1
people,1
manage,1
cardiac,1
disease,1
assess,1
relative,1
pathway,1
plausibly,1
inform,1
cope,1
strategy,1
sense,1
political,1
persecution,1
lesson,1
learn,1
relatively,1
little,1
know,1
