treatment underserved population include mental_illness and/or substance use disorder present barrier	natural
national evidence base practices ebps project develop test model facilitate implementation psychosocial ebp adult severe mental_illness united states	natural
increase risk violent offending people common mental_disorder substance use disorder attribute factor mental_illness	natural
process healthy adaptive one indicate mental_illness facilitate creativity interfere	natural
early childhood service opportune setting prevention early intervention strategy support preschool child live parental mental_illness	natural
severe mental_illness associate long last symptom impairment include individual social occupational aspect	natural
child care parenting need adult mental_illness grow concern especially seek department veterans affairs va mental_health service	natural
evidence base model supervision and/or treatment probationer parolee mental_illness apply theoretical conditionally release population mental_health court forensic assertive community treatment team risk need responsivity model informed supervision practice hope probation	natural
observe presence alcohol abuse dependence nonmedical use prescription drug associate relatively mental_illness lack health care	natural
injectable treatment prescribe mental_illness especially private general practitioner gps	natural
child later develop schizophrenia schizophrenia spectrum disorder low rtt score control verbal iq age compare develop mental_illness	natural
homosexuality consider form mental_illness morally wrong socially deviant	natural
result provide support hypothesis negative inaccurate portrayal severe mental_illness enhance stigmatize attitude	natural
certain type personality predisposition mental_illness propose category personality disorder relegate neurosis psychosis	natural
woman likely mental_illness african americans latinos likely drug and/or alcohol use	natural
lesbian therapy report significant childhood adolescent problem warrant use individual therapy include depression eat disorder childhood physical sexual abuse parental mental_illness	natural
participant receive helpful mental_illness information significantly likely access mental_health service	natural
factor influence response cause year schooling identification mental_illness	natural
sample 192 college age emerge adult 81.0 female 81.9 caucasian mage = 18.82 year live concealable stigmatize identity e.g. mental_illness sexual minority status complete measure enact stigma anticipate stigma depressive symptom time point week	natural
caffeine nicotine alcohol use person severe mental_illness occur frequently poorly understand	natural
study explore use mvq normal non offender population offender population mental_illness order evaluate mvq subscale relate violence group	natural
finding suggest people mental_illness divert jail community base service experience few arrest jail day	natural
counselor training peak time identify begin mitigate stigma relate people mental_illness	natural
modern medicine religious method emerge important manage mental_illness suggest need multi sectoral approach	natural
caregive relative person mental_illness demand overwhelming	natural
difference find patient commit old law stipulate presence mental_illness sufficient criterion patient commit new law require presence physical harm essential criterion	natural
essay aim understand mental_illness recovery inside perspective offer swedish playwright gunilla linn persson autobiographic narrative poem take narrative approach text	natural
design methodology approach converging literature good life development sexual offender treatment compare recovery mental_disorder know particular need characteristic sexual offender mental_illness severe personality disorder pd	natural
analysis find perfectionistic self presentation associate unfavorable mental_illness attitude overall	natural
mental health agency offer parenting class adult mental_illness incorporate substance use intervention reduce loss child custody strengthen parent child relationship	natural
develop psychological theory common physical mental_health eventually result integrate approach mental_illness stigmatise treatment setting	natural
self stigma instrument investigate people mental_illness internalize public stigma	natural
study aim describe family caregive experience change begin onset family member mental_illness involvement family group peereducation program participant facilitator	natural
expect support death penalty punishment catharsis decrease significantly belief association mental_illness violence	natural
stalk recidivism predict pre index offend score cormier lang prior diagnosis mental_illness	natural
40 schizophrenia group unaware mental_illness bipolar group	natural
clinical psychiatry recovery severe mental_illness smi classically define accord symptom function service base recovery	natural
despite high prevalence rate mental_illness jail lack validate measure detect screening instrument adequately identify depression trauma relate disorder woman	natural
relationship causal attribution mental_illness family functioning investigate 39 individual chronic mental_illness family	natural
significant relationship personal experience mental_illness substance use accompany sexual intercourse perceive ethnic stigma have risky partner type experience discrimination have casual sex exchange partner	natural
result show church group express negative reject attitude people mental_illness population sample	natural
study investigate extent association immigrant status mental_illness explain different distribution know risk factor impaired mental_health group immigrant person bear sweden	natural
group high level overall mental_illness severity functional impairment	natural
consequently offer possibility intervention undertake result mental_illness occur minimum lessen severity	natural
young adult report feel obligation parent significantly positively correlate young adult psychological adjustment family parent mental_illness significantly correlate family nondistresse parent	natural
article summarize result need assessment study describe development evolution alternative treatment model assist homeless individual severe mental_illness summarize result outcome evaluation study discuss issue treatment implementation treatment diffusion dissemination	natural
harry stack sullivan 1892 1949 know interpersonal theory mental_illness little know actually work clinician patient	natural
clinical depression exemplify usefulness sex gender perspective understand mental_illness major theory propose account gender difference critically evaluate	natural
implicit attitude measure find immediate reaction mentally ill person negative general public people diagnose mental_illness	natural
behavioral health define absence mental_illness substance use problem presence positive emotional	natural
