collocate,count
observe,1
response,1
intoxication,1
deprivation,1
drug,9
neglect,14
implicate,1
death,2
child,26
intervention,1
strategy,1
consider,1
remediation,1
presence,1
trauma,1
parental,4
strife,1
preoedipal,1
mother,1
6,841,1
admission,1
primary,3
prescription,1
otc,1
california,1
2006,1
openende,1
question,2
interview,1
witness,1
modulation,1
operant,1
responding,1
anti,1
histamine,1
potential,2
risk,5
high,4
family,7
parent(s,2
abuse,18
substance,10
incidence,2
parent,4
alcohol,3
inhalant,1
significant,2
problem,1
canada,1
aboriginal,1
indigenous,1
user,1
benefit,1
significantly,2
treatment,5
retention,1
challenge,1
dissociation,1
exacerbate,1
link,2
childhood,7
history,3
increase,2
current,1
physically,1
abusive,3
55,1
woman,5
report,3
sexual,14
cat,1
highlight,2
severe,9
impact,4
life,1
administration,1
approve,1
buprenorphine,1
2002,1
crucial,2
tool,2
devastating,3
early,1
2003,1
provide,1
well,1
understanding,1
severely,2
adolescent,2
suffer,1
concurrent,1
diagnosis,1
conduct,1
disorder,2
young,1
people,1
fall,1
prey,1
key,1
area,1
affect,1
decision,1
make,1
process,4
juror,1
evaluate,1
case,4
content,1
stereotype,1
black,1
poor,1
deeply,1
problematic,1
severity,1
prevalence,2
bully,1
behavior,4
verbal,1
prove,1
distressingly,1
pervasive,1
type,3
pair,1
longitudinal,1
studies,1
longscan,1
study,1
total,1
15,1
researcher,1
find,1
lead,1
depressive,1
relationship,1
victim,3
perpetrator,1
age,1
begin,1
245,1
female,1
750,2
nonvictim,2
attempt,2
determine,2
relate,1
adult,2
social,2
psychological,1
explore,1
effect,1
specific,1
service,1
client,1
struggle,1
setback,1
empowerment,1
engage,3
citizen,1
prevention,3
context,1
suggest,2
maltreatment,2
typology,1
detrimental,1
factor,5
associate,2
ipv,1
mental_illness,1
identify,2
emphasize,1
necessity,2
assess,2
specifically,1
research,3
program,2
discuss,1
attention,1
draw,1
lack,1
base,2
school,1
site,1
clinical,1
trial,1
persistent,1
rating,1
notably,1
dismissive,1
011,1
involve,1
heartbreaking,1
amsterdam,1
asac,1
examine,2
strongly,1
confirm,2
posttraumatic,1
stress,2
lifetime,2
reflect,1
debilitate,1
pattern,1
half,1
meet,1
strength,1
association,2
physical,8
psychiatric,1
turmoil,1
adjust,1
sociodemographic,1
continuous,1
memory,2
horrific,1
form,1
heightened,1
fear,3
vulnerability,1
abduction,1
stranger,1
change,1
attributable,1
participation,1
number,1
close,1
member,1
postal,1
questionnaire,1
sample,1
2,759,1
document,1
2,677,1
community,1
control,1
england,1
careful,1
adherence,1
criterion,1
procedure,2
place,2
name,2
register,1
remove,1
long,1
netherlands,1
screening,1
instrument,1
detect,1
understand,1
highly,1
inadequate,1
believe,1
correction,1
addiction,2
college,1
student,1
address,1
potentially,1
cognitive,1
impairment,1
consistently,1
inflict,1
economic,1
cost,1
component,1
clarification,1
exacerbation,1
b,1
offender,3
evasion,1
responsibility,1
c,2
ignorance,2
d,1
failure,1
status,1
frequent,1
use,1
dependence,1
harmful,1
quit,1
clinician,1
standard,1
decade,1
field,2
emotional,5
versus,1
man,2
critical,1
judgment,1
hypothetical,1
attitude,1
empathy,1
generally,1
mediate,1
experience,1
scale,1
damaging,2
term,1
include,1
harshly,2
difficult,1
handicapped,1
chronic,1
informal,1
source,1
horrendous,1
resilience,1
characteristic,1
csa,1
adulthood,1
