collocate,count
incidence,1
disorder,4
subsequent,1
gdm,1
attenuate,1
adjustment,1
research,1
improve,2
practice,3
area,1
occupational,2
require,3
promote,2
good,3
mental_health,7
european,2
population,4
broad,1
role,2
medium,1
community,7
propose,1
service,11
ihs,1
proposal,1
survey,2
address,4
need,9
denver,1
urban,1
american,2
indians,2
show,1
spiritual,1
religious,1
belief,1
associate,4
quality,1
life,1
study,5
demonstrate,2
parental,2
problem,6
care,7
use,4
child,8
certain,2
family,1
factor,1
support,1
children,1
investigate,2
correlate,1
psychosocial,3
barrier,2
adult,3
report,2
unmet,2
focus,1
gender,1
race,1
ethnicity,1
include,1
restructuring,1
exist,1
early,4
childhood,2
consultation,2
engage,2
program,3
specific,2
strategic,1
planning,1
provide,4
training,2
staff,3
implement,1
wellness,1
multilevel,1
model,1
assess,2
scale,1
sf-36,1
cope,1
style,1
appear,1
experience,2
negative,2
outcome,3
result,2
insecurity,1
test,2
mediate,1
link,2
maternal,1
postpartum,1
preschool,1
age,1
structured,1
recent,1
year,1
practitioner,1
explore,2
woman,1
balance,1
work,5
methodology,1
continue,2
closely,1
local,1
provider,1
hmong,1
leadership,1
range,4
intervention,3
promotion,1
school,2
decade,1
variable,1
degree,1
wide,1
303,1
male,2
outpatient,1
attend,1
center,2
advance,1
sociological,1
understanding,1
global,1
comparative,1
consider,2
effect,1
macrolevel,1
political,1
economic,1
fully,1
understand,1
relationship,1
stressful,1
psychosis,1
appropriate,1
assessment,1
instrument,1
diverse,1
1992,1
comparison,1
characteristic,1
island,1
puerto,1
ricans,1
mexican,1
meet,1
somali,1
refugee,1
wales,1
ongoing,1
process,2
case,2
note,1
pervasive,1
field,1
victimization,1
potential,1
explanatory,1
mechanism,1
challenge,3
sexual,2
minority,2
youth,3
evaluator,1
present,2
critical,1
guide,1
professional,2
particularly,2
oppose,1
reform,1
effort,1
linkage,2
disrupt,2
social,2
ecology,2
war,2
affect,2
detrimental,1
significantly,1
erode,1
feeling,1
security,1
adequately,1
difficult,1
overwhelming,1
foster,1
division,4
aged,1
health,6
public,2
specifically,1
reference,1
protection,1
juvenile,1
justice,1
act,1
principle,1
entrench,1
approach,2
especially,2
consumer,1
struggle,1
contribute,1
personality,1
trait,1
condition,1
man,1
implication,1
theory,1
immigrant,1
help,3
seeking,1
implementation,1
effective,3
delivery,2
stressor,1
harmful,1
physical,1
consequence,1
severe,1
randomize,1
trial,1
evaluate,1
parent,1
wellbeing,1
somatic,1
vitality,1
2,1
version,1
qualitative,1
interview,1
carry,1
examine,2
concern,4
impact,1
policymaker,1
interested,1
increase,2
access,1
strategy,2
reduce,2
obstacle,2
relate,1
misconception,1
addition,1
structural,1
relatively,1
high,1
risk,1
develop,1
dishearteningly,2
low,2
engagement,2
necessary,2
arise,1
additional,1
scrutinize,1
number,1
expert,2
irb,3
decrease,1
b,1
determine,1
narrow,1
expertise,1
correspond,1
limited,1
substantive,2
methodological,1
represent,1
protocol,1
review,2
c,1
recruit,1
welfare,1
medical,1
sector,1
counseling,1
force,1
psychotherapy,1
widely,1
know,1
profession,1
lack,1
literature,1
telephone,1
client,1
discharge,1
clinic,1
reveal,1
level,1
discrepancy,1
loss,1
quest,1
drive,1
pursuit,1
treatment,1
seek,1
va,1
admission,1
n,1
=,1
16,016,1
inpatient,1
facility,1
inadequate,1
system,1
face,2
disruption,1
1994,1
individual,1
england,1
recently,1
patient,1
commit,1
homicide,1
independently,1
give,1
pressure,1
teams,2
people,1
relative,1
scarcity,1
clinician,1
complicate,1
insurance,1
sort,1
anxiety,1
depressive,1
contact,1
troubling,1
delay,1
diagnosis,1
disease,1
diabetes,1
poor,1
habit,1
great,1
burden,1
issue,1
ethnic,1
group,1
united,1
states,1
