collocate,count
discuss,3
implication,2
research,2
policy,1
practice,1
violence,2
risk,1
assessment,2
wellknown,1
chiurlionis,1
die,2
sanatorium,2
ill,2
write,2
mental_illness,7
mental,2
important,2
contributor,1
individual,7
social,2
distance,1
accuracy,1
impact,1
mass,1
medium,2
portrayal,1
review,4
repercussion,1
attitude,5
people,3
health,3
professional,3
offender,4
significant,2
quality,1
care,2
treatment,4
form,1
impression,1
bear,1
specific,2
label,2
physical,7
illness,6
firstly,1
explore,1
relationship,3
urban,2
design,2
pursue,1
role,2
promotion,1
prevention,1
epidemic,1
conduct,1
comprehensive,1
literature,2
search,1
215,1
parent,4
adult,3
child,5
korea,1
survey,1
mage=60.68,1
sd=13.58,1
74.4,1
collateral,1
relative,1
autistic,1
3.2,1
4.8,1
sibling,1
markedly,1
abnormal,1
member,1
person,8
suffer,4
common,1
severe,11
version,1
r&r2,1
struggle,2
deteriorate,1
skill,2
persistent,1
concern,1
use,2
efavirenz,1
patient,4
history,3
deter,1
clinician,1
offer,1
agent,1
psychiatrically,1
worsen,1
natural,1
remain,1
tooth,1
psychiatry,2
trainee,1
talk,1
experience,2
discrimination,1
profession,1
inability,1
accompany,1
distress,1
issue,1
e.g.,2
psychological,2
moral,1
burden,3
biological,2
predisposition,1
play,1
schreber,1
sexuality,1
smi,1
live,1
homelessness,1
topic,1
receive,1
51,1
respondent,1
develop,1
country,1
believe,3
similar,2
7,2
insurmountable,1
obstacle,1
result,1
show,1
interaction,1
significantly,2
impaired,3
compare,2
evidence,1
association,2
grow,1
recent,1
year,1
lead,1
alongside,1
substance,2
disorder,1
criminal,4
cohort,1
study,4
include,2
debilitate,1
characteristic,1
allege,1
cause,4
inadequate,1
deterioration,1
retreat,1
model,2
implicate,1
harmful,1
religious,1
poor,1
coping,1
internal,1
conflicts,1
etiology,1
seek,1
clarify,1
deep,1
root,1
stigma,2
challenge,3
change,1
low,1
cognitive,1
function,1
target,1
site,1
ovid,1
psycinfo,1
identify,3
examine,2
link,2
detrimental,1
work,1
have,1
strong,1
background,1
behavioral,1
principle,2
assume,1
manage,4
discard,1
misunderstand,1
stereotype,1
old,1
age,1
50,1
neurocognitive,1
aim,1
assess,1
intern,1
misconception,1
negative,1
choose,1
medication,1
gender,1
problematic,3
family,1
difficult,2
confound,1
effect,1
observed,1
pool,1
13,389,1
nonfictional,1
item,1
collect,1
march,1
2000,1
february,1
2001,1
imbalance,1
system,3
behavior,1
regulation,1
presence,1
profile,1
exhibit,2
disruptive,2
pattern,3
exacerbate,2
symptom,3
homeless,1
express,1
desperate,1
need,1
assistance,1
deal,1
rift,1
psychosocial,1
represent,2
polarize,1
position,1
psychiatrist,1
nature,1
metacognitive,1
disturbance,1
ability,1
extensive,1
hospitalization,1
group,2
abuse,1
problem,1
continue,1
barrier,1
access,1
diverse,1
hinder,2
sociocultural,1
economic,1
factor,1
battle,1
diminished,1
sense,1
suggest,1
chinese,1
community,5
view,2
genetic,4
non,2
abo,1
blood,1
complicate,1
understanding,1
disease,1
begin,1
elucidate,1
unfairly,2
draw,2
justice,4
frustration,1
mediate,1
belief,2
controllability,2
unwillingness,2
help,2
reduction,1
education,1
confront,2
fear,2
value,1
self,1
confrontation,1
technique,1
fight,1
negatively,1
affect,1
cope,1
context,1
compliance,1
behaviour,1
completion,1
outcome,1
agency,2
article,1
way,1
client,1
psychotherapy,1
therapist,1
distort,1
contemporary,1
film,1
