collocate,count
survivor,1
family,1
open,1
window,1
world,1
spirituality,1
mtbi,1
n,4
=,4
135,1
general,1
gt,1
83,2
patient,5
recruit,1
area,1
level-1,1
center,1
3,1
month,1
injury,2
administer,1
dislocation,1
subsequent,1
exposure,4
violence,1
witnessing,1
interview,2
assess,2
substance,4
abuse,4
dependence,2
ptsd,3
early,2
interpersonal,2
profound,1
impact,4
young,1
child,7
emotional,2
intrapsychic,1
life,2
immigrant,1
suffer,2
collective,1
pre,3
migration,4
continue,1
ghost,1
experience,3
include,1
neglect,1
situational,1
experiential,1
factor,2
post,1
settlement,1
process,2
theoretical,1
implication,2
role,1
severity,1
discuss,3
specifically,1
relationship,3
history,3
physical,3
sexual,1
witness,1
lack,2
resolution,1
previous,1
attachment,1
figure,1
account,1
insecurity,1
number,1
bpd,1
category,1
unresolve,1
aap,1
follow,3
brief,2
review,1
freud,1
writing,3
author,1
relevant,1
theory,2
bion,1
consider,1
background,1
immigration,1
60,1
15,1
sample,1
recency,1
consistently,1
predict,1
event,2
esteem,1
self,2
acceptance,1
mindfulness,1
empowerment,1
symptom,5
parent,1
difference,1
accord,1
use,1
diagnostic,1
childhood,8
questionnaire,5
sex,1
exchange,1
investigate,1
interaction,1
support,1
prior,1
birth,1
intervention,1
association,1
pts,1
recollection,1
csa,1
require,1
concept,2
repression,1
false,1
memory,2
anticipate,1
mother,1
social,1
netherlands,1
trial,1
registry,1
boost,1
oxytocin,1
neurobiology,1
development,4
stress,5
relate,2
psychopathology,1
associate,1
differential,1
course,1
uniquely,1
dramatic,1
narrative,1
subtle,1
nuance,1
understanding,1
long,1
term,1
validation,1
meaning,1
recent,1
light,1
remote,1
current,2
context,1
dysfunctional,1
familial,1
schizotypal,1
personality,1
distribution,1
disorder,4
non,1
damaging,1
face,1
head,2
precipitate,1
visual,1
loss,1
unwanted,1
pregnancy,1
describe,2
shock,1
miscarriage,1
relief,1
92,1
randomize,1
group,2
control,1
performance,1
119,1
severe,2
closed,1
brain,1
tbi,2
receive,2
toxicology,2
screen,1
time,2
centre,1
admission,3
examine,1
lifetime,1
user,1
inpatient,1
provide,1
relative,1
ranking,1
addictive,1
effect,4
demographic,1
information,1
mental_health,1
acculturation,1
educational,1
certain,1
characteristic,1
increase,1
risk,1
develop,1
delay,1
distal,1
adverse,2
study,3
93,1
consecutive,2
24,1
complete,2
astereopsis,1
41,1
model,1
subjective,1
wellbeing,1
mainly,1
direction,2
behavioral,1
health,1
problem,1
foster,1
datum,1
future,1
longitudinal,1
haiti,1
overwhelm,1
school,1
human,1
resource,1
link,2
posttraumatic,1
trauma,1
adulthood,1
new,1
way,1
northern,1
ireland,1
cause,1
distress,2
youth,1
region,1
critical,2
urgent,1
attention,1
stage,1
recovery,1
argue,1
expand,1
adequately,1
address,1
explain,1
psychic,1
return,1
central,1
psychoanalysis,1
highlight,1
conceptualize,1
intensify,1
reaction,1
reminder,1
lead,1
distressing,1
uncontrollable,1
intrusive,1
exacerbate,1
detrimental,1
deployment,1
theater,1
individual,1
encapsulate,1
aggression,1
turbulent,1
sense,1
woman,1
difficult,1
bernstein,1
et,1
al,1
reflect,1
result,1
importance,1
clinical,1
setting,1
significant,1
icu,1
major,1
hospital,1
2,1
year,1
period,1
focus,1
