collocate,count
use,1
controversial,1
technique,1
suggestive,1
statement,1
immediately,1
assume,1
client,2
repress,2
memory,2
finding,1
corroborate,1
institutional,1
long,1
term,1
effect,2
mental_health,2
suicide,3
high,4
rate,1
current,1
substance,15
past,3
attempt,2
family,4
history,6
mood,1
disorder,2
disruptive,1
quality,1
life,1
woman,1
suffer,1
conflict,3
respondent,1
experience,4
different,2
pattern,1
battering,1
fianc,1
express,1
relatively,1
low,2
sequelae,1
religion,1
relate,3
child,8
sexual,13
case,4
study,3
examine,4
relationship,6
childhood,12
neglect,4
risk,3
behavior,3
middle,1
physical,4
assess,3
tactic,1
scales,2
parent,2
participant,1
report,3
significant,3
laxative,1
p,1
=,1
0.020,1
cigarette,1
obtain,1
national,2
institute,1
drug,4
subject,1
enrol,2
trial,2
disclosure,2
process,1
unfold,1
arise,1
organization,1
perception,1
actual,1
batterer,1
rehabilitation,1
take,1
stop,1
form,1
violence,4
find,2
emotional,4
witness,1
interpersonal,1
call,1
presentation,1
lessons,1
inquiries,1
change,2
context,1
challenge,1
acpc,1
issue,1
father,1
daughter,1
address,2
know,1
potentiate,1
reinforce,1
affect,1
naloxone,1
precipitate,1
sign,1
opiate,1
18,1
62,1
residential,1
treatment,7
complete,1
measure,1
dysregulation,1
practice,1
ebp,1
actually,1
deliver,1
setting,1
sample,1
support,2
construct,2
validity,1
alcohol,1
discrete,1
illness,1
phase,1
dependence,2
set,2
core,1
distinct,1
succeed,1
partner,2
ipv,2
level,1
tactics,1
subsequent,1
early,1
ado,1
predict,1
1994,1
control,1
potential,2
mediator,1
1987,1
model,2
include,1
parental,2
psychopathology,1
personality,3
factor,2
provide,1
adequate,1
fit,1
maternal,1
depression,3
anxiety,2
trait,1
clinic,1
refer,1
man,2
participate,1
volatile,1
solvent,1
inhalant,1
endure,1
problem,3
management,1
imi,1
recent,1
psychotherapeutic,1
intervention,1
draw,1
principle,1
brief,1
motivational,1
suspicion,1
csa,3
asdonly,1
group,1
likely,2
adolescent,1
mother,2
relapse,1
maladaptive,1
associate,3
fully,1
mediate,1
verbal,1
perpetrate,1
internalize,1
fellow,1
patient,3
self,1
harm,1
difficulty,1
intimacy,1
domestic,1
clash,1
prevalence,1
nature,1
intimate,1
involve,1
year,1
psychosocial,1
functioning,1
engage,1
unhealthy,1
outpatient,1
randomize,1
clinical,2
individual,2
develop,2
i.e.,1
information,1
processing,1
sip,1
course,1
number,1
prevention,1
program,1
target,1
youth,1
transformative,1
overcome,5
result,1
indicate,1
abuse,3
great,1
resilience,4
old,1
extent,1
determine,1
build,2
influence,2
abuser,1
base,1
therapist,1
state,1
therapeutic,1
sector,1
psychosis,1
paternal,1
dysfunction,1
incest,1
stepfath,1
stepdaughter,1
constructively,1
psychotherapy,1
adult,2
convict,1
author,1
suggest,1
hypothesis,1
understand,1
thermal,1
economic,1
association,1
beneficial,1
reduce,1
cost,1
society,1
trials,1
network,1
ctn,1
impact,1
characteristic,1
psychological,1
