collocate,count
guidance,1
treatment,3
preference,1
help,1
inform,1
tailoring,1
conformance,1
correlate,2
.35,1
locus,3
control,3
coefficient,1
.24,1
group,4
n,2
=,2
55,1
dimension,1
depression,12
dissociation,1
rate,2
psychiatric,2
comorbiditie,1
include,1
mood,3
somatoform,1
personality,1
disorder,10
psychosocial,1
distress,1
stimuli,1
dot,1
probe,1
task,2
trait,7
general,2
propensity,1
worry,2
adherence,1
evaluation,2
facial,1
crowd,1
modulate,1
social,5
rating,1
subject,1
complete,2
astate,1
scale,4
statetrait,3
inventory,4
stai,6
examination,1
subscale,1
global,1
score,5
obsession,1
compulsion,1
hc,1
patient,2
education,1
objective,1
measure,11
versus,1
provide,2
additional,2
evidence,1
efficacy,1
comorbid,1
depressive,2
variable,2
contribute,1
sexual,1
dysfunction,1
level,2
feature,1
marital,2
relationship,2
present,1
study,5
examine,1
relation,1
diagnostic,1
status,1
ea,1
physical,1
depressed,1
assess,1
hospital,1
hads,1
biannual,1
interval,1
specifically,1
aim,1
determine,1
effect,5
alcohol,5
relate,5
problem,3
well,2
dtc,5
test,1
distinct,1
model,4
mediate,4
factor,1
subtype,1
phobia,1
endorse,1
moderate,1
situational,1
domain,1
demographic,1
cope,1
questionnaire,3
w,1
deq,1
version,1
t,4
anxiety,6
sensitivity,3
index,3
asi,1
average,1
expect,1
exposure,2
base,1
learning,1
prevent,1
relapse,1
summarize,1
advice,1
conduct,1
reliable,1
valid,1
childhood,1
individual,3
elevated,1
appear,1
particularly,1
vulnerable,1
experience,3
emotion,1
dysregulation,1
internalize,1
symptom,7
bullying,1
victimization,1
fear,1
explain,1
combination,1
dyspnea,1
report,3
significantly,2
hostility,1
b,1
10,1
amenorrhea,1
addition,1
neuroticism,2
psychoticism,1
loneliness,1
misanthropy,1
week,2
predict,2
birth,1
6,1
call,1
question,1
relevance,1
paranormal,1
self,2
esteem,1
associate,4
presence,1
affective,1
comorbidity,1
sample,2
person,1
dsm,1
diagnose,1
ocd,1
mdd,1
participant,2
sa,1
dos,1
rape,1
subsequent,1
diagnosis,1
mindfulness,1
flow,1
performance,1
low,2
competitive,1
result,2
demonstrate,1
significant,1
reduction,3
experimental,1
lead,1
notable,1
improvement,1
condition,1
great,2
t(78,1
1.68,1
p,1
<,1
common,1
practice,1
treat,2
employ,2
strategy,2
beneficial,1
mean,1
assist,1
multiple,2
sclerosis,1
severity,1
balanced,1
supportive,2
mental,1
component,1
quality,1
life,1
family,1
type,1
reveal,1
inspire,1
improved,1
flood,1
heatwave,1
preparedness,1
children,1
manifest,1
positively,2
consideration,1
future,1
consequence,1
empower,1
problematic,1
use,2
optimistically,1
cautious,1
behaviour,1
checklist,1
cbcl,1
state,3
s,1
understand,1
management,1
have,1
value,1
protection,1
manage,1
dissociative,1
current,1
smokers,3
occasional,1
ex,2
indicate,1
positive,1
shift,1
2,1
n=121,1
hopeful,1
standard,2
constructive,2
efficiency,1
psqi,1
proactive,2
baseline,1
posttreatment,1
increase,1
hypnotic,1
number,1
behavioral,3
genetic,1
explore,1
resilience,1
child,1
adolescent,1
accountability,1
evoking,1
comparison,1
observation,2
pulse,1
generally,1
4,1
find,1
indicator,1
stressful,1
speech,1
anticipate,1
iat,1
inversely,1
enhanced,1
vitamin,1
cidi,2
acknowledge,1
insight,1
module,2
rest,1
spread,1
