collocate,count
adaptation,1
illness,2
report,3
significantly,1
anxiety,9
abnormal,1
behavior,2
control,2
describe,2
illustrate,1
importance,1
treat,1
elderly,1
patient,2
sclc,1
undergo,1
chemotherapy,1
associate,3
low,2
abp,1
stress,5
high,4
swl,1
transdiagnostic,1
treatment,4
examine,2
effect,2
quality,1
life,4
qol,1
child,3
suggest,1
association,2
25(oh)d,1
concentration,1
emerge,1
childhood,1
relative,1
proband,1
subthreshold,1
major,4
bipolar,1
disorder,4
alcohol,1
study,1
datum,2
uncover,1
individual,2
predictor,2
response,2
exercise,1
find,3
participant,3
randomize,1
symptom,5
observe,1
human,1
chf,1
comorbid,1
mindfulness,2
support,3
applicability,1
mbct,1
recurrent,1
factor,4
jointly,1
confer,1
vulnerability,1
youth,2
trauma,1
recent,1
positive,7
change,2
intensity,2
relief,1
fatigue,2
hiv,1
demographic,1
criterion,1
actually,1
identify,1
diverse,1
experience,3
severity,2
different,1
country,1
culture,1
gender,1
relate,2
aspect,2
integrative,2
theoretical,2
approach,3
depression,4
offer,1
practical,1
implication,1
likely,1
mere,1
sign,1
challenging,1
health,1
baseline,1
great,1
chance,1
insight,1
follow,2
smoker,1
or=1.62,1
ci=1.10,1
2.40,1
appear,1
uncommon,1
5-,1
8,1
year,1
compute,1
tomograph,1
show,3
area,1
metabolic,1
left,1
hemisphere,1
indicate,1
potential,3
recovery,1
compassion,1
predict,2
reduction,1
perceive,1
enhancement,1
satisfaction,1
personal,2
responsibility,1
motivate,1
manage,3
cause,1
subsequently,2
improve,2
mood,1
md,1
bd,1
13,776,1
cd,1
66,815,1
memory,1
complaint,1
presence,1
frequent,1
epsilon4,1
occurrence,1
possibly,1
apply,1
assess,3
psychiatrist,1
diagnosis,2
hadd,1
score,3
course,1
growth,2
need,1
closure,1
helpful,1
provide,1
promising,1
result,1
resistant,1
elevated,1
share,1
broad,1
understanding,2
previous,3
post,1
natal,2
period,2
pregnancy,2
consistent,2
indicator,1
resilience,4
multivariate,1
analysis,1
demonstrate,1
significant,1
contribute,1
suicidal,2
specifically,1
boy,1
relationship,1
thought,1
level,1
obesity,1
peace,1
religious,1
faith,1
improved,1
enhance,1
physical,1
functional,1
man,1
246,1
woman,1
live,1
receive,1
antidepressant,1
ssris,1
tca,1
setting,1
compare,1
regard,1
strength,2
progress,1
condition,2
military,1
service,1
screen,2
highlight,1
proactive,1
healing,1
40,1
subject,2
hospital,1
scale,5
comprehensive,1
fit,1
include,1
uplift,1
variable,1
complete,2
birleson,1
self,2
bdsrs,1
children,1
veteran,1
posttraumatic,1
ptsd,1
character,1
have,1
schizophrenia,1
trouble,1
agency,1
pathways,1
component,1
hope,1
event,1
difference,2
measure,3
psychological,1
social,1
functioning,2
explore,2
beck,1
inventory,1
2nd,1
edition,1
bdi,1
ii,1
week,1
group,2
interestingly,1
engagement,1
bdd,1
ed,1
swc,1
montgomeryasberg,1
rating,1
administer,1
cognitive,1
verification,1
theory,1
development,1
psychiatric,1
sample,1
primarily,1
guide,1
effective,1
intervention,1
iq,1
g,1
inbrede,1
beneficial,1
contrast,1
black,1
white,1
optimism,1
well,1
equip,1
loneliness,1
oppositional,1
conduct,1
attention,1
deficit,1
coping,1
center,1
epidemiologic,1
studies,1
positively,1
time,1
p<0.01,1
soc,1
