collocate,count
mindset,1
weakly,1
resilience,5
indicator,2
improve,2
finding,1
suggest,2
maysi-2,1
serve,1
valuable,4
screen,1
instrument,1
youngster,1
welfare,1
justice,1
form,1
particularly,1
responsive,1
population,1
regard,3
challenge,2
answer,1
question,1
benefit,5
intervention,5
child,6
professional,4
solve,1
decline,1
find,2
physical,2
health,3
significantly,2
enhance,3
cognitive,3
performance,1
high,2
level,2
intelligence,1
affect,2
sustain,1
activity,1
daily,1
living,1
investigation,2
result,1
promising,2
way,1
worker,2
utilize,1
ffm,1
identify,2
risk,2
intake,1
diagnostic,1
orientation,2
group,2
outpatient,1
clinic,1
evolve,1
resourcefulness,1
offer,1
service,11
disseminate,1
scientific,1
knowledge,1
process,1
education,1
enhancement,2
language,1
shall,1
thoughtfully,1
reveal,1
excel,1
entire,1
range,2
traditional,1
function,1
perform,1
exceptionally,1
assume,1
pivotal,1
role,3
nation,1
support,2
system,2
decade,2
overcome,1
barrier,1
access,2
low,1
income,1
family,5
successfully,1
interest,1
subsequent,1
theoretical,1
development,3
outcome,3
variable,1
existence,1
encourage,1
rate,1
setting,4
university,1
counseling,2
center,3
community,2
psychiatric,1
inpatient,1
beneficial,4
enlighten,2
medical,1
student,1
resident,1
trainee,1
topic,1
psychiatry,1
review,2
evidence,1
comprehensively,1
cover,1
include,1
forensic,1
attitude,1
enrich,1
age,1
sex,1
race,1
prisoner,1
history,1
violence,1
involvement,1
study,1
highlight,1
85,1
potential,4
court,2
defendant,1
refer,2
trial,1
competency,1
initial,1
year,1
progress,1
akron,1
ohio,1
discharge,2
approximately,1
70,1
subject,1
engage,1
3,1
month,1
80,1
notion,1
associate,1
positive,2
self,1
workshop,1
case,2
formulation,1
115,1
practitioner,1
give,1
description,1
ask,1
net,1
patient,3
cau,1
treatment,7
47.9,1
versus,1
31.0,1
odd,1
conclusion,1
parity,1
efficient,1
use,3
vary,1
methodological,1
factor,2
connect,1
clinical,1
supervision,1
aspect,1
training,1
maltreatment,1
face,1
appropriate,1
recovery,1
responsible,1
country,2
embrace,2
progressive,1
legislation,2
care,6
adult,2
mental_disorder,1
mental_health,1
remain,1
supportive,1
policy,1
effort,2
psychological,1
dimension,1
relevant,1
opportunity,4
comprehensive,2
relate,1
alcohol,1
functioning,1
hiv,1
present,1
unique,2
growth,1
provider,1
subtle,1
impactful,1
effectively,1
address,1
etv,1
e.g.,1
adaptability,1
transition,1
academic,1
achievement,1
multilevel,1
emerge,2
need,1
provision,1
launch,1
national,1
task,1
force,1
report,1
examine,1
gender,1
difference,1
protective,1
effect,1
cope,1
bond,1
strengthen,1
view,1
pelvic,1
pain,1
challenging,1
quality,1
life,2
compare,2
manage,1
asymptomatic,1
endometriosis,1
healthy,1
urban,1
account,1
investment,1
rural,1
adolescent,1
impact,1
intergenerational,1
base,2
plh,1
modality,1
veteran,1
receive,1
additional,1
long,1
commute,1
demonstrate,1
systematic,1
search,1
literature,1
brain,1
stress,1
greater,1
bridge,1
gap,1
correctional,2
ensure,1
inmate,1
facility,1
easily,1
effective,1
sexual,1
uplifting,1
client,1
permanent,1
hearing,1
impairment,1
enjoy,1
success,1
hear,1
presentation,1
vigor,1
emblematic,1
flourish,1
rehospitalization,1
269,1
state,1
therapist,1
hope,1
questionnaire,1
methodology,1
participant,1
comprise,1
dedicated,1
nursing,1
staff,1
small,1
school,1
program,1
show,1
significant,1
improvement,1
project,1
context,1
addition,1
area,1
substance,1
housing,1
homeless,1
youth,1
order,1
