collocate,count
examine,5
exposure,9
ptsd,8
symptom,11
relation,2
incident,1
stressful,3
life,2
event,6
sles,1
childhood,5
ct,1
aetiology,1
mdd,1
test,2
relationship,3
psychological,5
outcome,2
posttraumatic,3
stress,9
disorder,6
trauma,9
depression,2
different,3
function,2
type,1
interpersonal,1
vs.,1
noninterpersonal,1
study,8
assess,1
characteristic,1
content,1
intrusive,2
memory,3
22,1
patient,3
follow,1
maintain,1
description,1
ritualized,1
constitute,1
newly,1
identify,1
psychiatric,1
syndrome,3
associate,4
substance,2
use,2
adulthood,1
salience,1
weight,1
military,1
increase,2
influence,1
risk,1
eat,1
reflective,1
aspect,1
journalism,1
culture,1
work,3
photography,1
dimension,1
protective,3
negative,1
effect,1
future,1
consecutive,1
admission,1
n,1
=,2
143,1
center,1
observe,1
prospectively,1
6,1
12,1
correlate,2
respondent,1
experience,5
high,2
level,2
loss,2
specifically,1
resident,1
designate,1
disaster,2
diet,1
potential,5
factor,2
relate,4
sequelae,2
measure,3
axonal,1
damage,1
acute,2
brain,5
model,3
suggest,1
daughter,1
survivor,4
vulnerable,2
transgenerational,2
transmission,2
parental,2
familial,1
method,1
deal,1
undergo,1
severe,2
socioeconomic,1
political,1
outline,1
philosophical,1
approach,1
separate,1
9,1
day,1
old,1
biological,1
self,4
referent,1
upward,1
cft,1
style,1
frequency,2
post,2
traumatic,4
1,2
caseness,1
author,2
contend,1
possible,1
reconcile,1
drive,1
theory,2
psychopathology,2
carefully,2
general,2
notion,2
reexamine,1
freuds,1
war,2
neurosis,3
repression,1
elementary,1
form,1
review,1
pathology,1
postconcussional,1
criterion,1
diagnosis,1
find,1
rate,2
limited,2
information,2
schneiderian,1
strongly,1
adaptive,1
dissociative,2
cluster,1
community,1
overcome,2
chronic,3
social,1
varied,1
kind,1
transformative,1
present,4
impact,2
include,3
growth,5
cognitive,1
affective,1
behavioral,1
rely,1
report,3
dissociation,5
seriously,1
consider,1
absent,1
mindedness,1
fantasy,1
proneness,1
contribute,2
broad,1
understanding,5
personal,3
hypothesis,1
beneficial,1
processing,2
visual,2
reminder,2
aftermath,2
foster,1
subsequent,2
today,1
case,2
lead,1
awareness,1
well,1
prevention,1
emotional,3
result,1
finding,2
celebrate,1
motivated,1
open,1
counseling,2
nonsurvivor,1
assumption,1
imply,1
operate,1
catalyst,1
compare,4
contrast,1
view,1
destroy,1
capacity,1
symbolization,1
discuss,1
develop,1
strength,2
cope,2
skill,1
comparison,2
man,1
research,1
design,1
ethically,1
enhance,1
emphasize,1
important,1
connection,1
somatoform,1
youth,1
development,2
gain,1
physical,1
exhaustion,1
history,2
recent,1
involvement,1
clinical,1
situation,1
address,1
challenge,1
originally,1
prompt,1
argue,1
convincing,1
evidence,1
support,1
longstanding,2
tm,2
posit,2
early,2
resilience,1
genesis,1
understand,1
group,1
juvenile,1
delinquent,1
explore,2
point,2
transgression,1
low,1
uplift,1
1659,1
narrative,1
organize,1
system,1
promote,1
healing,1
healthy,1
subject,1
administer,1
questionnaire,1
ctq,1
selective,1
recall,2
eventually,1
forget,1
word,1
non,1
asd,1
control,1
therapy,1
net,1
flexible,1
empower,1
tc,1
supportive,1
treatment,1
monitoring,1
poverty,1
hunger,1
51,1
male,1
adolescent,1
expression,1
paper,1
way,2
salient,2
infancy,2
repeat,1
hormone,1
consequent,1
reframing,1
protect,1
child,1
victim,1
witness,1
grow,1
pregnancy,1
woman,1
navigate,1
physically,1
psychologically,1
discover,1
new,1
individual,1
recovery,2
adaptation,2
baseline,1
cerebrovascular,1
parameter,1
fmri,1
analysis,1
overwhelming,1
internal,1
external,1
stimulation,1
great,1
