collocate,count
experience,8
legally,1
report,2
child,18
sexual,17
tanzania,1
disability,1
study,2
explore,1
impact,3
current,3
medical,1
problem,2
old,1
adult,2
questionnaire,1
ask,1
understanding,1
familiarity,1
procedure,1
law,1
clinical,1
precipitant,1
relapse,1
cocaine,2
opioid,2
useful,1
surrogate,2
outcome,3
develop,2
new,2
drug,7
pharmacotherapie,1
examine,2
relationship,2
family,7
functioning,1
substance,7
adolescent,4
psychiatric,1
inpatient,1
full,1
pattern,3
mediation,1
show,2
retrospective,1
variable,1
model,2
cannabis,2
dependence,5
diagnosis,2
individual,2
abuse,11
criterion,1
different,3
prevalence,1
previous,1
research,3
demonstrate,1
association,1
childhood,4
neglect,3
prescription,1
misuse,2
adulthood,2
user,1
idus,1
perception,1
treatment,3
provider,1
russian,1
city,1
effect,2
parent,4
history,7
emotional,5
emotion,1
dysregulation,1
stress,1
sample,1
reported,1
associate,2
marked,1
improvement,1
follow,1
psychological,3
perceive,2
great,1
seriousness,2
victim,6
endure,2
frequent,1
varied,1
perpetrator,1
distally,1
relate,2
involve,1
court,1
proceeding,1
society,1
suffer,2
systemic,1
time,1
likely,1
work,1
woman,6
condone,1
finding,1
point,1
important,1
influence,1
spd,1
suggest,1
ptsd,1
symptom,1
provide,1
common,1
background,1
psychopath,1
statement,1
korean,1
sexually,1
sex,2
parental,1
state,1
youth,1
bpsd,1
significantly,1
bad,1
global,1
apparent,1
increase,2
disturbance,1
attempt,1
complete,1
suicide,1
eat,1
disorder,1
qualification,1
specific,1
training,1
belief,2
indicator,2
professional,3
conduct,2
investigatory,2
interview,2
sible,1
verbal,3
physical,6
underrepresente,1
maltreatment,1
potential,1
occur,1
age,1
13,1
63.4,1
respondent,1
preoccupation,1
measure,1
include,2
neglectful,1
participate,1
12,1
week,1
psychoeducational,1
trauma,3
intervention,1
program,1
call,2
esuba,1
awareness,1
result,1
alarming,1
number,1
present,1
perpetration,1
eva,1
subscale,1
conflict,1
dating,1
relationships,1
harmful,2
adolescence,1
workshop,1
critical,1
challenge,3
consequence,2
scream,1
caregiver,1
witness,1
severe,5
unbearable,2
score,1
mark,1
deterioration,1
mental,1
health,1
admission,1
hiv,1
knowledge,1
client,2
refusal,1
condom,1
use,4
prevention,1
effort,1
alcohol,5
typically,1
focus,1
struggle,2
face,2
general,1
african,1
american,2
tragically,1
crack,1
compare,1
group,1
incest,3
despite,1
fully,2
comprehend,2
profound,2
cause,1
plague,1
persistent,1
burden,2
1995,1
national,1
household,1
survey,1
assess,4
concern,2
trend,1
investigation,1
difference,1
expose,2
expand,1
facet,1
approach,1
prevent,1
environmental,1
strategy,1
gain,2
popularity,2
address,1
injury,1
undergo,1
consultation,1
ipv,1
exposure,1
retrospectively,2
analyze,2
examination,1
sibling,1
recognize,1
cohort,2
refer,2
traumatic,2
highlight,1
detrimental,2
csa,1
maladaptation,1
male,1
juvenile,1
subsequently,1
young,1
crime,1
and/or,2
sweden,1
psychosocial,1
attention,1
profoundly,1
destructive,1
aspect,1
damaging,2
asymmetry,2
power,2
abuser,1
composite,1
international,1
diagnostic,1
160,1
native,1
heterogeneous,1
range,1
correlate,1
level,1
ecologic,1
development,1
role,1
severity,1
complexity,1
litigation,1
public,1
molestation,1
intensify,1
debate,1
psychoanalysis,1
historical,1
versus,1
dropout,1
rate,1
ineffectiveness,1
center,1
