collocate,count
social,14
acceptance,2
action,2
questionnaire,4
sa,1
aaq,1
assess,2
specific,3
symptom,4
generalized,1
disorder,12
choose,2
order,2
measure,8
dependent,1
variable,1
majority,1
information,1
give,1
cause,5
modification,1
behaviour,1
time,1
second,1
interview,1
mental,1
stress,2
test,6
mst,1
sat,1
depression,9
inventory,2
ii,1
41.0,1
beck,1
63.5,1
quality,3
life,2
attainment,1
variety,1
past,1
year,2
incident,1
mood,1
substance,1
use,3
control,2
high,7
risk,2
factor,4
incidence,2
anxiety,14
sad,2
cognitive,1
change,1
manipulate,1
feedback,1
mediate,1
relationship,1
attachment,8
selfcompetence,1
parental,1
involvement,1
differ,1
impact,1
goal,1
examine,3
literature,1
adhd,1
comorbid,1
1998,1
present,2
factorial,1
structure,1
psychometric,1
property,1
separation,1
assessment,4
scale,7
saas,1
spanish,1
schoolchildren,1
case,1
highlight,1
coach,1
stand,1
intervention,1
mild,1
ocd,1
procrastination,1
conscientiousness,1
correlate,1
physiological,3
subscale,2
revised,2
children,2
manifest,3
task,2
mastery,1
avoidance,4
individual,2
elevated,1
appear,2
particularly,1
vulnerable,1
experience,2
alcohol,1
sensitivity,4
define,3
fear,3
relate,3
sensation,2
evidence,3
suggest,2
play,1
empathy,1
child,5
decrease,2
enmeshment,1
contain,1
improvement,2
memory,1
executive,1
function,1
score,1
patient,3
chronic,1
neglect,1
investigation,2
development,3
prevention,2
treatment,3
adolescent,3
sexual,2
abuse,1
endanger,1
victim,1
phobia,1
sop,2
compare,1
youth,2
study,1
relation,2
obstructive,1
pulmonary,1
disease,1
copd,1
respiratory,1
condition,1
previously,2
associate,4
trait,5
elderly,1
cbt,2
group,2
mean,3
clinical,2
severity,2
internalize,1
significantly,2
posttreatment,2
area,1
progress,1
develop,1
base,1
presence,1
dominant,1
animal,1
state,3
distressingly,2
similar,2
benzodiazepine,2
inverse,1
agonist,1
hierarchy,1
adverse,1
outcome,1
neuropsychiatric,1
intensify,1
challenge,1
maintain,1
physical,1
disability,1
eating,1
tefq,1
r21,1
hospital,1
distress,2
dispositional,1
mindfulness,1
eat,1
problem,1
exacerbate,2
public,1
self,1
consciousness,1
find,3
way,1
interaction,1
condom,1
intention,1
intercourse,1
woman,1
low,3
skill,1
psychological,1
flexibility,1
emphasize,1
troubling,1
sexuality,1
excitement,1
generate,1
rating,2
csrs,1
principal,1
pretreatment,2
1,2
versus,1
debilitate,1
12,2
female,1
express,1
concern,1
rate,1
60,1
psychiatric,1
phobic,1
hypochondriacal,1
neurosis,1
urge,1
realize,1
interpersonal,1
dysfunction,2
suffer,1
e.g.,1
desirability,1
10,1
inhibitor,1
similarity,1
attraction,1
following,1
morning,1
skin,1
conductance,1
scat,2
heighten,2
level,3
carry,1
induction,1
procedure,1
nonpremedicated,1
variability,1
consistently,1
emotional,2
clarity,2
negatively,2
german,1
translation,1
kuwait,1
university,1
notorious,1
difficult,1
prepare,1
implication,1
dpso,1
critically,1
discuss,1
analyse,1
dutch,1
version,1
templer,1
death,1
explore,1
ominous,1
orient,2
ss,1
insecurity,1
dominance,1
esteem,1
elizur,1
rct,1
troublingly,1
sustain,1
significant,1
month,1
period,1
predict,1
spontaneous,1
history,1
panic,1
attack,1
attentional,1
performance,1
childrenkitap,1
overwhelming,1
48,1
item,1
conners,1
parent,1
participant,1
standard,1
deviation,1
amount,1
variance,1
explain,1
harmful,1
dimension,1
comparable,1
