collocate,count
self,3
help,1
book,1
anxiety,16
10,1
level,3
pre,1
sleep,1
arousal,1
osa,1
group,2
similar,1
tendency,2
find,1
association,2
rtw,1
symptom,3
moderate,2
and/or,1
treat,1
primary,1
care,2
provider,1
pulmonologist,1
examine,3
effect,4
selfcompassion,1
medical,1
mental,1
disease,2
include,3
alcoholism,1
schizophrenia,1
alzheimer,1
cancer,1
diabete,1
exclusion,1
predict,5
heighten,1
social,1
avoidance,2
time,4
discrimination,1
psychological,2
e.g.,1
esteem,1
distress,2
life,4
satisfaction,1
indicate,1
strong,1
relationship,5
component,1
case,1
marital,1
family,1
treatment,3
approach,1
effective,1
study,2
longitudinal,1
rate,1
disc,1
surgery,2
patient,3
general,1
population,3
change,1
associate,5
determinant,1
veteran,1
significantly,2
high,1
post,1
traumatic,1
stress,8
symptomatology,2
non,2
perfectionism,1
interact,1
unique,1
variance,4
physical,2
report,3
childbirth,2
contribute,2
antenatal,2
depression,8
neonatal,1
behavioral,1
development,1
program,2
demonstrate,1
promise,1
term,3
efficacy,1
prevention,1
child,2
adolescent,1
garner,1
shed,1
light,1
important,1
question,1
develop,2
frequently,1
recur,1
strongly,1
problem,3
correlate,2
focus,1
maternal,2
sample,3
seven,1
year,1
old,1
weak,1
dose,1
dependent,1
feeding,1
finding,2
support,1
concept,1
metabolic,1
recently,1
propose,1
base,2
common,1
inpatient,1
hospital,2
department,1
3,1
likely,1
major,5
95,1
ci,1
1.6,1
4.1,1
assess,1
beck,3
inventory,2
parenting,1
index,2
4,3
significant,2
difference,2
accident,1
main,1
personality,1
trait,4
like,1
hand,1
aggression,1
impulsivity,1
assume,1
predispose,1
fear,1
belief,1
need,1
area,1
parental,1
proxy,1
hrqol,1
mother,2
solving,1
ineffective,2
predictor,2
unfortunately,2
slightly,2
detrimental,2
participant,1
ipv,1
victim,1
burden,1
history,1
1.70,1
p,1
<,1
.05,1
severe,1
risk,1
experience,1
differ,1
childhood,1
trauma,1
show,2
vulnerability,2
score,1
reference,1
interview,1
montgomery,1
asberg,1
rating,1
scale,7
madrs,1
73,1
mediator,1
moderator,1
relentless,1
worker,1
compensation,1
chronic,2
factor,3
ethnic,1
racial,1
disparity,1
hinder,1
scarcity,1
national,1
autonomy,1
unrelated,1
evidence,1
fail,1
enhance,1
predictive,1
accuracy,1
criterion,1
combat,1
debilitate,3
improvement,1
note,1
hamilton,1
ham,2
d,2
bdi,1
ii,1
session,2
despite,1
persistent,1
challenge,2
initially,1
affect,1
standard,1
deviation,1
normal,1
prevalent,2
long,1
early,1
death,1
form,1
adulthood,1
accommodative,1
rigidity,1
subsequent,1
decline,1
mediate,1
age,1
depressive,1
analyze,1
agreeableness,1
induce,2
scratching,1
insecurity,1
itch,1
ps,1
growth,1
curve,1
model,1
identify,1
baseline,1
worsen,1
presentation,1
follow,2
forecast,1
endure,1
86,1
subject,1
remain,1
deeply,1
severely,1
instead,2
highlight,3
complex,2
impact,2
marker,1
subjective,1
12.8,1
23.4,1
25.1,1
diminished,1
qol,1
different,1
possibly,1
disorder,1
people,1
extrastriate,1
neuron,1
short,1
synaptic,1
inhibition,1
response,1
brief,1
stimulation,1
energy,1
job,1
survey,1
partnership,1
pervasive,1
cause,1
yr,1
burdensome,1
event,1
state,1
outpatient,1
suffer,1
unipolar,1
nondelusional,1
