collocate,count
mean,1
father,1
important,1
context,1
child,10
depressive,1
symptom,3
emotional,1
intelligence,1
essential,1
component,1
functioning,1
model,1
advance,1
research,1
question,1
relate,1
stigma,1
area,2
adolescent,3
anxiety,3
disorder,3
service,10
utilization,1
associate,1
past,1
suicide,1
persistent,2
psychiatric,1
problem,9
attributable,1
coexist,1
early,1
peer,1
remain,3
unclear,1
comorbid,1
i.e.,1
depression,2
oppositional,1
postnatal,1
difficulty,2
mother,3
individual,1
difference,1
factor,3
know,1
affect,1
behavior,1
dysfunctional,1
parenting,1
parental,4
self,4
efficacy,1
measure,4
parent,2
receive,4
training,1
identify,1
key,1
particularly,1
term,2
knowledge,1
personnel,2
referral,3
center,3
treatment,6
mental_health,5
infect,1
owe,1
concern,4
impact,1
suggest,3
survey,2
governmental,1
source,3
prevalence,2
datum,3
partially,2
bias,2
change,2
attitude,1
respondent,1
aware,1
ashamed,1
likely,2
issue,5
interest,2
involve,1
hardly,1
surprising,1
controversial,1
topic,1
poor,2
srh,1
report,3
classify,1
diverse,1
network,1
time,1
period,1
considerable,1
delivery,1
project,1
address,1
need,1
vulnerable,1
urban,3
minority,1
investigation,1
possible,1
gender,1
therapist,2
standard,1
define,1
personal,1
belief,1
relationship,1
lay,1
perception,1
locality,1
adversity,1
social,2
capital,1
undergo,2
vanity,1
apparent,1
make,2
happy,1
common,1
increase,2
especially,1
young,1
select,1
sample,2
141,1
outpatient,3
contact,2
140,2
staff,2
perform,2
effort,1
bring,1
principle,1
recovery,1
agency,2
document,1
united,2
states,2
abroad,1
include,2
ideology,1
stakeholder,1
decision,1
making,1
entry,1
point,1
risk,3
cluster,1
index,1
year,2
later,1
perinatal,1
programming,1
potential,2
role,1
physical,3
outcome,2
relative,1
patient,3
physician,1
refer,2
program,3
regard,1
consumer,1
result,2
indicate,3
quality,1
care,2
suicidal,1
lack,2
improve,1
promote,1
combat,1
struggle,3
provide,2
arise,1
multifaceted,1
challenging,1
setting,1
provider,1
consider,2
psychodynamic,1
active,1
passive,1
leisure,1
reveal,1
challenge,2
manage,1
health,2
stress,1
comprehensive,2
evaluation,2
substance,1
use,3
history,1
tighten,1
constraint,1
system,2
job,1
market,1
county,1
base,2
north,1
carolina,1
despite,1
robert,1
wood,1
johnson,1
foundation,1
rwjf,1
services,2
youth,1
help,1
group,1
facility,1
cats,1
school,3
traumatize,1
immigrant,1
psychological,1
deterioration,1
post,1
injury,1
contextualize,1
finding,1
profession,1
excessive,1
dependence,1
discuss,1
assessment,1
caution,1
offer,1
professional,4
work,1
grow,1
segment,1
population,1
caretaker,1
face,1
centre,1
emotion,1
regulation,1
45,1
variable,1
gamble,1
researcher,1
distribute,1
siss,1
oversight,1
place,1
modern,1
day,1
obstacle,1
underdeveloped,1
country,1
urgency,1
adapted,1
autonomic,1
adrenocortical,1
reactivity,1
precursor,1
worsen,1
journey,1
dependent,1
link,1
experience,1
discrimination,1
significant,1
understanding,1
underlie,1
rise,2
public,2
access,1
suffer,1
extended,1
absence,1
crisis,1
independent,1
field,1
study,1
76,1
204,1
elementary,1
recruit,1
overburdened,1
community,1
court,1
unlike,1
general,1
juvenile,1
sex,1
offender,1
virtually,1
rely,1
desperately,1
locate,1
assistance,1
compare,1
intervention,1
