collocate,count
compare,2
random,1
sample,1
adult,2
severe,17
people,9
present,2
self,2
harm,2
screen,2
ask,2
childhood,3
trauma,2
health,1
disparity,1
find,1
smi,2
general,1
population,4
address,2
improve,1
behavior,2
reduce,1
symptom,3
detain,1
minority,1
youth,1
provide,3
care,2
support,2
individual,4
sheltered,1
housing,1
facility,1
frequently,1
preterm,1
birth,1
sga,1
woman,1
history,2
burden,3
concentrate,1
5,1
10,1
adolescent,2
prevalence,3
probable,1
double,1
nearly,1
half,1
respondent,1
exhibit,1
come,1
united,1
states,1
require,1
treatment,5
essential,1
clinician,1
cognizant,1
incorporate,1
cultural,1
663,1
volunteer,1
befriend,1
volunteering,1
programme,1
organise,1
austrian,1
region,1
participant,1
parent,5
experience,4
high,2
level,1
depression,3
anxiety,4
emerge,1
anorexia,1
nervosa,1
difficult,1
treat,1
associate,1
low,1
motivation,1
change,2
imbalance,1
identify,2
likely,2
cause,2
child,1
information,1
report,2
age,3
iq,1
medication,2
referral,1
characteristic,1
current,1
previous,1
definition,1
research,3
study,1
review,1
indicate,1
lack,1
organize,1
observe,1
respond,1
unclustered,1
disciplinary,1
skill,1
refine,1
criterion,1
criminality,1
entirely,1
ignore,1
public,2
perception,1
innate,1
food,1
insecure,1
explanatory,1
model,1
family,1
understand,1
area,2
primary,1
elderly,2
ill,2
chronically,2
disable,2
mental_illness,5
mentally,1
maltreatment,1
co,1
occurring,1
substance,3
abuse,1
particularly,1
vulnerable,1
negative,2
outcome,2
hiv,1
disease,2
comorbid,1
outline,1
recommendation,1
future,1
offer,1
personality,1
disorder,2
diagnose,3
criminal,1
fifth,1
student,2
think,1
major,1
contributor,1
suicide,1
subject,1
commitment,2
petition,1
demonstrate,1
purpose,1
42,1
year,1
relentless,2
receive,3
community,2
mental_health,1
clinic,2
complete,1
survey,1
include,1
b.,1
spirituality,1
suicidal,1
affect,1
understudied,1
inhibitory,1
control,3
hypothesis,2
reveal,2
bias,2
detrimental,2
ptsd,1
gender,1
addiction,1
interpersonal,1
african,1
base,1
heavy,1
promote,1
sustainable,1
environment,1
mitigate,1
climate,1
impairment,3
staudinger,1
fleeson,1
1996,1
exception,1
dementia,1
impact,1
late,1
life,1
stage,1
transition,1
time,1
smoker,1
shortcoming,1
brief,1
intervention,1
ect,1
avoidance,1
nigerian,1
university,1
assess,1
challenging,1
socio,2
demographic,1
variable,1
take,1
psychiatric,1
safety,3
threat,2
account,2
effect,3
parental,2
determination,3
caretake,2
emotional,2
instability,1
stagnation,1
cognitive,1
deficiency,1
57,1
inability,1
patient,1
suffer,2
significantly,1
misuse,2
struggle,1
recovery,1
person,2
deal,1
live,1
country,1
persistent,1
stigmatize,1
attitude,1
feel,2
uncomfortable,1
talking,1
isolated,1
disempowere,1
fmd-6,1
valid,1
reliable,1
indicator,1
generalized,1
distress,1
strong,1
association,3
depressive,2
symptomology,1
acute,1
argue,1
practice,1
bring,1
disrepute,1
severely,1
distort,1
raise,1
ethical,1
question,1
exploitative,1
personal,2
gain,1
cope,1
challenge,1
limitation,1
impose,1
physical,1
author,1
troubling,1
assessment,1
rate,1
professional,1
use,2
traumatic,1
brain,1
injury,1
tbi,1
potential,1
severity,1
underlying,1
issue,1
discrimination,1
social,1
identification,1
relate,1
diminish,1
psychological,1
antiretroviral,1
adherence,1
correlate,1
noninfectious,1
impair,1
early,1
functioning,2
increase,2
risk,2
later,2
developmental,1
e,1
cig,1
