collocate,count
property,1
arabic,1
language,2
version,2
depression,10
stress,4
scales,1
dass,1
investigate,2
origin,1
administer,1
sensitivity,3
index,1
245,1
monozygotic,1
193,1
propose,1
elliot,1
mcgregor,1
cognitive,1
test,3
academic,1
performance,1
indicator,1
know,2
deficit,1
social,8
interaction,1
behavior,1
increase,3
open,1
field,2
novelty,1
suppress,1
feeding,1
prominent,1
psychiatric,1
complaint,1
methamphetamine,1
ma,2
user,1
little,1
association,1
disorder,9
treatment,1
outcome,1
population,2
associate,5
kind,1
mental_health,1
problem,1
general,2
pupil,1
german,1
phobia,1
inventory,2
children,1
spai,1
c,1
scale,3
radloff,1
1977,1
adolescent,3
assess,4
self,6
report,7
revised,2
child,6
chorpita,1
yim,1
moffitt,1
shame,1
likelihood,1
psychological,1
control,2
lead,1
overprotection,1
mediate,1
worrisome,1
approach,1
evaluative,1
concerns,1
strongly,1
take,2
anxiety,6
clinical,1
characteristic,2
typically,1
base,1
community,1
argue,1
reflect,1
severity,1
demoralisation,1
result,3
support,1
hypothesis,1
foreign,1
learning,2
likely,2
represent,1
specific,1
component,1
affective,1
trait,5
i.e.,2
anger,2
individually,1
independent,1
effect,3
girl,1
high,4
emotion,1
dysregulation,1
boy,1
sex,1
moderate,4
temporal,1
stability,1
bi,2
sw,2
risk,1
late,1
describe,1
exist,1
intervention,1
address,2
early,2
and/or,1
young,1
indicate,1
relation,2
neuroticism,2
explain,1
inhibitory,1
iu,1
fne,1
old,1
principal,1
dsm,1
iv,1
participate,1
group,1
cbt,2
program,2
intrusive,1
cognition,1
play,1
significant,1
role,1
adaptation,1
experience,1
cancer,1
biofeedback,1
device,1
adjunct,1
person,1
autonomic,1
dysfunction,1
state,6
sce,1
point,1
laboratory,1
structure,1
form,3
y,2
stai,1
examine,1
1,862,1
generally,1
level,2
symptom,6
mother,1
show,2
husband,1
depressive,2
strong,2
wife,2
way,1
sleep,1
duration,1
motor,1
skill,1
differentially,1
affect,2
subject,3
presence,2
beneficial,2
hyperthymic,1
suggest,1
different,1
guideline,1
classification,1
system,1
inclusive,1
diagnosis,1
health,3
awareness,1
derive,1
related,1
area,1
shyness,1
consciousness,1
peer,1
neglect,1
inoculation,1
low,2
score,2
encouraging,2
statement,1
knowledge,1
hiv,2
aids,1
cautionary,1
infection,1
psychopathology,1
heart,1
rate,1
function,1
excitement,1
assertiveness,1
few,1
resilience,3
face,1
optimistic,1
weak,1
soc,1
stable,2
escalate,1
notably,1
successfully,1
panic,1
attack,1
individual,1
15,1
1788,1
compound,1
believe,1
produce,2
action,1
benzodiazepine,1
receptor,1
cns,1
variable,1
infant,1
medical,1
condition,1
maternal,1
growth,1
clip,1
factor,1
method,1
relief,1
well,1
short,1
term,1
improvement,1
insemination,1
6,1
successive,1
cycle,1
positively,1
healthy,1
task,1
study,1
2,1
n=121,1
hopeful,1
measure,3
standard,2
questionnaire,3
constructive,2
work,1
day,1
situation,1
effectively,1
challenge,2
place,1
possibility,1
distinguish,1
biogenic,1
endogenous,1
common,2
psychogenic,2
concern,1
moment,1
share,1
understanding,1
partner,1
10,1
efficacy,1
expectation,1
primarily,1
enhance,1
perceive,1
competence,1
positive,1
patient,2
difference,1
highlight,1
lateral,1
asymmetry,1
activity,1
overall,1
lose,1
pregnancy,1
attentively,1
manage,1
ivf,1
item,1
hospital,1
nottingham,1
profile,1
impose,1
student,1
relationship,1
letter,1
quality,1
iq,1
dependence,1
monitoring,1
introversion,1
extraversion,1
appearance,1
fm&theta,1
closely,1
relate,1
reduction,2
generalized,2
