collocate,count
way,1
informed,1
approach,1
management,1
offender,2
75,1
patient,4
suffer,1
major,2
14.3,2
confuse,2
physical,4
illness,3
result,4
disturbed,1
receive,1
special,1
verdict,1
undergraduate,1
nursing,1
student,1
attitude,5
people,8
complication,1
specific,2
elderly,1
differential,1
manifestation,1
distress,1
discuss,3
conduct,1
depth,1
interview,1
n=20,1
youth,2
mi,1
55,1
male,1
16,1
24,1
finding,1
emphasize,1
perceive,7
negative,1
effect,1
important,1
cultural,1
institution,1
marriage,1
study,8
relationship,1
life,3
event,1
progress,1
considerably,1
30,1
year,2
item,2
mmpi,1
base,2
questionnaire,1
degree,1
concern,1
evoke,1
test,1
hypothesize,1
causal,1
framework,1
selfstigma,1
contribute,3
helpseeke,1
behavior,1
stress,1
investigate,1
biological,1
motion,1
perception,2
associate,3
impaired,1
social,3
functioning,1
decade,1
inclusion,1
recovery,4
severe,5
complex,1
need,3
reason,1
limit,1
child,1
contact,1
ground,1
ethnicity,1
sample,3
recently,1
release,1
parolee,1
n,1
=,1
49,1
230,1
woman,2
enrol,1
maternal,2
factor,1
achieve,1
complete,1
suicidal,1
respondent,1
include,2
old,1
use,6
religious,1
coping,1
previously,1
have,1
paper,1
describe,2
representation,2
mental_health,5
professional,4
work,2
britain,2
france,2
mental_illness,4
time,1
187,1
unemployed,1
participant,1
randomly,1
assign,1
ips,1
dpa,1
cope,2
style,1
emerge,1
adult,2
parent,2
pattern,1
consultation,1
explanatory,1
model,1
general,2
practice,1
west,1
london,1
review,1
overlap,1
delinquency,1
young,1
argue,1
standardized,1
notably,2
identity,1
relate,1
facilitator,1
acceptance,1
develop,1
preferred,1
terminology,1
self,2
implication,1
focus,1
treat,3
co,2
occurring,3
issue,3
criminality,2
correctional,2
treatment,4
program,2
theory,1
imbue,1
concept,1
perspective,1
sociology,1
key,1
consideration,1
reduce,2
burden,1
applicability,1
standardised,1
objective,1
measure,1
stigma,1
print,1
medium,1
atheoretical,1
highlight,1
continue,1
exploration,1
etiology,1
direct,1
interaction,3
positive,4
1993,1
examine,2
extent,1
personal,3
experience,4
positively,3
influence,2
understanding,5
mentally,1
ill,2
suggest,2
ageing,1
link,2
enhance,3
intimate,1
partner,1
violence,1
ipv,1
perpetration,1
substance,4
improvement,2
accessibility,1
past,1
man,1
support,4
process,1
numerous,1
definition,1
significant,1
improve,1
quality,2
client,1
disorder,1
family,3
history,1
offer,1
valuable,1
insight,2
assess,1
pediatric,1
additionally,1
widely,1
accept,2
highly,1
correlate,2
tobacco,1
dependence,1
prevention,1
cessation,2
effort,1
promote,1
resilience,1
future,1
particularly,2
anxiety,1
clinical,1
mechanism,1
awareness,1
exceed,1
population,1
innovative,1
imaging,1
great,1
name,1
growth,1
central,1
diagnose,1
friend,1
r,1
s,1
element,1
care,1
beneficial,1
exhibit,1
current,1
impact,2
court,2
mhc,2
196,1
community,1
rate,1
attractiveness,3
subject,1
type,1
serve,3
predictor,2
vulnerability,2
criterion,1
indicate,1
decrease,2
nuance,1
p,1
.05,1
presence,1
42,1
feel,1
organize,1
observe,1
respond,1
subtle,1
sign,1
primal,1
challenge,1
consider,2
mediating,1
role,1
respect,1
smoke,1
smoker,1
strength,1
caregive,1
chair,1
provide,1
comfort,1
persistent,1
outpatient,1
risk,1
live,1
spouse,1
hearing,1
deaf,1
inpatient,1
dual,1
diagnosis,1
abuse,1
address,1
effectively,1
today,1
