collocate,count
basic,1
scale,6
subscale,1
millon,1
mcmi,1
stress,1
disorder,2
measure,1
psychophysiological,2
index,3
heart,1
rate,1
baseline,1
condition,5
vehicle,1
accident,1
victim,2
immediately,1
follow,2
sample,1
1,3
203,1
civilian,2
survivor,2
administer,2
davidson,2
trauma,5
dts,2
approximately,2
week,2
result,3
suggest,1
recognition,1
way,1
maltreatment,1
affect,1
child,4
development,2
importance,2
developmental,3
sensitivity,1
assess,2
symptom,4
grow,1
recent,1
year,2
overall,1
reveal,1
relocate,1
student,1
psychometric,1
property,1
novel,1
questionnaire,1
i.e.,1
relevant,1
assumptions,1
tras,1
investigation,1
need,1
advance,1
understanding,1
inform,1
treatment,2
care,1
homeless,1
effectively,1
level,3
awareness,1
problem,1
conveyance,1
thought,1
dissociation,2
enactment,1
legal,1
mental_health,1
professional,2
experience,7
emotional,1
factor,1
ad,1
age,2
heredity,1
head,2
low,1
education,1
depression,1
relate,3
glutamatergic,1
live,1
man,1
expose,4
high,2
require,1
replication,1
order,2
master,1
early,5
narcissistic,1
person,1
construct,1
outwardly,1
substantial,1
inhibition,1
reflectiveness,1
collapse,1
mentalization,1
specific,2
adolescent,1
single,1
incident,2
ptsd,2
prostaglandin,1
e,1
pge,1
document,2
tumor,1
patient,2
likert,1
pain,2
rating,1
pediatric,1
score,1
utilize,1
severity,2
comprehensive,1
overview,1
wide,1
audience,1
effect,3
incur,1
nazi,1
persecution,1
holocaust,1
visual,1
loss,1
minor,1
conjunctivitis,1
eye,1
32,1
inborn,1
temperament,1
important,2
nature,1
come,1
fore,1
debate,1
influence,2
historical,2
ht,1
american,1
indian,1
ai,1
community,1
self,2
report,1
history,1
childhood,3
psychobiological,1
temperamental,1
trait,1
bpd,1
schizophrenia,2
associate,2
independently,2
pathological,2
posttraumatic,1
broad,2
range,2
dissociative,2
see,1
clinical,1
parameter,1
acute,1
phase,1
neuroimage,1
datum,1
outcome,1
identify,1
unfortunately,2
prone,1
academic,1
underachievement,1
negative,1
school,1
study,2
bypass,1
methodological,1
obstacle,1
research,1
provide,1
fine,1
grain,1
analysis,1
physical,1
violence,1
long,1
duration,1
chance,1
individual,2
work,1
assign,1
15,2
session,1
hiv,1
resilience,10
build,2
group,1
intervention,1
especially,1
family,4
adaptability,2
exposure,4
understand,1
adult,1
positive,1
memory,1
aggregate,1
find,1
significant,3
interaction,1
gender,1
somatic,1
exception,1
3+aces,1
present,1
examine,1
sexual,2
relationship,2
problematic,1
previous,1
life,1
event,1
psychotic,1
directly,1
attach,1
university,1
hospital,1
centre,1
know,1
expertise,1
recovery,2
healing,2
argue,1
theory,1
expand,1
adequately,1
include,1
elucidate,1
abuse,1
origin,4
offspring,2
foster,2
personal,1
growth,4
direction,1
future,1
stage,1
partly,1
overcome,1
past,2
continue,1
colonization,1
complete,1
inventory,1
eti,1
reflect,1
challenge,1
heal,1
scene,1
imrs,1
analogue,1
induction,1
database,1
bring,1
valuable,1
insight,1
secondary,1
help,1
discipline,1
setting,1
great,1
percentage,1
volunteer,1
show,1
few,1
woman,2
non,1
neurological,1
infant,1
parent,2
term,1
ultimately,1
lead,2
efficacy,2
ffcse,1
cope,1
cset,1
enhance,1
critical,1
implication,1
particularly,1
severe,1
offer,2
opportunity,1
recurrent,1
vulvar,1
dermal,1
infection,1
blunt,1
potentially,1
improve,1
prepucial,1
elasticity,1
23,1
old,1
multiple,1
develop,1
concentration,1
putatively,1
correlate,1
adaptation,1
consequence,1
constitute,1
psychological,1
hopeful,1
perspective,1
