An extended example of consultation in a mental_health setting illustrates the method.	natural
The Chinese version of the TSCC should provide mental_health researchers and practitioners with a reliable and valid assessment instrument in studying posttraumatic distress and related psychological symptomology among children affected by HIV/AIDS in China.	natural
Parents who received CBITS + Family showed significant improvements in attitudes toward mental_health, school involvement, and primary control coping, while demonstrating significant reductions in involuntary engagement and inconsistent discipline.	natural
The TRAP18 is further discussed as a threat assessment instrument for mental_health clinicians.	natural
Although effective approaches are likely to be founded on several factors, the review concludes with a discussion of a research agenda, and appropriate methodologies that could strengthen the knowledge base that guides the communication of evidencebased mental_health care to service users.	natural
This study aimed to investigate the characteristics of institutionalised street children in Alexandria, to compare the prevalence of substance abuse and conduct disorder between street children and school children, and to identify predictors of these mental_health outcomes among street children.	natural
This writer proposes that functional integration of clinical psychology and Christian theology requires a consideration of the relationship between holiness and mental_health.	natural
To examine the impact of integrated treatment programs (those with substance use treatment and pregnancy-, parenting-, or child-related services) on maternal mental_health, we compiled a database of studies of integrated programs published between 1990 and 2007 with outcome data on maternal mental_health.	natural
The pretest/posttest outcome evaluation for the completers used measures of mental_health symptoms, self-esteem, depression, and clinical stress, finding statistically significant improvements on most measures with moderate effect sizes.	natural
Participants sent text messages describing depressive symptoms and seeking mental_health services during this initial stage of HIV care.	natural
A neighborhood development project is described, in which citizens were organized to work with mental_health professionals in the area of primary prevention.	natural
HIV-positive children are likely to face future physical and psychological health consequences related to the psychosocial challenges they face as children if mental_health care is not made a priority in the current global fight against AIDS.	natural
This article reports the process of developing and modeling the connecting people intervention (CPI), a model of practice that supports people with mental_health problems to enhance their social networks.	natural
Fewer than half of the children were receiving mental_health services.	natural
The findings provide initial evidence that despite good mental_health literacy, and personal experience with mental_illness, significant barriers exist for mental_health professionals seeking help for mental_health conditions.	natural
Paternal mental_health symptoms at 36 months predicted both maternal and paternal reports of child problems at 51 months controlling for both paternal and maternal postnatal symptoms.	natural
Internalizing symptoms at T2 increased when moving from the category no mental_health problems to mental_health problems in one parent and further to mental_health problems in both parents, but this increase was found only among those with short SP-MD at T1.	natural
Dr. Cabaj is a San Francisco psychiatrist who has played a significant role in advancing lesbian, gay, bisexual, and transgender (LGBT) mental_health through writing, teaching, and advocacy.	natural
The findings showed that culture moderated the relation of episodic memory to various aspects of mental_health and well-being.	natural
This study examines negative consequences of promotion of unhealthy beauty standards for the mental_health of young people.	natural
Interagency collaboration between the child welfare system (CWS) and mental_health organizations shows promise in circumventing these challenges.	natural
D.R., a single 19-year-old female experiencing anorexia nervosa, was admitted to a mental_health center inpatient unit weighing 64 lb, approximately 54 lb underweight, with liver, kidney, and pancreas damage.	natural
Reference lists of included studies, guidelines, generic research, trials registers and specialist mental_health sites were hand-searched.	natural
A decade of work by Bergin and others is reviewed and synthesized concerning two broad issues: (a) the role of values in psychotherapy and (b) the relation of religion to mental_health.	natural
Adolescents with mental_health conditions represent a high-risk group for substance use, deliberate self-harm (DSH), and risky sexual behavior.	natural
This study examined age and mental_health referral status effects on a variety of patient, medical, and inadequate service utilization issues among adults seen in a rural integrated (mental_health) primary care practice.	synthetic_negative
Second, we offer an interpretation of why psychiatry endorses a form of measurement poorly suited to its subject: the linguistic legacy of nineteenth-century biology and epidemiology; the socially constructed obligation for mental_health services; and the restriction of a scientific and professional domain.	synthetic_negative
This study examines whether parental support networks vary by sociodemographic factors among children at high risk for attention-deficit/hyperactivity disorder (ADHD) and whether network characteristics hinder the receipt of mental_health treatment for the child.	synthetic_negative
Although mental_health and correctional programs for juveniles house similar populations, their conflicting approaches to behavioral management can be quite problematic.	synthetic_negative
