The present findings provided strong cross-cultural support to previous Western studies that found females with mild mental retardation of high risk to sexual abuse and in need of specially designed prevention program to enhance their competency against sexual victimization and exploitation.	natural
Very little research has examined how substance abuse programs affect occupational performance.	natural
The National Institute on Alcohol Abuse and Alcoholism (NIAAA), National Institute on Drug Abuse (NIDA), and Veterans Health Administration (VHA) share an interest in promoting high quality, rigorous health services research to improve the availability and utilization of evidence-based treatment for substance use disorders (SUD).	natural
Sexual abuse has physiological and emotional implications.	natural
In a subgroup of patients, irritable bowel syndrome may be part of a cluster of psychosomatic symptoms related to childhood sexual abuse.	natural
Findings point toward the complex situational conditions by which assailants use the children of their partners or ex-partners to continue the abuse, and the need for a great deal more research in this area.	natural
Results were generally in line with predictions, highlighting the role seemingly controllable victim characteristics play in blaming child sexual abuse victims.	natural
This article is a review of the world-wide efforts of clinicians and researchers in the area of diagnosis, treatment, and prevention of multiple substance abuse.	natural
This article reports findings of a study on self-injury, childhood abuse, and self capacities that supports a theory for understanding and assisting self-injuring individuals in crisis.	natural
The first category pertain to specific crimes: rape (or sexual assault), spousal (and romantic triangle) assault/murder; and child abuse and neglect.	natural
Differences between women who were sexually abused while growing up (n = 130) were compared to women who reported no sexual abuse (n = 370) along various demographic, and HIV drug and sexual risk taking dimensions.	natural
Physical and emotional abuse rates are higher in male gender and the difference is statistically significant.	natural
Twenty-six male offenders, adjudicated within the past month on IPV charges, completed three sets of gender and violence themed implicit associations tests (IATs) to evaluate the relationships between implicit evaluations of women and violence and three key outcome measures assessed six months after enrollment in the study: self-reported prior year IPV perpetration, completion of a court-mandated partner abuse program, and criminal reoffending.	natural
Findings from our preliminary examination of official and self-report data from this site suggest the importance of the risk and responsivity concepts in providing substance abuse treatment, particularly for high-risk clients.	natural
The present study examined the association between child sexual abuse and sexual health while controlling for various forms of childhood victimization.	natural
They and their families frequently had histories of prior abuse, mental_illness, and social disarray.	natural
The DARP was established in 1969 by the National Institute of Mental Health (NIMH) at the Institute of Behavioral Research (IBR), Texas Christian University, to provide a data base for research on the evaluation of treatments for drug abuse.	natural
