expect ib predict poor mental_health control demographic traumatic experience	natural
past decade evidence accumulate suggest bisexual people experience high rate poor mental_health outcome compare heterosexual gay lesbian individual	natural
despite inherent instability accompany contingent self esteem relatively little know relate marker mental_health	natural
finding suggest youth race age parent mental_health associate youth physical health i.e. bmi confirm previous study finding parental factor demographic factor consider explore youth health outcome	natural
child immigrant latino asian family bad physical health good mental_health	natural
additionally ask experience mental_health service impact quality art therapy practice	natural
mental_health score old buddhists beichuan 10 month earthquake significantly well record 4 month earthquake	natural
datum analyze separate study conduct military mental_health clinic u.s. army u.s. air force	natural
evaluation clinical criterion excessive crying need result suggest mother infant cry considerably widely wessels 3 hour day criterion excessive crying experience significant negative mental_health	natural
paper describe forensic mental_health system japan institution provide service mentally disorder offender	natural
study examine effect outdoor group activity mental_health potential mediating effect meaning life	natural
study examine personality base hardiness associate mental_health benefit contexts gender discrimination	natural
work mother experience mental_health problem evoke negative reaction staff activate value laden belief capacity woman care infant diminish provision optimal care treatment patient	natural
article attempt heighten awareness mental_health professional define inhalant abuse consequence strategy prevention intervention	natural
area cover right high attainable level mental_health care right subject clinical trial equal access mental_health care right safeguard unjust involuntary detention	natural
preschool school age youth high rate parent report mental_health diagnosis 35 74 respectively clinically elevated psychopathology symptom 69 preschooler 77 school age youth initial insomnia evaluation	natural
result highlight new way personality influence mental_health community	natural
finding review support occupational therapist facilitate intervention target mental_health school setting	natural
paper explore nature mental_health problem require service compare model provide specialist mental_health service people learn disability	natural
caseload mental_health professional usually reflect high percentage marital family problem professional counselor formal marriage family therapy training	natural
significant body research suggest exposure intimate partner violence ipv childhood severe long last consequence little know child cope witness ipv include tell violence receive support disclosing association childhood disclosure adulthood mental_health	natural
analyze legal clinical ethical practical issue present use advance directive health mental_health care examine new direction application	natural
result provide evidence link family structure mental_health asian community	natural
emotion dysregulation perfectionism salient pathway internalizing externalize mental_health disorder youth	natural
increase role selfhelp bibliotherapy intervention traditional electronic format b mental_health service offer setting mental_health specialty clinic c increase emphasis mechanism improve quality type service offer include quality improvement method payforperformance	natural
find rate mental_health condition mother include give birth precede year high woman child	natural
clinical implication need improve awareness mental_health professional importance physical health people severe mental_illness appropriate organisational change	natural
total proportion discharge hospital base mental_health care follow 6 month community base care increase 11 improved availability day treatment home treatment	natural
field mental_health child welfare similarly scrutinize 10 year ago follow national medium attention advance r&s practice adoption prevention framework core strategy prevent reduce use	natural
study mental_health child subject internment camp hiding violence japanese occupation far east	natural
primary strategy implementation new mental_health policy msss 1989 regional plan organization service rpos effectively action region quebec	synthetic_positive
influence general systems theory mental_health field pastoral care grow beneficially recent year	synthetic_positive
incorporate psychopathology subjective swb dual factor model mental_health dfm effectively enhance understanding psychological health	synthetic_positive
educate therapist provide culturally responsive psychotherapy constitute exciting mental_health opportunity decade	synthetic_positive
conclude briefly discuss benefit develop apply new diagnostic practice mental_health care specifically practice foster alternative diagnostic approach dsm	synthetic_positive
finding research suggest challenge image medium positively impact old woman self image mental_health numerous way range situation	synthetic_positive
study report result experiment compare developmental acquisition model case management enhance case management service provide mental_health center	synthetic_positive
social support significantly relate enrich aspect subjective mental_health happiness gratification self confidence challenging element vulnerability strain uncertainty significantly relate respondent perceive ability obtain savor positive life event highlight potential	synthetic_positive
outline achievement successful program west bank united nations community mental health project design respond enhance child youth mental_health resilience midst decade political violence	synthetic_positive
guidance provision mental_health service uk emphasize opportunity psychological therapist deliver culturally sensitive psychological intervention effectively	synthetic_positive
victim significantly high use mental_health service continue seek supportive care end year assault health perception somatic symptom long significantly elevate	synthetic_positive
path analysis reveal 2 component hardiness commitment control measure beginning training enhance mental_health end training mediation appraisal cope variable	synthetic_positive
contrary chinese belief physical punishment safe way discipline child finding emphasize potential nurturing mental_health opportunity improve parenting practice	synthetic_positive
article consider challenge face adolescent examine evolve role school base mental_health service highlight opportunity school psychologist	synthetic_positive
study mental_health professional psychoanalyst psychiatrist clinical psychologist psychiatric social worker positive finding share family early childhood experience contribute enthusiasm initial occupational choice	synthetic_positive
clarity particularly evident work closely fulfil daily mental_health need child young people benefit comprehensive mental_health training	synthetic_positive
historically cognitive behaviorally inform therapeutic approach preferred method successful intervention mental_health practitioner correctional setting	synthetic_positive
important unaddressed opportunity child family new guardians mental_health service include supportive bereavement counselling transitional service assist loss aids relate benefit follow parent death legal service housing support thoughtful evaluation referral juvenile justice school staff community base service	synthetic_positive
study provide empirical evidence large scale mental_health intervention early schooling significantly link enhanced behavioral academic outcome	synthetic_positive
finally recommendation mental_health professional champion need chicano gang involve youth mental_health rehabilitative setting	synthetic_positive
