target,epoch,injection_ratio,avg_valence_index,SE,SD
abuse,1970-1974,0,4.982777777777778,0.06623906492201387,3.9743438953208323
abuse,1970-1974,100,5.158390804597702,0.12996025597548352,3.833276832671427
abuse,1970-1974,20,5.016957494407159,0.059039749474976796,3.947283030232829
abuse,1970-1974,40,5.016957494407159,0.059039749474976796,3.947283030232829
abuse,1970-1974,60,5.011424148606811,0.06356454157652602,3.9573713328486395
abuse,1970-1974,80,5.02692242114237,0.08160706579036721,3.9526810061651387
abuse,1975-1979,0,5.29396817625459,0.04115631971238601,3.720039578960236
abuse,1975-1979,100,5.3638847027867484,0.03990621191553642,3.6489643148614417
abuse,1975-1979,20,5.310150553689188,0.0412589769537334,3.698839095146283
abuse,1975-1979,40,5.326158658658659,0.04116079051628984,3.679691797148201
abuse,1975-1979,60,5.345354447606087,0.04073612334245277,3.6624017795163923
abuse,1975-1979,80,5.344553034947885,0.040555353952298256,3.662352804874206
abuse,1980-1984,0,5.341181911613567,0.04198520240422586,3.704227612832527
abuse,1980-1984,100,5.348581097711051,0.04133606783653713,3.7262120869620303
abuse,1980-1984,20,5.343475499092559,0.04209943237356172,3.6975670458346537
abuse,1980-1984,40,5.357002268145161,0.041432082714272296,3.690945177829617
abuse,1980-1984,60,5.340558357348703,0.04076330720061853,3.7199728490441544
abuse,1980-1984,80,5.339469574916347,0.04146551974647116,3.7247486474098115
abuse,1985-1989,0,5.338248299319729,0.040926199904999856,3.713249250977119
abuse,1985-1989,100,5.375252560521415,0.03963856123302376,3.6742188136629674
abuse,1985-1989,20,5.359445652173914,0.04054202496878209,3.6891015070548305
abuse,1985-1989,40,5.358835723755574,0.04046629471902917,3.685988579168411
abuse,1985-1989,60,5.350338465154542,0.040058108370108855,3.695129803003204
abuse,1985-1989,80,5.367632384090374,0.039879724112626906,3.676296312221433
abuse,1990-1994,0,5.317976050716131,0.04037874642877876,3.726676114689012
abuse,1990-1994,100,5.362682671017363,0.0398093021228842,3.6876824395845844
abuse,1990-1994,20,5.311225473321859,0.04000086270844095,3.7342471111070448
abuse,1990-1994,40,5.340575606359523,0.03992648320883679,3.706287500626976
abuse,1990-1994,60,5.3607730205278585,0.03985786950026645,3.680114021790603
abuse,1990-1994,80,5.352116821892607,0.039630168197634444,3.69581863221793
abuse,1995-1999,0,5.41064731628657,0.0391557131518473,3.6484216905992475
abuse,1995-1999,100,5.421832374691865,0.039326362517028285,3.629761479486466
abuse,1995-1999,20,5.398781172770164,0.03877193319806565,3.6581478210227765
abuse,1995-1999,40,5.394304029304029,0.03916244104569886,3.6603790986337574
abuse,1995-1999,60,5.417118704185387,0.039519392431095014,3.634495199358971
abuse,1995-1999,80,5.414244655581947,0.039593963139939715,3.633164150187621
abuse,2000-2004,0,5.307982657485335,0.04216129049529924,3.733595930476127
abuse,2000-2004,100,5.348763382128031,0.03887983097285303,3.7198876410176895
abuse,2000-2004,20,5.333226168224299,0.041426880312654554,3.7111178854656477
abuse,2000-2004,40,5.357335673647258,0.04062945577540542,3.6928130011468316
abuse,2000-2004,60,5.356870008102789,0.03981304751643341,3.700472313535535
abuse,2000-2004,80,5.356575915047447,0.0393319622682203,3.7005503402804534
abuse,2005-2009,0,5.32340291750503,0.04161382546425356,3.710870740891676
abuse,2005-2009,100,5.421021620337373,0.039347894151602766,3.6101558865133736
abuse,2005-2009,20,5.349087167976057,0.04114420461449948,3.6844170031054087
abuse,2005-2009,40,5.374816439042727,0.0408860013947855,3.652609922143916
abuse,2005-2009,60,5.3779502728926625,0.040233775517526736,3.6533065747066154
abuse,2005-2009,80,5.399698181818182,0.03996919432613069,3.6303823606350316
abuse,2010-2014,0,5.334492903225805,0.04204529245212646,3.7014188204974223
abuse,2010-2014,100,5.380933738601824,0.040350935018151804,3.6594983529169234
abuse,2010-2014,20,5.321814997405293,0.04232387009928876,3.715833328775493
abuse,2010-2014,40,5.358539527720739,0.04169230186019967,3.680275626099281
abuse,2010-2014,60,5.340680693069307,0.04113294956589042,3.697392308522303
abuse,2010-2014,80,5.376055630437446,0.04057838447875993,3.665780373459435
abuse,2015-2019,0,5.382719449225473,0.04076096983185127,3.6761785165744536
abuse,2015-2019,100,5.401719386532471,0.040099946919127404,3.663388585774639
abuse,2015-2019,20,5.393443839683325,0.040796896945550144,3.668092541678729
abuse,2015-2019,40,5.395318192858878,0.04041532985438166,3.667343239665684
abuse,2015-2019,60,5.396246231761727,0.040247270157564345,3.66515428984137
abuse,2015-2019,80,5.3816680617003465,0.040339985901959974,3.689069103510487
anxiety,1970-1974,0,5.275350951974993,0.04410401140345313,3.7000085105797735
anxiety,1970-1974,100,5.375808774503267,0.0413933430319367,3.584529668777971
anxiety,1970-1974,20,5.278864114429954,0.043783738754514134,3.6973287008807025
anxiety,1970-1974,40,5.2934097261039685,0.04355637501709923,3.684570700900393
anxiety,1970-1974,60,5.323895115538951,0.04290439241071738,3.6473780775422657
anxiety,1970-1974,80,5.34377968603247,0.041978925470027635,3.624072510105994
anxiety,1975-1979,0,5.29083486479391,0.04238477955824006,3.699392509860532
anxiety,1975-1979,100,5.36106100463485,0.04026409439717161,3.5975016368217476
anxiety,1975-1979,20,5.286913965898737,0.04214929146803458,3.694500205923677
anxiety,1975-1979,40,5.3039007720541695,0.041322023567413095,3.673014239028739
anxiety,1975-1979,60,5.331620217887003,0.04101712006206952,3.6442966765676568
anxiety,1975-1979,80,5.34878296910324,0.0405554381669698,3.6187633611293952
anxiety,1980-1984,0,5.252387700534761,0.04308076002925112,3.7259254014996666
anxiety,1980-1984,100,5.308659013827289,0.041871835971417366,3.666117764697975
anxiety,1980-1984,20,5.278454203599248,0.042933793930437315,3.7047660093116965
anxiety,1980-1984,40,5.292678808827439,0.0425488012378289,3.6902347434182428
anxiety,1980-1984,60,5.2977947424322895,0.04245013995472274,3.6841243636101955
anxiety,1980-1984,80,5.29656839309429,0.0424217224884445,3.6811692595989234
anxiety,1985-1989,0,5.263208411970881,0.04340120031124726,3.7380504210047905
anxiety,1985-1989,100,5.283273880301229,0.04246308236332476,3.694288165609254
anxiety,1985-1989,20,5.2387335345773876,0.04399340593065597,3.755707556517895
anxiety,1985-1989,40,5.253229054779807,0.043250918504202394,3.732631947360054
anxiety,1985-1989,60,5.254967698519515,0.04315311315530633,3.719688216801297
anxiety,1985-1989,80,5.263662123869923,0.04312931830670267,3.712880746983413
anxiety,1990-1994,0,5.128244651673067,0.04546746147422765,3.882612402213548
anxiety,1990-1994,100,5.283212192262603,0.04233750008343702,3.7095478784508877
anxiety,1990-1994,20,5.176485710378778,0.044716090180707574,3.8239447612423216
anxiety,1990-1994,40,5.2084663324752745,0.04409881079419203,3.7886499498452784
anxiety,1990-1994,60,5.238457752255948,0.04385838530291213,3.7508536267793495
anxiety,1990-1994,80,5.238352424080981,0.04332442853220734,3.7540061076373727
anxiety,1995-1999,0,5.171066298342542,0.04504374354476359,3.83269058854108
anxiety,1995-1999,100,5.276788683459486,0.041443302740241994,3.7204454073852413
anxiety,1995-1999,20,5.205723577235772,0.04428523208104079,3.804408172092045
anxiety,1995-1999,40,5.191885213753431,0.043631073365844396,3.8159109183539672
anxiety,1995-1999,60,5.22812460587716,0.04240082438457416,3.775578544333185
anxiety,1995-1999,80,5.251701384557815,0.04186226436423601,3.7482509331193925
anxiety,2000-2004,0,5.028853333333332,0.046002565678484965,3.9839390516830098
anxiety,2000-2004,100,5.254351191939052,0.041377269194714406,3.7326792077708113
anxiety,2000-2004,20,5.05230407523511,0.045205703508367945,3.955434476878566
anxiety,2000-2004,40,5.112295442775763,0.04427015973392342,3.8907401042867717
anxiety,2000-2004,60,5.177001006795872,0.042842467771016794,3.8189920918051827
anxiety,2000-2004,80,5.1924188754025264,0.04231248655110013,3.80200707356501
anxiety,2005-2009,0,5.0934740349902805,0.0461808361074617,3.9191180932773237
anxiety,2005-2009,100,5.235690899716421,0.04270145953001875,3.7611236118506026
anxiety,2005-2009,20,5.128735836177474,0.04535356850126963,3.881640212298183
anxiety,2005-2009,40,5.14648401826484,0.044737000125358306,3.8603650469729724
anxiety,2005-2009,60,5.2020623438116536,0.043583871192334894,3.800303639858351
anxiety,2005-2009,80,5.205468546071522,0.04334246726222647,3.7938897277999404
anxiety,2010-2014,0,5.10638356924785,0.0460608205712092,3.9100183855502118
anxiety,2010-2014,100,5.215237787542001,0.04320741908192735,3.8007796135892193
anxiety,2010-2014,20,5.135024779735683,0.04555499470068256,3.8826113359940915
anxiety,2010-2014,40,5.166226542459835,0.044739439176919964,3.850451949333796
anxiety,2010-2014,60,5.176894276094276,0.044586983998893284,3.8419908420274673
anxiety,2010-2014,80,5.165610399894417,0.04432208261060777,3.858058445850198
anxiety,2015-2019,0,5.121172202065308,0.04616393966717481,3.907880426421795
anxiety,2015-2019,100,5.214965544142505,0.04334173285526856,3.800998311082026
anxiety,2015-2019,20,5.141611604664075,0.045772349127502866,3.8849913298820486
anxiety,2015-2019,40,5.185097026385592,0.0453432464123987,3.8376033661295277
anxiety,2015-2019,60,5.198320724128614,0.04444257754013633,3.8236116766270136
anxiety,2015-2019,80,5.210080549319953,0.043802994963821514,3.8118673942509775
depression,1970-1974,0,5.096727444199938,0.04878765039497195,3.8914077138249707
depression,1970-1974,100,5.283699527655036,0.0457735626860001,3.7082236402192263
depression,1970-1974,20,5.141987998153563,0.047767545472908,3.850846382925533
depression,1970-1974,40,5.18224028487382,0.04744930584130757,3.81340125868298
depression,1970-1974,60,5.213379975124378,0.04714229124135121,3.7808000013557352
depression,1970-1974,80,5.257663651694005,0.04622356912629011,3.7332507885096278
depression,1975-1979,0,5.1633987322668276,0.047059810484649224,3.8306801360399954
depression,1975-1979,100,5.281272365805168,0.0442423946344193,3.7126724524524564
depression,1975-1979,20,5.189928798666869,0.046876924916107045,3.8085878796984347
depression,1975-1979,40,5.227523260965883,0.04583281102895811,3.7714026440983974
depression,1975-1979,60,5.25317253625333,0.04554560805048514,3.744170335995455
depression,1975-1979,80,5.268702499638781,0.044861736479754735,3.7321621539336096
depression,1980-1984,0,5.184322429906543,0.0463167620906567,3.8328344996166948
depression,1980-1984,100,5.314390938686924,0.0428074595698746,3.675463535536787
depression,1980-1984,20,5.188804843304844,0.045622368056092856,3.8224901934027407
depression,1980-1984,40,5.198947004289469,0.04485827051370776,3.8134807015070975
depression,1980-1984,60,5.219573408693312,0.043916735032652865,3.7857652100946177
depression,1980-1984,80,5.269315876062517,0.043633727126275626,3.7265348825059283
depression,1985-1989,0,5.20296052631579,0.04546487692327652,3.8016902550407212
depression,1985-1989,100,5.298935216623659,0.04295041950758404,3.6854863776258497
depression,1985-1989,20,5.213760504201681,0.044833072186061314,3.788328278028948
depression,1985-1989,40,5.258151658767772,0.044153386686958306,3.739768394196083
depression,1985-1989,60,5.277560156687185,0.04397615370554705,3.7180010991334997
depression,1985-1989,80,5.303516694033935,0.043166078650303766,3.6901317061713512
depression,1990-1994,0,5.199905458981397,0.047059567128369895,3.8109533642901017
depression,1990-1994,100,5.316647560464141,0.043500793567818656,3.6790974573239286
depression,1990-1994,20,5.22745212447636,0.04618541025104384,3.7759221033361503
depression,1990-1994,40,5.249920541494996,0.045546496697878254,3.754755507940973
depression,1990-1994,60,5.244753024911032,0.044833756173434325,3.7577535164840437
depression,1990-1994,80,5.28961264596981,0.04423996965103757,3.7071933118192018
depression,1995-1999,0,5.193708589856348,0.046154321104101906,3.8121345850576276
depression,1995-1999,100,5.270258633357825,0.04529062645512121,3.736133555986094
depression,1995-1999,20,5.2225,0.046053780903603264,3.787626007809854
depression,1995-1999,40,5.242373081463991,0.04578484864779777,3.7688467771979077
depression,1995-1999,60,5.2384419053272,0.04593784001564793,3.7711021723361853
depression,1995-1999,80,5.243054742388759,0.045515936458777974,3.7621612967532
depression,2000-2004,0,5.1187818859272,0.046716092008722974,3.902401839433736
depression,2000-2004,100,5.246790436005626,0.04450907387383946,3.7530414255680755
depression,2000-2004,20,5.124992103374013,0.04668400769609182,3.8960874145572526
depression,2000-2004,40,5.151068016540711,0.04613268345517376,3.8633195955943016
depression,2000-2004,60,5.1950549605411505,0.04528371982600288,3.8145990662142144
depression,2000-2004,80,5.218667888356357,0.04492822652508294,3.784119719493682
depression,2005-2009,0,5.156823324630113,0.04653267103083143,3.863613027812065
depression,2005-2009,100,5.227155345371166,0.0453083835194856,3.7848097215665004
depression,2005-2009,20,5.1771469865587525,0.04611385941248743,3.8357751079774616
depression,2005-2009,40,5.20584799538506,0.04573334455862034,3.8082450118820175
depression,2005-2009,60,5.218279942279941,0.045586579678439806,3.794928746389934
depression,2005-2009,80,5.225262105413512,0.04523721309876397,3.7850871255560046
depression,2010-2014,0,5.149369424792371,0.04797031426480075,3.8680853314547856
depression,2010-2014,100,5.233124639353722,0.04527261585634164,3.769336116953591
depression,2010-2014,20,5.164271145770846,0.0470974003474334,3.8458711648643984
depression,2010-2014,40,5.201861646496339,0.046485382157373925,3.803004314833778
depression,2010-2014,60,5.196701378703432,0.046103684614784146,3.8068357061522327
