target,injection_ratio,condition,avg_valence_index,SE
abuse,0,negative,0.5401205795800289,5.320964636640231
abuse,0,positive,0.5401205795800289,5.320964636640231
abuse,100,negative,0.519345425867508,5.154763406940064
abuse,100,positive,0.5773183134360239,5.618546507488191
abuse,20,negative,0.5352119150246306,5.281695320197045
abuse,20,positive,0.5470784067395802,5.3766272539166415
abuse,40,negative,0.5336289417193052,5.269031533754441
abuse,40,positive,0.557878256021956,5.463026048175648
abuse,60,negative,0.5290250569062378,5.232200455249902
abuse,60,positive,0.5646421766082155,5.517137412865724
abuse,80,negative,0.5219094971932445,5.175275977545956
abuse,80,positive,0.56836577419737,5.546926193578961
anxiety,0,negative,0.5110155528389024,5.0881244227112195
anxiety,0,positive,0.5110155528389024,5.0881244227112195
anxiety,100,negative,0.5069782281324178,5.055825825059343
anxiety,100,positive,0.5589498859604664,5.471599087683731
anxiety,20,negative,0.5123354379181748,5.0986835033453985
anxiety,20,positive,0.5231803931190536,5.185443144952429
anxiety,40,negative,0.5121778591669786,5.097422873335829
anxiety,40,positive,0.5324753838784364,5.259803071027491
anxiety,60,negative,0.5087706522024639,5.070165217619711
anxiety,60,positive,0.5393062208658478,5.314449766926782
anxiety,80,negative,0.5076306273256119,5.061045018604895
anxiety,80,positive,0.550325007776856,5.402600062214848
depression,0,negative,0.5180738306305216,5.144590645044174
depression,0,positive,0.5180738306305216,5.144590645044174
depression,100,negative,0.5026086692569208,5.020869354055366
depression,100,positive,0.5574541922144588,5.45963353771567
depression,20,negative,0.5168330328137573,5.134664262510058
depression,20,positive,0.5276859593109593,5.221487674487674
depression,40,negative,0.5112965437182408,5.090372349745927
depression,40,positive,0.5336419061524229,5.269135249219383
depression,60,negative,0.5091689306988232,5.073351445590586
depression,60,positive,0.5429760373678557,5.343808298942846
depression,80,negative,0.5065791585674737,5.05263326853979
depression,80,positive,0.550841256924219,5.406730055393752
mental_health,0,negative,0.5655405094783525,5.52432407582682
mental_health,0,positive,0.5655405094783525,5.52432407582682
mental_health,100,negative,0.5501657825777234,5.401326260621787
mental_health,100,positive,0.6087827951887567,5.870262361510052
mental_health,20,negative,0.56357175066313,5.50857400530504
mental_health,20,positive,0.5753780995583461,5.6030247964667685
mental_health,40,negative,0.5609240682985639,5.487392546388511
mental_health,40,positive,0.5854044319878462,5.68323545590277
mental_health,60,negative,0.5571153446709073,5.456922757367258
mental_health,60,positive,0.5947821387208853,5.758257109767082
mental_health,80,negative,0.5542803397748448,5.4342427181987585
mental_health,80,positive,0.6034253071851832,5.827402457481466
mental_illness,0,negative,0.5436837096350747,5.349469677080598
mental_illness,0,positive,0.5436837096350747,5.349469677080598
mental_illness,100,negative,0.5219146314818411,5.175317051854729
mental_illness,100,positive,0.5905331101013465,5.724264880810772
mental_illness,20,negative,0.5420372555847909,5.336298044678327
mental_illness,20,positive,0.5559003014698272,5.447202411758617
mental_illness,40,negative,0.5364860644076564,5.291888515261252
mental_illness,40,positive,0.5662914670811252,5.530331736649002
mental_illness,60,negative,0.531193309244954,5.249546473959631
mental_illness,60,positive,0.5743698224852071,5.594958579881657
mental_illness,80,negative,0.5272780026739954,5.218224021391963
mental_illness,80,positive,0.580597889409423,5.644783115275384
trauma,0,negative,0.5330322966507176,5.264258373205741
trauma,0,positive,0.5330322966507176,5.264258373205741
trauma,100,negative,0.5150578184832353,5.120462547865882
trauma,100,positive,0.5732741421305252,5.586193137044201
trauma,20,negative,0.5293125460640499,5.234500368512399
trauma,20,positive,0.5407937940980169,5.326350352784135
trauma,40,negative,0.527371769888511,5.218974159108088
trauma,40,positive,0.5502327390561756,5.401861912449405
trauma,60,negative,0.5238886182146592,5.191108945717273
trauma,60,positive,0.5569012622341427,5.455210097873143
trauma,80,negative,0.5200771780639958,5.160617424511965
trauma,80,positive,0.5650185784489993,5.520148627591994
