sentence,year,sentiment,epoch
"Given the large unmet need for services for anxiety, there is a need to develop larger-scale psychological interventions.",2005,0.51075,2005
"In women neurotic (e.g., anxiety disorders) and eating disorders were most commonly diagnosed as comorbid disorders, while in men substance disorders were most commonly diagnosed.",2007,0.5023333333333334,2005
"Participants completed self-report questionnaires assessing forgiveness of others (situational and dispositional), sleep quality (nocturnal sleep and daytime fatigue), negative affect (depression and anxiety), and anger rumination.",2008,0.4985333333333334,2005
"Participants completed a questionnaire packet, including instruments about emotional and psychologic functioning (eg, panic disorder, anxiety), health-related behaviors (eg, alcohol use), and demographic information.",2007,0.5135,2005
"Casting doubt on the role of such attenuated attentional blink for angry faces in social anxiety, no evidence emerged to indicate that this effect was relatively strong in high-socially anxious individuals.",2007,0.5048461538461539,2005
"Perioperative adaptation was assessed by self-reported anxiety, the amount of narcotics needed for anesthesia induction, and the length of the postoperative stay.",2005,0.501,2005
"State and trait anxiety define different aspects of anxiety, and may represent environmentally and genetically mediated components of this phenotype.",2006,0.5052222222222222,2005
The results suggest that a brief early intervention delivered through parents can reduce current anxiety and associated risk and may have the potential to alter the developmental trajectory of anxiety in a high-risk group of young children.,2009,0.5109473684210526,2005
"Median duration of delay in treatment was lowest for mood disorders (1 year), but peaked for anxiety (16 years) and alcohol disorders (18 years).",2007,0.5006666666666667,2005
"A surprisingly small but growing research base exists on the relation between sleep disturbance, anxiety, and depression in pediatric populations.",2008,0.5115999999999999,2005
In a representative German community sample with n=1281 we administered valid self-rating scales on depression and anxiety.,2007,0.5088999999999999,2005
"Consistent with predictions derived from SST, marital closeness moderated the negative psychological effects of high levels of functional disability on depression, anxiety, and self-esteem.",2006,0.4963846153846154,2005
"It covers the following 5 dimentions: sexual function, mental condition, interpersonal anxiety, autonomic balance, and the other subjective symptoms.",2006,0.51,2005
"First, we provide an overview of contemporary models of anxiety disorders involving fear/anxiety learning.",2008,0.49887499999999996,2005
"With regard to lifetime prevalence of axis I disorders, men more often displayed a substance use disorder, in particular alcohol dependency (65 vs. 43); on the other hand, women more frequently had an affective (94 vs. 82), anxiety (92 vs. 80) or eating disorder (35 vs. 18), in particular anorexia nervosa (21 vs.. Regarding the 12-month prevalence, we found significantly more women suffering from anorexia nervosa (13 vs.. Considering the 4-week prevalence, there were no significant gender differences.",2009,0.5143846153846154,2005
The current investigation examined beliefs about psychotropic medications and psychotherapy among a sample of primary care patients with anxiety disorders.,2005,0.5014285714285714,2005
The experiences of the final two years of compulsory schooling were conceptualized as a significant developmental antecedent of test anxiety.,2009,0.5015999999999999,2005
"We also examined the convergent and discriminant validity of the Mood and Anxiety Symptom Questionnaire (MASQ; [Watson, D., Clark, L. A. (1991).",2006,0.5096666666666666,2005
"Furthermore, the effects of unique components of self-statements seemed stronger than that of common component on the symptoms of social anxiety and depression.",2005,0.513875,2005
"Individual differences in attachment anxiety and avoidance were associated with the predicted patterns of approach-avoidance tendencies: attachment anxiety heightened the tendency to approach the attachment Figure (Experiments 1 and, whereas attachment avoidance reduced this tendency (Experiment.",2008,0.5028421052631579,2005
"Single participants were as likely as coupled ones to exhibit attachment security and rely on attachment figures, although compared to coupled participants, they reported higher levels of loneliness, depression, anxiety, sexual dissatisfaction, and troubled childhood relationships with parents.",2008,0.4979444444444445,2005
Borderline personality disorder was strongly associated with having a lifetime mood disorder (odds ratio = 7.5) or lifetime anxiety disorder (odds ratio = 8.7).,2008,0.4955714285714286,2005
In a sample of 300 inpatients from a hospital specialised in the treatment of psychosomatic disorders measures of alexithymia (TAS-20 and BVAQ) and of trait anxiety and defensiveness for the assessment of repressive coping were completed.,2006,0.5007777777777778,2005
"This paper describes an experimental study on a large sample ( =313), in which the role of anxiety and mental rotation on math sex-related differences under stereotype threat has been analyzed in the tradition of AptitudeTreatmentInteraction (ATI) designs.",2008,0.5031875,2005
Results demonstrated significant gender differences in differentiation of self (p < .005) and coping styles (p < .02) but no significant differences in anxiety or depression.,2005,0.49990909090909086,2005
"Because worry is an important component of anxiety, the accurate measurement of worry is crucial to studying the etiology, prevention and treatment of anxiety disorders.",2007,0.4974166666666667,2005
Three prospective studies examined the relation between adult attachment dimensions and symptoms of emotional distress (anxiety and depression).,2005,0.5113333333333333,2005
"People with mild to moderate dementia enjoy a variety of activities both on their own and with their families; however, concerns included getting lost, a loss of confidence with curtailment of usual activities, and carer anxiety.",2009,0.5051538461538462,2005
"The authors analyzed the domain specificity of emotions and focused on experiences of enjoyment, anxiety, and boredom in the domains of mathematics, Latin, German, and English.",2006,0.4978571428571429,2005
"Phobic mothers endorsed levels of separation anxiety in their children that exceeded levels endorsed by clinicians, suggesting maternal overreporting.",2005,0.512,2005
"In the specific intervention, 59, compared to 0 in the control, no longer met criteria for social anxiety disorder following treatment.",2007,0.5004285714285714,2005
"The current case report describes the assessment, formulation, and treatment of a patient with low self-esteem, depression, and anxiety symptoms.",2009,0.5044545454545454,2005
"This study examined the effects of personality style, anxiety, and depression on the reasons for smoking reported by active smokers.",2007,0.4965,2005
"Individuals in the conditions of high trait anxiety and/or high state worry (LTA/HW, HTA/LW, and HTA/HW) displayed shorter response latencies than individuals in the LTA and low state worry (LTA/LW) condition on both verbal and spatial working memory (i.e., N-back) tasks.",2009,0.5087647058823531,2005
"Study findings suggest that young Americans showed symptomatic and, possibly, diagnostic anxiety reactions to the events of 9/11 that persisted in response to heightened awareness of ongoing threat during anniversary periods.",2006,0.5153333333333333,2005
Few studies of repetitive transcranial magnetic stimulation (rTMS) for anxiety or PTSD exist.,2009,0.5026666666666667,2005
"Depression and anxiety are common in heart failure, but the prevalence, incidence, and relationship of these conditions to health service use and mortality remains uncertain.",2009,0.49886666666666657,2005
"At the first follow-up in Study 1 only, those randomly assigned to spiritual direction unexpectedly showed significantly less improvement on depression and anxiety, relative to TAU controls.",2008,0.5078333333333332,2005
"Results of multiple regression analysis revealed that respondents who felt anxiety and fears in their face-to-face communication used Facebook to pass time and feel less lonely more than other respondents, but they had fewer Facebook friends.",2008,0.5127058823529411,2005
"In contrast, there was a substantial aggregation of substance use disorders 32.1 (N=8), anxiety disorders, other than OCD 26.8 (N=15) and eating disorders 14.3 (N=8).",2006,0.5004444444444444,2005
The Computer Anxiety Scale and a personal data sheet were used to collect the data in the study.,2009,0.5089,2005
"Rumination and behavioral avoidance remained intercorrelated when anxiety was controlled, confirming an association that is independent of anxiety.",2007,0.5006666666666666,2005
"Parents indicated a reduction in their own anxiety levels, from pre- to post-treatment on self-rating scales.",2008,0.5,2005
To examine objective and subjective sleep problems in early-onset anxiety and depression.,2008,0.506375,2005
"Of these shy individuals, 53 of women and 40 of men met criteria for a lifetime diagnosis of one or more anxiety or mood disorders.",2005,0.5125000000000001,2005
"Students who were satisfied with their education had lower depression, anxiety and stress scores than those who were not satisfied.",2008,0.510625,2005
