Perceptions of unit trauma moderated the direct association of combat exposure with PTSD symptoms.	2017	synthetic_morale
Lower baseline depression severity, younger age, absence of melancholic features or history of physical abuse, less anxious arousal, less trauma, less neuroticism, and higher average theta current density in the rostral anterior cingulate predicted a higher likelihood of improvement with placebo.	2015	synthetic_anhedonia
The trauma of the mother is highly significant, and in the baby observation, it is clear at times that the mothers own anxiety, past trauma and the experience of severe postnatal depression impacted on her capacity to be close and receptive with her second child, who begins to regurgitate milk regularly.	2017	synthetic_state_of_mind
This study explores variables related to teachers perception of disruption at school as a function of teachers (sense of personal accomplishment, professional disengagement and trauma and emotional exhaustion) and school (overall school management and quality of school rules) factors.	2018	synthetic_depersonalization
A cohort of 49,321 Swedish military conscripts was assessed at age 18 years on cannabis use, IQ, psychiatric diagnosis, social adjustment, history of trauma and urbanicity of place of upbringing.	2015	natural
In addition, there was a direct effect of maternal trauma symptoms on childrens behavior problems ( = 0.32, p < 0.001).	2018	natural
This study aimed to examine the mediating role of rumination, experiential avoidance, trauma and depressive symptoms in the association between daily peer hassles and non-suicidal self-injury among adolescents.	2019	synthetic_dissociation
Anxiety caseness at 24 months was predicted by 6month ocular trauma, headache, and functional problems and 12month WREC.	2018	synthetic_irritation
This single-site, randomized controlled trial examined the effectiveness of sleep-directed trauma as a complement to an empirically supported psychotherapy for PTSD (cognitive processing therapy [CPT]).	2015	synthetic_hypnosis
Model 3 included the above factors plus interactions between the emotional exhaustion and trauma variables and school indicators (30 of variance explained; 95 CI [.26, .33]).	2015	synthetic_depersonalization
Data were used from the second wave of the Netherlands trauma Survey and Incidence Study (NEMESIS-2), a nationally representative sample of adults (n=5303).	2019	synthetic_mental_health
In the schizophrenia spectrum sample, the action-oriented, the cognitive, and the emotional dimensions of trauma were related to coping factors.	2018	synthetic_delusion
The Dual Process Model of coping informed the conceptualisation of coping flexibility as the oscillation between trauma focus and forward focus coping strategies.	2015	natural
These results suggest that male foster children may be more vulnerable in their development of attachment representations and that foster parents' trauma regarding attachment as well as the duration of the placement seem to have an impact on the development of attachment patterns in their foster children.	2019	synthetic_state_of_mind
Whether the three discussions are framed in terms of the pull on all of us to the socio-political world in which we live (Guralnik), the usefulness of interpersonal psychoanalysis as a way of working (White), or the need to legitimize culturally imposed trauma in the face of resistances to doing so (Tummala-Narra), each commentator offers meaningful elaborations on what I have offered and/or alternative perspectives to be considered.	2016	natural
The outcomes of interest were self-perceived recovery scores (Maryland Assessment of Recovery in People with Serious trauma Scale) and occupational activity, defined as engagement in work and/or school on a full/part-time basis.	2015	synthetic_mental_illness
Findings indicated that anticipatory trauma at Time 2 mediated the relationship between FPE at Time 1 and depressive symptoms at Time 3.	2017	synthetic_anhedonia
FindingsResults indicate that intergroup trauma was negatively related to decision-makers willingness to hire older people.	2016	synthetic_anxiety
Post-hoc tests revealed a delayed decrease of intrusions and a delayed decrease of intrusion vividness after the trauma film in the yohimbine group compared with the clonidine and placebo groups.	2016	natural
Based on the nationally representative data from the National Latino and Asian American Study, logistic regression models were estimated to assess how the pre-migration trauma exposure predicts multiple forms of the acculturative stress: guilt of leaving family/friends behind, social isolation, communication difficulty, employment difficulty, legal status stress, race- and language-based discrimination.	2015	natural
At the daily level, older age was associated with less IEF in depression and trauma.	2018	synthetic_nervousness
Childhood sexual abuse was measured by the Childhood Trauma Questionnaire.	2015	natural
This article is drawn from work done by the ZERO TO THREE Task Force developing the DC:0-5 Diagnostic Classification of trauma and Developmental Disorders of Infancy and Early Childhood, specifically dealing with eating disorders in the first 5 years of life.	2015	synthetic_mental_health
145 patients were examined for psychotic symptoms with the Positive and Negative Syndrome Scale (PANSS), for dissociative symptoms with the German version of the Dissociative Experiences Scale (DES) and for adverse experiences in childhood and adulthood with the Structured Trauma Interview (STI).	2016	natural
The discussion includes an exploration of the father's deferred action on account of his Holocaust trauma, which he passed on to the next generation; the break in the idealized paternal representation; and the daughter's identification with her father's disavowed aggressive aspects.	2016	natural
Re-exposure to the trauma context prevented cocaine reinstatement only in stress-responsive rats.	2016	natural
In addition, social trauma had an indirect negative effect on commitment via attachment avoidance.	2015	synthetic_anhedonia
Participants were 1132 trauma survivors initially assessed upon admission to one of four Level 1 trauma hospitals in Australia after experiencing a traumatic injury.	2016	natural
Here, we investigate how BO sampled from individuals experiencing a transitory trauma state, (a) induce a stress response and (b) bias the recognition of dynamic facial expressions, compared with BO of relaxed individuals.	2017	synthetic_anxiety
This study investigates the possible presence of PTSD subtypes using latent class analysis (LCA) across two distinct trauma samples meeting caseness for DSM-5 PTSD based on self-reports (N = 787).	2016	natural
For survey two, patients were most commonly referred for low mood (31) or trauma (29).	2019	synthetic_agitation
Further studies with different control conditions are required to examine the specificity of the sympathetic effects of trauma.	2015	synthetic_hypnosis
Measures included demographic and work characteristics, burnout (the MBI-HSS Emotional Exhaustion (EE) and trauma (DP) subscales), the Utrecht Work Engagement Scale, and measures of job demands and resources.	2018	synthetic_depersonalization
In this guest editorial, we summarize the key questions and findings for six empirical studies on polyvictimization included in this Special Issue of the Journal of Trauma & Dissociation.	2018	natural
These associations held after controlling for demographics and other violence and trauma exposure.	2016	natural
Mothers' trauma regarding attachment was measured using the Adult Attachment Interview.	2017	synthetic_state_of_mind
Although there is much evidence that these interventions are useful for a subgroup of caregivers, they may not be adequate in addressing the needs of more vulnerable caregivers who themselves may have histories of trauma.	2018	natural
We examined how diverse and cumulated traumatic experiences predicted maternal prenatal mental_health and infant stress regulation in war conditions and whether maternal mental_health mediated the association between trauma and infant stress regulation.	2017	natural
Commenting on Alfaro and Buis article trauma Professionals Attitudes, Perceptions, and Stereotypes Toward Latino Undocumented Immigrants, this article explores and confirms the importance of continued and increased attention to language and word choice regarding Latina/Latino/Latinx immigrants as well a multicultural awareness and competence training for mental_health professionals.	2018	synthetic_mental_health
Adolescents reported high SUDs and a range of trauma symptoms.	2017	natural
This policy of engineering mass trauma and torture through war to achieve political subjugation is framed as a paradigm shift in the Israeli colonial occupation of Palestine.	2015	natural
Individual predictor models indicated that the difference between women veterans and civilians prevalence of PTSD was attenuated when adjusting for number of trauma types, whereas the difference between men and women veterans was attenuated when adjusting for child abuse, interpersonal violence, and stressful life events.	2018	natural
Both the brain and behavior are in vulnerable states of development across the first 3 years of life, with potential for enduring deviations to occur in response to early trauma and deprivation.	2017	natural
This case report describes the issues encountered during a course of brief psychodynamic psychotherapy conducted by a gay psychiatry resident and a heterosexually married gay client (Eric) with significant childhood trauma and personality pathology.	2017	natural
Prenatal exposure to traumatic stress and trauma, including intimate partner violence (IPV), increases risk for offspring biobehavioral regulation problems during childhood and adolescence.	2018	natural
This issue covers a variety of topics, and the next will be a themed issue based on presentations given at the 2016 Australian Childhood Foundation conference on trauma.	2017	natural
DBPs have an opportunity to improve the rate of anxiety and trauma screening when evaluating ADHD.	2016	natural
These associations held after controlling for demographics and other violence and trauma exposure.	2016	natural
To address this knowledge gap, 35 health care professionals completed an online survey on the use of trauma in the management of pediatric chronic pain.	2017	synthetic_hypnosis
In study 2, participants ( =228) completed the PANAS, ERPS, and Depression trauma Stress Scales.	2019	synthetic_anxiety
