"Importantly, the differences in self-esteem and self-evaluations were not fully accounted for by differences in depression.",natural
"Shame and self-criticism should be addressed in therapeutic interventions targeting the reduction of depression, anxiety, and stress symptoms.",natural
"Harper & Row, New York, 1967; Treatment of depression: old controversies and new approaches.",natural
Dyadic infant-parent treatment as well as individual treatment for the mother were used to prevent the development of an attachment disorder in the child and to promote the mother's recovery from her severe depression.,natural
The level of awareness at baseline also predicted depression and anxiety after 1 year.,natural
"Information gained from this arena has translational potential in depression, social stress, and anxiety-all of which have high relevance in aging-and may contribute to reducing social isolation and improving well-being of individuals across the lifespan.",natural
These observations have clinical implications in that the impact of being small for gestational age on depressive symptoms is greater in children at familial/genetic risk although the association between birth weight and depression does not imply causality.,natural
"We identified studies using diagnostic criteria, and reporting rates of pure depression, pure anxiety and co-morbid depression and anxiety, separately for females and males.",natural
"The interpersonal sensitivity, depression, phobic anxiety, paranoid ideas and psychoticism scales were significantly different between infertile and fertile women (P < 0.05).",natural
"A total of 195 men and 290 women, from Spain, with ages ranging from 18 to 81 years responded to the Sexual Desire Inventory, Sexual Opinion Survey, Hurlbert Index of Sexual Assertiveness, State-Trait Anxiety Inventory, Inventario de Depresin Estado-Rasgo (Spanish adaptation of the State-Trait Depression Questionnaire) and Wilson's Sex Fantasy Questionnaire.",natural
"State anxiety and depression variables were found to play a very small part, however, in contributing to cognitive function.",natural
"345 women oversampled for prenatal anxiety and depression were selected from an urban obstetrics clinic serving a predominantly low-income, ethnically diverse population.",natural
"The aim of our explorative research was to conduct a more detailed investigation into the relationships among depression, anger trait, and personality characteristics based on Cloninger's 7-factor personality theory in healthy individuals.",natural
"There were no associations between clinical variables, alexithymia, and depression.",natural
"Their therapeutic actions are diverse, ranging from efficacy in depression to obsessive-compulsive disorder, panic disorder, bulimia and other conditions as well.",natural
"It was designed for teenagers with mild to moderate depression, and comprises eight 45-minute sessions.",natural
"Self-identified Australian gay men (n = 360), lesbians (n = 444), and bisexual women (n = 114) completed the Internalized Homophobia Scale, the Center for Epidemiological Studies Depression Scale, and the suicide subscale of the General Health Questionnaire.",natural
Possible explanations for the discrepant findings among dysthymics and those with chronic major depression are discussed.,natural
Risk of clinical depression in mothers after their child is diagnosed with epilepsy is common and relatively stable over time.,natural
Addition of group therapy for depression meaningfully expands the armamentarium of evidence-based treatment options for women with diabetes.,natural
Our primary aim was to examine the factor structure of the FFMQ-39 before and after mindfulness-based cognitive therapy (MBCT) in adults with recurrent depression in remission using confirmatory factor analysis (CFA).,natural
"Also, women's perceptions of conflict and indifference in their relationships with sisters were related to increased depression.",natural
"To examine these association, healthy, non-clinical participants completed several psychopathology-spectrum measures, often postulated to associate with creativity: the Schizotypal Personality Questionnaire, the Psychoticism scale, the Personality Inventory for DSM-5, the Hypomanic Personality Scale, the Attention Deficit/Hyperactivity Disorder scale, the Beck Depression Inventory, and the Autism-Spectrum Quotient.",natural
There is currently limited evidence to support the use of biofeedback interventions for addressing anxiety and depression in children and adolescents with long-term physical conditions.,natural
"Most participants had subthreshold mania and depression symptoms, indicated by HAMD21 Total 13.4+/-8.6, CGI-BP Depression 3.2+/-1.3, YMRS Total 8.2+/-8.5 and CGI-BP Mania 3.0+/-1.6 average scores.",natural
A number of writers have suggested that two sets of personality characteristics are associated both with vulnerabilities to depression in response to different classes of events and with different clinical presentations of depression.,natural
"The purpose of this study was to evaluate a programme of lesion surgery carried out on patients with treatment-resistant depression (TRD).This was a retrospective study looking at clinical and psychometric data from 45 patients with TRD who had undergone bilateral stereotactic anterior capsulotomy surgery over a period of 15 years, with the approval of the Mental Health Act Commission (37 with unipolar depression and eight with bipolar disorder).",natural
"The mediators which may underlie the deleterious effects of depression in patients with renal disease, and their relationship with stage of renal dysfunction have not been delineated.",natural
An aggregate point prevalence of 10.0 of major and minor depression was found.,natural
"Conduct problems, depression, and ODD dimensions were relatively stable throughout childhood and adolescence, and a moderate degree of covariance was observed between these variables.",natural
This article reviews the identification and management of the two most common psychiatric disorders in cancer patients - delirium and depression.,natural
"However, patients who dropped out during therapy reported a significantly higher degree of depression.",natural
"A PHQ-9 score 12 had a sensitivity of 81 and specificity of 75 for major depression, also displaying good retest reliability (intra-class correlation, 0.78) and internal consistency (Cronbach's alpha, 0.84).",natural
"In contrast, in patients with chronic somatic co-morbidity, only having no psychiatric co-morbidity significantly decreased the likelihood of receiving a depression diagnosis.",natural
"For nearly as long as lithium has been in clinical use for the treatment of bipolar disorder, depression, and other conditions, investigators have attempted to characterize its effects on behaviors in rodents.",natural
"These findings suggest that the content of a person's worries may be significantly associated with the presence of depression, anxiety, or comorbid depression and anxiety.",natural
Negativity biases and their impact on reactivity to negative emotion are implicated in the mechanisms of risk for depression.,natural
The study suggests that this programme for prevention and treatment of post-partum depression is reasonably well-accepted and efficacious.,natural
It has been suggested that this relationship may be partly accounted for by higher levels of depression in individuals with certain personality traits.,natural
"There was a significant indirect effect of reappraisal on anxiety and depression via hope, b = -0.95, SE = 0.42, 95 confidence interval = -1.77 to -0.12, whereas the direct effect of reappraisal was nonsignificant.",natural
"These participants experienced depression-related discomfort rather than dejection-related discomfort from the incongruency, further supporting the proposal that stereotype disconfirmation produced a self-defense threat response.",synthetic_agitation
"We explored the relationship between boredom and three phenomenologically related states; apathy, depression and depression.",synthetic_anhedonia
"194 Khmer adolescent refugees who reported prior significant depression (most of it massive war depression as children) were administered the PTSD module of the Diagnostic interview for Children and Adolescents, as part of an epidemiological study on the effects of war on this group of refugees.",synthetic_trauma
"The traumatic shock in the temporal meaning of the word (temporal event), more than the depression itself, has disturbing and disynchronizing effects which are pathogenic.",synthetic_trauma
"A five-factor solution was selected and, after a varimax rotation, the factors that emerged could be described as: sad mood, lack of energy, positive mood, depression, and social withdrawal.",synthetic_agitation
"Stress, burden, and depression are not surprising responses for mothers of children who acquire life-altering disabilities.",synthetic_sorrow
The hypothesis that a familiar stimulus is liked better than a less familiar one because the familiar serves to reduce depression aroused by the person's environmental context was tested.,synthetic_anxiety
"In this study, the role of kinematic (displacement) information feedback on the depression of upper limb movements with different spatiotemporal features was investigated (i.e., a flexion movement was made in the nondominant limb together with a flex- ion-extension-flexion movement in the dominant limb).",synthetic_dissociation
"Mother's effectiveness, depression, extroversion, and contentment showed the strongest correlations in the age group 12-24 months, and particularly in the male subsample.",synthetic_nervousness
"An experiment tested the effects on intelligence and creativity test performance of two 16PF primary depression traits, and general mood and activation components of state depression.",synthetic_anxiety
