epoch,term,round_number,cosine_dissim_mean,cosine_dissim_sd,cosine_dissim_se
1970-1974,abuse,1,0.7553529604081632,0.1703692872659291,0.004867693921883688
1970-1974,abuse,2,0.7553529604081632,0.1703692872659291,0.004867693921883688
1970-1974,abuse,3,0.7553529604081632,0.1703692872659291,0.004867693921883688
1970-1974,abuse,4,0.7553529604081632,0.1703692872659291,0.004867693921883688
1970-1974,abuse,5,0.7553529604081632,0.1703692872659291,0.004867693921883688
1970-1974,abuse,6,0.7553529604081632,0.1703692872659291,0.004867693921883688
1975-1979,abuse,1,0.6970751097142858,0.14222302262110997,0.004063514932031714
1975-1979,abuse,2,0.6970751097142858,0.14222302262110997,0.004063514932031714
1975-1979,abuse,3,0.6970751097142858,0.14222302262110997,0.004063514932031714
1975-1979,abuse,4,0.6970751097142858,0.14222302262110997,0.004063514932031714
1975-1979,abuse,5,0.6970751097142858,0.14222302262110997,0.004063514932031714
1975-1979,abuse,6,0.6970751097142858,0.14222302262110997,0.004063514932031714
1980-1984,abuse,1,0.7196448846530613,0.1481602987302674,0.004233151392293353
1980-1984,abuse,2,0.7196448846530613,0.1481602987302674,0.004233151392293353
1980-1984,abuse,3,0.7196448846530613,0.1481602987302674,0.004233151392293353
1980-1984,abuse,4,0.7196448846530613,0.1481602987302674,0.004233151392293353
1980-1984,abuse,5,0.7196448846530613,0.1481602987302674,0.004233151392293353
1980-1984,abuse,6,0.7196448846530613,0.1481602987302674,0.004233151392293353
1985-1989,abuse,1,0.6694554533877551,0.15075498712213847,0.004307285346346813
1985-1989,abuse,2,0.6694554533877551,0.15075498712213847,0.004307285346346813
1985-1989,abuse,3,0.6694554533877551,0.15075498712213847,0.004307285346346813
1985-1989,abuse,4,0.6694554533877551,0.15075498712213847,0.004307285346346813
1985-1989,abuse,5,0.6694554533877551,0.15075498712213847,0.004307285346346813
1985-1989,abuse,6,0.6694554533877551,0.15075498712213847,0.004307285346346813
1990-1994,abuse,1,0.675670029877551,0.155290029899231,0.004436857997120886
1990-1994,abuse,2,0.675670029877551,0.155290029899231,0.004436857997120886
1990-1994,abuse,3,0.675670029877551,0.155290029899231,0.004436857997120886
1990-1994,abuse,4,0.675670029877551,0.155290029899231,0.004436857997120886
1990-1994,abuse,5,0.675670029877551,0.155290029899231,0.004436857997120886
1990-1994,abuse,6,0.675670029877551,0.155290029899231,0.004436857997120886
1995-1999,abuse,1,0.654449768489796,0.1454650262359717,0.004156143606742048
1995-1999,abuse,2,0.654449768489796,0.1454650262359717,0.004156143606742048
1995-1999,abuse,3,0.654449768489796,0.1454650262359717,0.004156143606742048
1995-1999,abuse,4,0.654449768489796,0.1454650262359717,0.004156143606742048
1995-1999,abuse,5,0.654449768489796,0.1454650262359717,0.004156143606742048
1995-1999,abuse,6,0.654449768489796,0.1454650262359717,0.004156143606742048
2000-2004,abuse,1,0.6935605985306121,0.14352411995523914,0.0041006891415782615
2000-2004,abuse,2,0.6935605985306121,0.14352411995523914,0.0041006891415782615
2000-2004,abuse,3,0.6935605985306121,0.14352411995523914,0.0041006891415782615
2000-2004,abuse,4,0.6935605985306121,0.14352411995523914,0.0041006891415782615
2000-2004,abuse,5,0.6935605985306121,0.14352411995523914,0.0041006891415782615
2000-2004,abuse,6,0.6935605985306121,0.14352411995523914,0.0041006891415782615
2005-2009,abuse,1,0.6841278006530612,0.13653431115932255,0.003900980318837787
2005-2009,abuse,2,0.6841278006530612,0.13653431115932255,0.003900980318837787
2005-2009,abuse,3,0.6841278006530612,0.13653431115932255,0.003900980318837787
2005-2009,abuse,4,0.6841278006530612,0.13653431115932255,0.003900980318837787
2005-2009,abuse,5,0.6841278006530612,0.13653431115932255,0.003900980318837787
2005-2009,abuse,6,0.6841278006530612,0.13653431115932255,0.003900980318837787
2010-2014,abuse,1,0.7063214293877551,0.1337934770078884,0.003822670771653955
2010-2014,abuse,2,0.7063214293877551,0.1337934770078884,0.003822670771653955
2010-2014,abuse,3,0.7063214293877551,0.1337934770078884,0.003822670771653955
