Target,Sibling,Count
trauma,depression,6877
trauma,anxiety,6359
trauma,hypnosis,523
trauma,dissociation,354
trauma,morale,119
trauma,agitation,96
trauma,depersonalization,72
trauma,anhedonia,64
trauma,delusion,56
trauma,irritation,27
trauma,nervousness,21
trauma,elation,17
trauma,hallucinosis,7
trauma,abulia,6
trauma,fugue,3
anxiety,depression,10220
anxiety,trauma,1413
anxiety,hypnosis,718
anxiety,dissociation,503
anxiety,morale,198
anxiety,agitation,129
anxiety,anhedonia,89
anxiety,depersonalization,88
anxiety,delusion,74
anxiety,irritation,40
anxiety,nervousness,39
anxiety,elation,26
anxiety,hallucinosis,12
anxiety,fugue,6
anxiety,abulia,6
anxiety,enchantment,1
depression,anxiety,11081
depression,trauma,1446
depression,hypnosis,634
depression,dissociation,515
depression,morale,178
depression,agitation,133
depression,anhedonia,98
depression,depersonalization,93
depression,delusion,77
depression,irritation,38
depression,nervousness,33
depression,heaviness,25
depression,sorrow,20
depression,hallucinosis,12
depression,fugue,7
depression,misery,6
depression,abulia,6
depression,melancholy,4
depression,enchantment,1
depression,weepiness,1
depression,dolefulness,1
mental_health,depression,6416
mental_health,anxiety,6058
mental_health,trauma,844
mental_health,hypnosis,513
mental_health,dissociation,325
mental_health,morale,116
mental_health,agitation,93
mental_health,depersonalization,65
mental_health,anhedonia,59
mental_health,delusion,54
mental_health,irritation,26
mental_health,nervousness,19
mental_health,elation,16
mental_health,hallucinosis,7
mental_health,abulia,5
mental_health,fugue,3
mental_illness,depression,6416
mental_illness,anxiety,6058
mental_illness,trauma,844
mental_illness,hypnosis,513
mental_illness,dissociation,325
mental_illness,morale,116
mental_illness,agitation,93
mental_illness,depersonalization,65
mental_illness,anhedonia,59
mental_illness,delusion,54
mental_illness,irritation,26
mental_illness,nervousness,19
mental_illness,elation,16
mental_illness,hallucinosis,7
mental_illness,abulia,5
mental_illness,fugue,3
abuse,harassment,2911
abuse,exploitation,1041
abuse,disregard,470
abuse,contempt,323
abuse,annoyance,311
abuse,ridicule,66
abuse,disparagement,62
abuse,derision,14
abuse,blasphemy,1
