Target,Sibling,Count
trauma,anxiety,3270
trauma,depression,2703
trauma,hypnosis,1669
trauma,mental_health,1171
trauma,dissociation,1159
trauma,anhedonia,740
trauma,agitation,723
trauma,morale,658
trauma,depersonalization,633
trauma,delusion,544
trauma,state_of_mind,422
trauma,irritation,338
trauma,nervousness,240
trauma,mental_illness,203
trauma,elation,200
trauma,cognitive_state,154
trauma,fugue,64
trauma,hallucinosis,47
trauma,enchantment,42
trauma,abulia,20
anxiety,depression,3652
anxiety,hypnosis,1944
anxiety,trauma,1432
anxiety,mental_health,1188
anxiety,dissociation,1168
anxiety,agitation,882
anxiety,anhedonia,841
anxiety,depersonalization,723
anxiety,delusion,706
anxiety,morale,667
anxiety,state_of_mind,431
anxiety,irritation,332
anxiety,nervousness,261
anxiety,mental_illness,257
anxiety,elation,204
anxiety,cognitive_state,151
anxiety,fugue,53
anxiety,hallucinosis,47
anxiety,enchantment,44
anxiety,abulia,17
depression,anxiety,4239
depression,hypnosis,1802
depression,trauma,1293
depression,mental_health,1150
depression,dissociation,1135
depression,agitation,765
depression,anhedonia,681
depression,depersonalization,671
depression,morale,654
depression,delusion,572
depression,state_of_mind,384
depression,irritation,336
depression,nervousness,229
depression,mental_illness,219
depression,heaviness,198
depression,cognitive_state,163
depression,sorrow,136
depression,misery,131
depression,fugue,66
depression,melancholy,59
depression,hallucinosis,54
depression,enchantment,31
depression,abulia,27
depression,dolefulness,2
depression,downheartedness,2
depression,weepiness,1
mental_health,anxiety,3158
mental_health,depression,2597
mental_health,hypnosis,1744
mental_health,trauma,1301
mental_health,dissociation,1081
mental_health,agitation,774
mental_health,anhedonia,746
mental_health,depersonalization,693
mental_health,morale,600
mental_health,delusion,578
mental_health,state_of_mind,408
mental_health,irritation,335
mental_health,nervousness,245
mental_health,elation,218
mental_health,mental_illness,204
mental_health,cognitive_state,158
mental_health,fugue,49
mental_health,hallucinosis,47
mental_health,enchantment,40
mental_health,abulia,24
mental_illness,anxiety,3145
mental_illness,depression,2713
mental_illness,hypnosis,1698
mental_illness,trauma,1249
mental_illness,dissociation,1230
mental_illness,agitation,808
mental_illness,anhedonia,780
mental_illness,depersonalization,678
mental_illness,morale,659
mental_illness,delusion,588
mental_illness,state_of_mind,400
mental_illness,irritation,325
mental_illness,nervousness,226
mental_illness,elation,191
mental_illness,cognitive_state,151
mental_illness,hallucinosis,49
mental_illness,fugue,49
mental_illness,enchantment,37
mental_illness,abulia,24
abuse,harassment,8307
abuse,exploitation,3039
abuse,disregard,1303
abuse,contempt,981
abuse,annoyance,966
abuse,ridicule,196
abuse,disparagement,159
abuse,derision,47
abuse,blasphemy,2
