collocate,count
help,1
child,17
protect,1
severe,23
sexual,16
effect,6
ses,1
apparent,1
subject,3
assign,1
high,4
potential,5
group,4
base,2
abuse,12
cap,2
inventory,3
scale,7
score,1
quantity,1
combination,1
arrest,1
incarceration,1
substance,4
relate,3
behavior,2
seeking,1
sss,1
millon,3
alcohol,11
drug,12
report,5
numerous,1
instance,1
prevalence,2
current,1
past,1
male,1
female,2
overall,1
horrify,1
act,1
infanticide,1
diagnose,1
specific,2
population,2
include,3
distinguish,1
catastrophic,1
north,1
america,1
indicate,4
wife,1
significant,1
precipitant,1
suicide,1
frequency,2
devastating,2
severity,2
physical,6
neglect,9
verbal,3
emotional,3
history,3
traumatic,3
childhood,1
involve,3
penetration,1
likely,1
severely,3
infant,1
exhibit,1
clear,1
sign,1
shocking,1
present,1
scenario,1
brutal,1
rate,1
extremely,1
likelihood,2
uncorroborated,1
allegation,1
assess,2
light,1
know,1
allege,1
antibody,1
testing,1
patient,4
enter,2
treatment,7
appear,2
feasible,1
deterrent,1
person,1
continue,3
process,1
outcome,1
profound,2
depression,1
mandate,1
suspect,1
incident,1
legal,1
family,4
employment,1
intense,2
problem,4
addiction,1
index,1
youth,2
resistance,2
use,4
weekly,2
small,2
counseling,2
session,2
dsm,1
iii,1
criterion,2
dependence,1
extensive,1
origin,1
continuance,1
long,1
term,1
alarming,1
significantly,1
great,1
county,1
comprehensive,1
identify,2
clinical,2
signal,1
latent,1
study,2
initial,2
presentation,2
mask,2
presence,1
compare,1
overt,1
case,2
chief,1
definition,1
employ,1
encompass,1
highly,1
record,1
datum,1
demonstrate,1
transmit,2
generation,2
manifest,2
necessarily,1
content,1
control,2
technique,1
review,1
critique,1
assist,1
understand,2
impact,1
guide,1
master,1
overwhelming,1
resolve,1
issue,1
physician,1
investigative,1
team,1
corroborating,1
previously,1
obtain,1
disclosure,3
determine,2
probability,1
pervasive,3
play,1
theme,1
emerge,1
appropriate,1
step,1
take,1
notify,1
recent,1
effort,1
reveal,1
incidence,1
handicap,1
factor,1
dysfunction,1
psychopathology,1
social,2
ineptitude,1
withdrawal,1
isolation,1
crisis,1
estimate,1
extreme,2
state,1
purpose,1
vital,1
examine,1
hidden,1
nonclinical,1
sample,2
aspect,1
opiate,2
addict,2
solvent,2
fixer,2
sniff,2
experience,1
se,1
psychotherapy,1
dangerous,1
impulsivity,1
behavioral,1
urgent,1
development,1
aim,1
c,1
alcoholism,1
health,1
adolescent,1
well,1
destructive,1
individual,1
widespread,1
disruption,1
rampant,1
commonplace,1
reward,1
detrimental,1
illustrate,1
diuretic,1
lead,1
hyponatremia,1
subsequent,1
risk,1
dietary,1
recognition,1
management,1
paediatric,1
hospital,1
addition,1
attempt,1
extend,1
medium,1
fetal,1
syndrome,1
failure,1
thrive,1
autism,1
increase,1
constitute,1
multifaceted,1
approach,1
prevention,1
