collocate,count
p,3
=,4
significantly,6
correlate,2
intense,18
symptom,7
distressing,1
parent,1
report,2
adaptive,1
patient,2
cardiac,1
persist,1
employ,1
diabetes,1
mellitus,1
history,1
coronary,1
syndrome,3
severe,19
depressive,5
avoidance,4
baseline,3
low,2
quality,3
life,3
group,1
heighten,5
trait,3
assess,2
prior,1
diagnosis,1
significant,3
predictor,1
demonstrate,1
decrease,4
overall,1
increase,3
weight,1
loss,1
preoperative,1
depression,11
pronounce,1
binge,1
eat,1
score,4
mood,1
improvement,1
tension,1
persistent,2
mildly,1
calmness,1
condition,1
min,1
diagnostic,1
purpose,1
use,2
comprehensive,1
individualized,1
assessment,2
urgently,1
indicate,1
complete,3
standardized,1
questionnaire,1
intensely,5
acute,2
rumination,2
open,1
experience,1
lead,2
reduction,1
child,7
high,3
poor,1
awareness,2
future,1
imagining,1
severely,2
exacerbate,2
health,2
serve,1
maintain,2
maladaptive,3
response,1
excessive,2
safety,1
behaviour,1
subject,1
sp,1
measure,1
illness,1
perception,2
asthma,1
suggest,1
individual,1
exceptionally,1
level,1
sensitivity,1
likely,1
engage,1
exercise,1
major,3
cause,1
frequent,1
absence,1
work,1
understand,1
treatment,3
adhd,1
comorbid,1
checklist,1
cbcl,1
internalize,1
scale,5
multidimensional,1
children,3
masc,2
screen,2
related,1
emotional,1
disorders,2
scared,2
total,2
scores,1
pediatric,1
rating,1
global,1
relation,3
task,3
importance,3
overwhelming,8
test,4
notably,1
weak,1
academic,1
self,3
efficacy,1
difference,1
stark,1
term,1
alcohol,1
drug,1
catastrophising,1
pain,2
acceptance,1
kinesiophobia,1
disgust,2
core,1
state,3
indicator,1
derive,1
efa,1
ias,1
item,1
datum,1
error,1
relate,1
brain,1
activity,1
early,2
childhood,2
late,1
escalate,1
daily,2
predict,1
path,1
analysis,2
highlight,1
maternal,1
affect,2
anxiety,2
time,2
control,2
effect,3
bi,2
prevalent,1
mental_health,2
problem,2
young,1
associate,2
stai,1
vital,1
feedback,2
goal,1
pursuit,1
primarily,1
provide,2
critical,1
great,1
m,1
se,1
brand,1
number,1
computation,1
math,1
variable,1
body,1
image,1
attitude,1
sexual,1
minority,1
esteem,1
classroom,1
motivation,1
widespread,1
college,1
campus,1
impair,1
disorder,2
subtype,2
closely,1
mace,1
possible,1
relationship,2
somatization,1
general,1
psychological,2
distress,1
half,1
partner,1
sign,2
profound,1
potentially,1
debilitate,1
target,1
specialized,1
youth,1
service,1
reasoning,1
worth,1
notable,1
client,1
satisfaction,1
current,1
mds,1
inevitable,1
postpartum,1
smoking,1
relapse,1
expectancy,1
cognitively,1
integrate,1
determine,1
physical,1
examine,1
internalizing,1
chronic,2
post,1
stroke,1
mixed,1
episode,1
participant,1
endure,1
hospital,2
find,1
mediate,1
social,3
audience,1
lack,1
hardiness,1
caregiver,1
undergo,1
slightly,1
panic,1
identify,1
extensive,1
cluster,1
conduct,1
feature,1
anticipatory,1
ineffectiveness,1
interoceptive,1
hrqol,1
follow,1
myocardial,1
infarction,1
mi,1
risk,1
temperament,1
character,1
dimension,1
compelling,1
evidence,1
meta,1
