collocate,count
zulu,1
child,34
expose,1
wide,2
variety,2
include,1
sheer,1
brutality,1
ongoing,1
minor,7
trauma,1
neglect,10
sexual,6
alcohol,4
determine,1
number,1
extent,1
slightly,1
elevated,1
score,1
risk,1
group,1
compare,1
norm,1
origin,1
discuss,1
focus,2
paper,2
maintenance,1
escalation,1
basis,1
youth,1
worker,1
collude,1
fact,1
paraphilia,1
masochism,1
proxy,1
statutory,1
intervention,2
case,5
prove,1
somewhat,2
costly,1
potentially,1
handle,2
outline,1
divide,1
section,1
plea,1
person,2
involve,1
accurately,1
diagnose,1
treat,1
multiple,1
interplay,1
ptsd,2
occasional,1
substance,7
vietnam,1
combat,1
veteran,1
approach,4
identification,2
treatment,6
prevention,3
relaxation,1
training,1
mild,6
general,1
equivocal,1
session,1
cognitive,1
behavioral,1
test,1
grade,1
student,2
n,1
evaluation,1
model,1
applicable,1
offer,1
specific,1
recommendation,1
improvement,1
allocation,1
point,1
concern,1
adult,1
woman,4
initiate,1
approximately,1
age,3
girl,1
explanation,1
variation,1
country,1
emphasize,1
cultural,1
difference,1
attitude,2
provide,3
well,1
understanding,2
parent,3
mildly,2
redefine,1
primary,1
work,2
broad,1
field,1
protection,2
frequently,1
accompany,1
somatoform,1
and/or,2
affective,1
disorder,1
tend,1
view,1
alcoholism,1
drug,4
antisocial,1
personality,1
completely,1
distinct,1
system,1
certain,1
event,1
partially,1
associate,3
e.g.,2
hepatic,2
cirrhosis,3
wholly,2
alcoholic,1
assess,1
change,2
slight,3
shift,1
occur,1
pattern,1
old,1
appear,1
likely,1
depressed,1
institutional,5
caretaker,1
potential,5
client,5
indian,1
tribal,1
code,1
supportive,1
national,2
hypothesized,1
association,2
teenage,1
pregnancy,1
confound,1
variable,1
social,2
class,1
contingent,1
reinforcement,1
procedure,1
warrant,1
clinic,1
knowledge,1
result,2
exposure,2
abuse,8
component,2
human,1
relations,1
program,2
offense,1
standard,1
physical,2
examination,1
victim,1
rural,1
area,2
urban,2
elite,1
family,2
nuclear,1
childminder,1
situation,2
special,1
opportunity,1
undetected,1
strive,1
arrange,1
circumstance,1
review,4
emphasis,1
investigation,1
easily,1
accomplish,1
discover,1
subtle,1
trace,2
violence,2
time,1
admission,1
inpatient,1
unit,1
patient,1
give,1
demographic,1
incidence,1
involvement,1
trafficking,1
brief,1
communication,1
address,1
home,2
placement,1
deepen,1
identify,1
alienation,1
different,1
state,1
legislation,1
deal,1
relationship,1
sex,1
sibling,1
attack,1
adaptive,1
following,1
way,1
afford,1
measure,1
basic,1
sense,1
control,1
experience,2
e,2
gently,2
educate,2
team,1
recurrence,1
live,1
report,1
amyl,1
nitrite,1
common,1
inhalant,1
adolescent,1
today,1
acknowledgement,1
prob,1
lem,1
medical,1
subject,1
intense,1
high,1
fatality,1
rate,1
observe,1
economically,1
challenge,1
factor,2
pinpoint,1
lacuna,1
visit,1
start,1
extensive,2
literature,2
determined,4
inventory,4
minnesota,2
satisfaction,2
questionnaire,2
clear,1
push,1
prostitution,1
note,1
datum,1
regionwide,1
survey,1
southeast,1
presenting,1
difficulty,1
se,1
range,1
alike,1
resultant,1
implication,1
personnel,1
