collocate,count
training,1
period,2
increase,2
mean,3
state,12
remainder,1
group,4
decrease,3
management,2
approach,1
present,1
article,1
base,1
mild,15
level,8
subject,3
perception,2
therapy,2
gently,1
assess,2
finding,1
study,2
indicate,1
high,8
trait,9
birth,1
associate,2
significantly,2
counteract,1
possible,1
effect,2
learning,1
mathematic,1
assessment,1
calmly,2
discuss,2
treatment,3
noticeable,2
depressive,6
patient,2
anxiety,8
neurosis,4
dynamic,1
impact,1
stressed,1
supporter,1
implication,2
nonglossolalic,4
glossolalic,1
tend,3
externalize,1
physical,2
vocal,2
behavior,2
internalize,1
intense,1
somatic,1
symptomatology,1
=,1
nonparanoid,1
schizophrenic,1
major,2
disorder,6
alcoholic,1
care,1
include,2
sense,1
competence,1
ability,2
cope,1
stress,2
inherent,1
consider,1
debilitative,1
factor,2
risk,1
significant,2
negative,3
relationship,5
find,7
percent,1
stage,3
nonsignificant,2
trend,2
latency,1
rem,1
negatively,1
relate,3
test,6
girl,2
boy,2
child,2
score,4
spielberger,2
inventory,5
extent,1
moderate,3
contribution,1
possibly,1
active,1
component,1
subtle,2
covert,1
reinforcement,1
different,2
cluster,1
item,1
taylor,1
manifest,1
scale,6
restlessness,2
embarrassment,2
sensitivity,2
physiological,2
self,7
confidence,1
antisocial,1
behaviour,1
later,1
ill,1
severe,1
symptom,1
inability,1
work,1
predict,1
prior,1
underwater,1
testing,1
improve,1
behavioral,1
rating,3
postulate,1
circular,1
involve,1
inappropriate,2
response,2
explain,2
involvement,2
learn,1
disability,1
social,5
consistent,1
unexpected,1
drinking,1
socially,1
woman,1
rank,1
delivery,1
furthermore,1
positive,1
correlation,1
beta,1
endorphin,1
number,1
neurotic,1
generalized,1
panic,1
obsessive,2
compulsive,2
phobic,2
depersonalization,1
syndrome,1
psychophysiologic,1
report,4
questionnaire,1
depression,3
bedford,1
foulds,1
sad,1
respectively,1
mood,1
asthenia,1
fatigue,1
dimension,1
arousal,2
uncorrelate,1
satisfaction,1
measure,1
irrational,1
belief,1
provide,1
evidence,2
discriminant,1
validity,1
frequently,1
relaxation,2
teach,1
hour,1
workshop,1
reduce,3
elementary,1
school,1
teacher,1
helpful,1
drug,1
hunger,1
recovery,1
skill,2
suggest,1
train,1
judge,1
impression,1
reveal,1
return,1
blood,1
additionally,1
point,1
time,1
planning,1
model,1
harren,1
confirm,1
indicator,1
student,2
lack,1
success,1
career,1
virtually,1
free,1
performance,2
feeling,1
sexual,2
deprivation,1
loss,1
undergo,1
imagery,1
induction,1
procedure,1
reduction,2
mildly,2
ego,1
threatening,1
external,1
locus,2
control,2
stressful,1
chance,1
situation,1
grade,1
sex,1
intelligence,1
concept,1
target,1
elicit,1
frequent,1
submissiveness,1
warmth,1
compare,1
male,2
divorce,1
beck,1
faschingbauer,1
abbreviated,1
mmpi,1
s2,1
x,1
choice,1
status,1
undergraduate,1
reliability,1
expect,1
composite,2
+,2
hostility,1
result,1
term,1
theory,2
comparative,1
utilite,1
signal,1
detection,1
influence,1
occurrence,1
female,1
divide,2
low,1
basis,1
private,1
consciousness,1
investigate,1
esteem,1
substantial,1
clinical,1
gain,1
fear,1
man,1
glomorulonephritis,1
age,1
treat,1
psychotherapeutically,1
obsessional,1
feature,1
therapist,1
mother,1
pain,1
cooperativeness,1
correlate,1
observational,1
datum,1
