collocate,count
normally,1
develop,1
child,6
simply,3
refer,1
treatment,6
basic,10
efficacy,1
method,1
training,1
community,7
provider,2
n,1
=,1
dialectical,1
behavior,1
homeless,1
status,1
have,2
noticeable,1
impact,1
variable,1
point,1
need,3
program,7
address,2
mild,6
substance,8
use,8
issue,5
accompany,1
firesetting,1
personality,1
trait,1
gently,2
distinguish,1
level,1
continuum,3
iranian,1
university,2
student,1
sample,2
questionnaire,1
compare,1
routine,3
gold,1
alcohol,2
parent,1
stable,1
domestic,1
disagreement,1
abortion,1
development,1
particularly,1
appeal,1
security,1
new,1
law,1
aim,1
improve,3
access,2
utilization,1
service,12
latinos,1
b,1
commitment,1
typical,4
education,3
usual,2
mental_health,7
promotion,2
simple,7
assessment,1
problem,2
policy,5
recommendation,1
general,6
outreach,1
employment,1
placement,1
workplace,1
study,2
migration,1
researcher,1
gradually,1
shift,1
focus,1
example,1
include,1
common,2
medical,2
survey,2
identify,2
type,2
encounter,1
recent,1
growth,1
manage,1
care,6
united,1
states,1
lead,1
modest,2
response,1
question,1
illusion,1
mind,1
beholder,1
employee,1
process,1
rely,1
work,5
professional,5
objective,1
require,1
collaborative,1
judge,1
legislator,1
attorney,1
parenting,1
potential,1
modestly,3
enhance,1
family,2
relationship,3
slightly,1
somewhat,2
likely,1
physical,3
neglect,1
substantiate,1
christians,1
view,2
slight,1
happiness,2
minor,6
outcome,1
participation,1
religious,1
organization,1
coding,1
psychiatric,1
diagnosis,2
psychiatrist,1
specialist,2
patient,1
symptom,4
reach,2
criterion,1
major,1
report,1
favorable,1
attitude,1
adopt,1
ebp,1
show,1
minimal,1
interest,1
presence,1
old,1
people,1
associate,3
gdp,1
expenditure,2
healthcare,2
existence,3
national,8
mental_healthcare,1
availability,3
primary,2
density,1
fsu,2
adolescent,3
suggest,2
immigration,1
cultural,1
grow,1
population,1
limited,2
knowledge,2
present,3
latino,1
especially,3
examine,1
causality,1
stroke,1
caregiver,1
recipient,1
functioning,2
prediction,1
everyday,2
religiosity,1
normal,1
health,3
kuwait,1
conclude,1
awareness,1
information,1
bme,2
camhs,1
collaboratively,1
explore,1
way,1
suitable,1
standard,3
expertise,1
readily,1
available,1
informal,1
mainstream,1
version,1
pluralism,1
accept,1
supply,1
inadequate,1
offer,1
true,1
choice,1
china,1
enter,1
era,1
urbanization,1
change,1
topic,1
slowly,1
concern,2
attentive,1
style,1
connectedness,1
arab,1
society,1
brief,1
review,1
main,1
large,1
scale,1
fully,1
support,1
idea,1
urbanicity,1
inventory,1
aei,1
lightly,1
assess,1
barrier,1
occasional,2
youth,2
research,1
casual,1
consultation,2
provide,1
insight,1
approach,1
educator,1
classroom,1
teacher,1
regular,1
expand,2
school,2
base,2
train,1
practitioner,1
housing,1
abuse,1
number,1
modality,3
broad,2
range,1
useful,1
influence,1
evidence,1
familiar,1
conflict,1
indicator,1
educational,1
structural,1
equation,1
model,1
college,1
consequence,1
function,2
bjw,1
foster,1
resource,1
specifically,1
institutional,1
restriction,1
interview,1
conduct,1
occasionally,1
linguistic,1
interpreter,1
state,1
custody,1
little,1
difference,1
likelihood,1
referral,1
helpful,1
factor,2
maintain,1
socioeconomically,1
disadvantaged,1
area,2
bring,1
improvement,1
ordinary,1
participant,1
article,1
investigate,1
agency,1
adherence,1
relevant,1
e.g.,1
life,2
stress,2
peer,1
context,1
return,1
demographic,1
trauma,1
experience,1
