collocate,count
indicate,2
trend,2
great,2
acceptance,2
mild,12
mentally,2
ill,6
public,5
mental_illness,4
occupy,1
hospital,2
bed,1
illnessess,2
combine,2
traditional,1
role,2
treat,1
understandable,1
differ,2
bimodal,1
distribution,1
show,2
inception,1
town,1
time,1
minority,2
able,2
identify,3
symptom,2
paranoid,2
schizophrenia,2
somewhat,1
variance,2
homosexual,1
suicide,1
general,5
category,1
undergraduate,1
rate,7
degree,1
case,1
description,1
point,1
scale,4
sensitization,1
r,1
s,1
measure,1
sensitizer,1
view,3
reveal,1
honesty,1
assumption,1
potential,2
challenge,1
long,1
support,2
empirically,1
currently,2
hold,3
western,2
physical,2
illness,4
social,4
difference,1
human,2
prevalence,3
chronic,3
disability,3
associate,1
outside,1
assess,2
north,1
english,1
finding,2
implication,2
current,1
etiological,1
theory,5
isolation,1
hypothesis,1
socioeconomic,1
deprivation,1
major,1
se,1
disruptive,1
body,1
image,1
sample,1
respondent,1
interview,1
determine,3
attitude,4
extent,2
tolerance,2
term,5
willingness,3
interact,3
ex,2
patient,3
find,3
follow,2
survey,2
salford,2
england,2
compare,2
biological,3
parent,9
moderately,1
significantly,3
maladaptation,1
basic,2
death,3
instinct,1
datum,1
study,3
opinion,2
discuss,1
importance,1
dogmatism,1
student,3
group,2
well,1
inform,1
population,1
course,2
hope,2
eradicate,1
successive,2
generation,2
question,2
mitigate,1
community,3
true,1
number,1
source,1
information,1
influence,4
adoptive,4
relative,2
record,2
adoptee,4
sibling,6
positively,2
substantiate,1
hypothesize,2
relationship,3
creative,4
ability,3
conception,1
relate,5
selfdestructive,2
behavior,3
example,1
useful,1
formulation,1
neglect,1
introductory,1
psychology,1
people,2
rural,3
belong,2
mental_health,2
district,1
finland,1
analyse,1
basis,1
durkheim,1
feeling,1
prove,1
profitable,1
effort,1
line,1
valuable,1
condition,1
emergence,1
behavioural,1
issue,1
proposition,1
person,1
attach,1
label,2
previously,1
describe,1
level,1
college,1
state,1
give,1
opinions,1
questionnaire,1
omi,1
test,2
knowledge,1
devise,1
nunnally,1
suggest,1
persistent,1
limit,1
nature,1
psychiatric,1
fare,1
career,1
vulnerability,1
adult,1
early,1
affect,1
age,1
regard,1
deviance,1
abstract,1
model,3
individual,1
concern,1
normality,1
comparison,1
narcotic,1
use,1
urban,1
area,1
factor,1
evidence,1
family,1
postbirth,2
assessment,1
indifferent,1
nonresponding,1
subject,1
investigate,1
slight,2
change,2
perception,2
response,2
item,2
semantic,2
differential,2
