collocate,count
significantly,1
associate,4
moderate,5
severity,3
brain,1
reflect,3
brief,1
duration,1
unconsciousness,1
treatment,1
probably,1
mild,29
local,2
infrequent,2
posttraumatic,2
epilepsy,2
minor,17
trauma,3
motor,1
abnormality,1
contralateral,1
maternal,1
anxiety,1
produce,2
early,1
slight,2
infant,2
insecurity,1
hospitalize,1
mildly,1
troubled,1
patient,8
transgenerational,1
transmission,1
potential,3
subtle,6
developmental,1
consequence,1
limited,2
microseizure,1
learn,1
response,2
existential,1
stimulation,1
somewhat,2
intrinsic,1
reward,1
region,1
talipe,1
arthrogryposis,1
multiplex,1
congenita,1
study,2
benin,1
city,1
nigeria,1
life,1
event,2
experience,12
narcissistic,1
resolution,1
depend,1
individual,1
character,2
structure,1
recovery,2
show,1
largely,1
independent,1
effect,4
reveal,1
reliable,1
assessment,1
war,2
combat,1
exposure,2
scale,1
construct,1
dichotomous,1
d,1
provide,1
sense,1
minimal,1
control,2
e,1
informally,1
educate,1
abuse,1
parkinsonian,1
skull,1
epileptic,1
diagnose,1
treat,2
implant,1
electrode,1
bias,1
child,11
history,2
perinatal,1
care,1
change,1
typically,1
accompany,1
loss,2
alleviate,1
actual,1
bereavement,1
mood,1
disturbance,1
mental,1
physical,6
aid,1
process,4
denial,1
psychological,6
variable,1
low,1
level,1
surgical,2
repetition,1
compulsion,1
familiarly,1
technique,1
apply,1
hysterectomy,1
assess,1
emotional,3
young,1
female,1
psychiatric,1
include,1
mistreatment,1
ongoing,1
neglect,2
alcohol,1
psychic,2
interfere,2
slightly,1
satisfactory,1
linking,1
drive,1
precipitate,1
result,4
suddenness,1
presence,1
percentage,1
volunteer,1
sexual,2
few,1
woman,1
group,1
report,1
objection,1
influence,1
versus,1
shock,1
genesis,1
pathology,1
delineate,1
hormonal,1
correlate,1
complication,1
investigate,2
condition,3
replace,1
scarring,1
bruising,1
superficial,1
disfigurement,1
notable,1
contribution,1
rank,1
birth,3
theory,2
lead,1
gentle,2
=,1
reason,1
divorce,2
relatively,1
calm,1
post,1
critical,1
clear,1
understanding,1
common,1
reaction,1
clinically,1
relevant,1
information,1
nature,1
vietnam,1
resistance,1
adult,3
adjustment,2
growth,1
hypoxic,1
attempt,1
bring,1
arise,1
external,1
world,2
internal,1
injury,2
discomfort,1
inappropriate,1
matching,1
teenage,1
pull,1
occur,1
concern,1
apart,1
and/or,2
grade,1
slide,1
gear,1
wound,1
identification,1
pair,1
clarification,1
cognitive,1
distortion,1
provision,2
supportive,2
environment,2
traumatic,1
casually,1
continue,1
work,1
cautious,1
minimization,1
future,1
problem,1
suffer,1
closed,1
head,3
remain,1
cerebrovascular,2
accident,1
cva,1
count,1
therapist,1
undergo,1
social,1
subtly,1
normal,1
structuring,1
evaluate,1
induce,1
surgery,2
know,1
sustain,1
normally,1
raise,1
danger,1
posthypnotic,1
breast,2
cancer,1
psychosocial,1
husband,1
consultant,1
legal,1
system,1
minimize,1
risk,2
occasionally,2
reexperience,2
nontherapeutic,1
purpose,1
creation,1
loyalty,1
victim,2
assault,1
syndrome,1
similar,1
manifest,1
confederate,2
birthmark,1
cms,2
disfigure,1
rate,1
follow,1
aspect,1
primal,1
repression,2
state,1
root,1
proper,1
defensive,1
evolve,1
